day_code_filter	day_label_filter	country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
d118	2019-04-28	CZ	Czechia	European Parliament		178362315106	Facebook	4	1	424998	199999	2234	1117
d118	2019-04-28	CZ	Czechia	ecoFuture & E.ON Energy Globe		104654572907664	Facebook	98	1	79873	28967	312	13
d118	2019-04-28	CZ	Czechia	TOP 09	TOP 09	90002267161	Facebook	6	1	53532	17333	104	28
d118	2019-04-28	CZ	Czechia	Pavel Svoboda	Křesťanská a demokratická unie - Československá strana lidová	1451376028412024	Facebook	13	1	44475	9418	82	17
d118	2019-04-28	CZ	Czechia	Tomáš Zdechovský		275042429350706	Facebook	4	1	34998	8499	38	7
d118	2019-04-28	CZ	Czechia	Strana nezávislosti České republiky	Strana nezávislosti České republiky	1199083776860090	Facebook	17	1	33687	10872	105	27
d118	2019-04-28	CZ	Czechia	ČSSD	ČSSD	111041662264882	Facebook	6	1	33663	6333	178	54
d118	2019-04-28	CZ	Czechia	Ondřej Krutílek - kandidát do Evropského parlamentu		1220066088147062	Facebook	11	1	30101	8292	127	40
d118	2019-04-28	CZ	Czechia	Daniel Herman		378072105614553	Facebook	6	1	18873	7732	22	7
d118	2019-04-28	CZ	Czechia	Pavel Poc	Poc Pavel	202974613060409	Facebook	4	1	18624	8075	42	21
d118	2019-04-28	CZ	Czechia	Kialo		729627343834501	Facebook	15	1	18390	4216	86	13
d118	2019-04-28	CZ	Czechia	Petr Fiala	ODS - Občanská demokratická strana	487445514669670	Facebook	2	1	16999	3333	66	12
d118	2019-04-28	CZ	Czechia	Evropská komise v ČR		397919187215	Facebook	1	1	16666	3333	12	6
d118	2019-04-28	CZ	Czechia	Talíř do Bruselu	KDU-ČSL	2108659169383946	Facebook	5	1	16249	4375	63	17
d118	2019-04-28	CZ	Czechia	Programy do voleb	Štěpán Ryšavý - Programy do voleb	1033702273421005	Facebook	5	1	14972	2982	1	0
d118	2019-04-28	CZ	Czechia	Kancelář Evropského parlamentu	Kancelář Evropského parlamentu	278212515809	Facebook	1	1	12498	2499	9	4
d118	2019-04-28	CZ	Czechia	Andrej Bóna	Vokoun Tomas	321165708610626	Facebook	3	1	12015	3153	41	8
d118	2019-04-28	CZ	Czechia	Česká pirátská strana	Česká pirátská strana	109323929038	Facebook	2	1	11249	2250	43	8
d118	2019-04-28	CZ	Czechia	Minidotaznik.cz		432692927273545	Facebook	1	1	9614	3845	17	8
d118	2019-04-28	CZ	Czechia	Greenpeace Česká republika	Greenpeace Česká republika	55876739776	Facebook	2	1	9166	1833	35	7
d118	2019-04-28	CZ	Czechia	Pravý břeh	Pravý břeh, z.s.	545254525495201	Facebook	1	1	8333	1666	32	6
d118	2019-04-28	CZ	Czechia	Soukromníci  - Strana soukromníků České republiky		106046725258	Facebook	1	1	8333	1666	32	6
d118	2019-04-28	CZ	Czechia	Tvůj kandidát	Konečný Daniel	599435753834732	Facebook	4	1	8258	1839	21	5
d118	2019-04-28	CZ	Czechia	Cecilia Malmström		258966159416	Facebook	1	1	7227	2891	14	7
d118	2019-04-28	CZ	Czechia	Starostové a nezávislí	Starostové a nezávislí	370583064327	Facebook	7	1	6470	1624	24	6
