country_code_filter	country_name_filter	day_code	day_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
FR	France	d132	2019-05-12	793	181	2446401	908306	12640	2555
FR	France	d131	2019-05-11	849	202	2522474	925300	14126	2614
FR	France	d130	2019-05-10	877	211	3112226	1151498	16387	3232
FR	France	d129	2019-05-09	868	221	3380446	1282964	15957	3291
FR	France	d128	2019-05-08	768	209	665701	238734	5370	691
FR	France	d127	2019-05-07	742	197	680747	228142	6680	720
FR	France	d126	2019-05-06	753	213	860042	275949	6931	858
FR	France	d125	2019-05-05	742	220	658554	240984	5554	644
FR	France	d124	2019-05-04	744	225	760794	294058	5149	757
FR	France	d123	2019-05-03	793	236	9458076	4271472	42467	9623
