country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
HU	Hungary	Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	51	1	24360827	11481939	49245	21827
HU	Hungary	European Parliament		178362315106	Facebook	107	1	15547226	7039762	43896	13333
HU	Hungary	Fidesz	Fidesz	9844779306	Facebook	76	1	14104871	6690974	47372	23217
HU	Hungary	Párbeszéd Magyarországért	Párbeszéd Magyarországért	113684438795574	Facebook	48	1	9976777	4227913	7800	2627
HU	Hungary	Momentum Mozgalom	Momentum Mozgalom	592204747588011	Facebook	194	1	8739888	3169582	16570	5546
HU	Hungary	Nemzeti Televízió	Alfahír Hírportál	164061553749320	Facebook	87	1	8536913	3596000	21624	8553
HU	Hungary	LMP - Lehet Más a Politika	LMP - Lehet Más a Politika	47198507012	Facebook	89	1	6747521	2712824	8136	2259
HU	Hungary	MSZP	MSZP	115388925185513	Facebook	65	1	6571472	2800906	11111	4640
HU	Hungary	Dobrev Klára	Demokratikus Koalíció	1880809845328535	Facebook	58	1	6350887	2559987	12210	4243
HU	Hungary	Gyöngyösi Márton	Országgyűlés Hivatala Jobbik Frakció	781030738624077	Facebook	20	1	3815980	1593000	6918	3113
HU	Hungary	Greenpeace Magyarország		35634348348	Facebook	98	1	3175846	1230974	10384	525
HU	Hungary	Kialo		729627343834501	Facebook	306	1	3130567	1268452	18736	4782
HU	Hungary	Mi Hazánk Mozgalom	Mi Hazánk Mozgalom	620030171664750	Facebook	27	1	2673481	1083897	4645	1545
HU	Hungary	Gyurcsány Ferenc	Demokratikus Koalíció	187301974635606	Facebook	29	1	2534946	895994	4441	1185
HU	Hungary	Vágó Gábor	LMP - Lehet Más a Politika	453253875264	Facebook	37	1	2395846	961950	4523	1202
HU	Hungary	Ádám Kósa Mep	Adam Kosa, Member of the European Parliament	237088069704442	Facebook	11	1	2269964	969987	5793	2641
HU	Hungary	Demokratikus Koalíció	Demokratikus Koalíció	169599166463839	Facebook	29	1	2164956	715996	3992	919
HU	Hungary	European Commission		107898832590939	Facebook	19	1	2116871	958424	7544	2078
HU	Hungary	Jakab Péter	Országgyűlés Hivatala Jobbik Frakció	781150971947219	Facebook	16	1	2049949	759993	3590	1284
HU	Hungary	European Greens	European Greens	141366725876424	Facebook	16	1	1987358	884040	6704	2062
HU	Hungary	Dúró Dóra	Sipos 	191946490841225	Facebook	29	1	1835746	734948	4768	1733
HU	Hungary	Cseh Katalin - Momentum	Momentum Mozgalom	682448271826776	Facebook	37	1	1795601	616920	5461	2002
HU	Hungary	Ujhelyi István dr.	MSZP	734217673259088	Facebook	31	1	1648822	658926	4051	1481
HU	Hungary	PestiSracok.hu	PestiSrácok.hu	264517713636590	Facebook	26	1	1409974	345000	4054	913
HU	Hungary	Bana Tibor	Országgyűlés Hivatala Jobbik Frakció	184890488198962	Facebook	23	1	1300974	476998	1612	676
HU	Hungary	Ökopolisz Alapítvány	Ökopolisz Alapítvány	244669668913278	Facebook	14	1	1298313	559304	4018	1824
HU	Hungary	Morvai Krisztina		282077899700	Facebook	3	1	1199945	599974	1596	599
HU	Hungary	Demeter Márta	LMP - Lehet Más a Politika	1372750529476614	Facebook	19	1	1189951	400994	2151	615
