day_code_filter	day_label_filter	country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
d124	2019-05-04	AT	Austria	European Parliament		178362315106	Facebook	9	1	791662	341665	8164	2633
d124	2019-05-04	AT	Austria	SPÖ	SPÖ	77393060080	Facebook	275	1	552946	191794	3900	557
d124	2019-05-04	AT	Austria	Andreas Schieder	SPÖ	290881691011354	Facebook	27	1	488985	176497	4500	920
d124	2019-05-04	AT	Austria	Harald Vilimsky		547597092025909	Facebook	4	1	450122	199999	1260	549
d124	2019-05-04	AT	Austria	kontrast.at	kontrast.at	1079650008770485	Facebook	22	1	304397	128309	1939	806
d124	2019-05-04	AT	Austria	Claudia Gamon	NEOS	447992848717452	Facebook	5	1	259993	84999	1694	299
d124	2019-05-04	AT	Austria	Angelika Winzig	Wirtschaftsbund Österreich	141015722773374	Facebook	920	1	255019	51356	5692	220
d124	2019-05-04	AT	Austria	Greenpeace Österreich	Greenpeace Österreich	32984679070	Facebook	499	1	175741	44464	2823	31
d124	2019-05-04	AT	Austria	Europäisches Parlament Österreich		124468054313069	Facebook	34	1	154648	63586	521	191
d124	2019-05-04	AT	Austria	Die Grünen	Die Grünen	21759893033	Facebook	20	1	151755	56129	996	193
d124	2019-05-04	AT	Austria	HC Strache	FPÖ	74865038590	Facebook	2	1	149999	75000	749	300
d124	2019-05-04	AT	Austria	OÖVP - die Oberösterreichische Volkspartei	Oberösterreichische Volkspartei	289163077789256	Facebook	4	1	116664	38333	181	0
d124	2019-05-04	AT	Austria	Wirtschaftsbund Österreich	Wirtschaftsbund Österreich	385183128166442	Facebook	108	1	83739	22033	1659	93
d124	2019-05-04	AT	Austria	Karoline Edtstadler	Salzburger Volkspartei	1580540041983231	Facebook	4	1	83331	16666	831	166
d124	2019-05-04	AT	Austria	Julia Herr	Sozialistische Jugend Österreich	345172509462824	Facebook	5	1	63689	27309	1373	357
d124	2019-05-04	AT	Austria	Günther Sidl	BSA Niederösterreich	806694216374998	Facebook	18	1	56362	22000	234	18
d124	2019-05-04	AT	Austria	NEOS	NEOS	327450964017497	Facebook	1	1	49999	10000	99	0
d124	2019-05-04	AT	Austria	1Europa	Peter Glawischnig	320389701908367	Facebook	7	1	49570	14164	442	81
d124	2019-05-04	AT	Austria	GPA-djp	GPA-djp	214499840736	Facebook	15	1	41326	10679	153	0
d124	2019-05-04	AT	Austria	Europa-Wahl 2019	Michael Eisenriegler Bakk Phil	489866264465481	Facebook	10	1	34497	9899	227	0
d124	2019-05-04	AT	Austria	GRAS - Grüne & Alternative Student_innen	GRAS - Grüne & Alternative Student_innen	79935247286	Facebook	13	1	34024	8256	427	71
d124	2019-05-04	AT	Austria	AktionsGemeinschaft Uni Wien	AktionsGemeinschaft	185474925851	Facebook	2	1	33332	6666	66	0
d124	2019-05-04	AT	Austria	Die Innsbrucker Grünen		185943534768550	Facebook	6	1	31865	6333	192	20
d124	2019-05-04	AT	Austria	Lukas Mandl	Verein VSM - Vorzugsstimmen für Mandl	436914289678818	Facebook	40	1	31331	8700	542	21
d124	2019-05-04	AT	Austria	SPÖ Kärnten	SPÖ Kärnten	10150145829810364	Facebook	11	1	30211	9376	269	43
