day_code_filter	day_label_filter	country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
d129	2019-05-09	CZ	Czechia	Česká pirátská strana	Česká pirátská strana	109323929038	Facebook	13	1	633566	296142	2017	686
d129	2019-05-09	CZ	Czechia	Strana nezávislosti České republiky	Strana nezávislosti České republiky	1199083776860090	Facebook	35	1	391060	154982	1454	308
d129	2019-05-09	CZ	Czechia	Andrej Babiš	ANO	214827221987263	Facebook	2	1	299999	150000	971	194
d129	2019-05-09	CZ	Czechia	TOP 09	TOP 09	90002267161	Facebook	14	1	250690	101648	490	144
d129	2019-05-09	CZ	Czechia	Starostové a nezávislí	Starostové a nezávislí	370583064327	Facebook	13	1	151470	64010	474	117
d129	2019-05-09	CZ	Czechia	Pavel Svoboda	Křesťanská a demokratická unie - Československá strana lidová	1451376028412024	Facebook	33	1	147371	51145	324	69
d129	2019-05-09	CZ	Czechia	Evropa společně	Evropa společně	535611970260854	Facebook	35	1	138370	45590	498	120
d129	2019-05-09	CZ	Czechia	Petr Fiala	ODS - Občanská demokratická strana	487445514669670	Facebook	13	1	135755	37878	633	147
d129	2019-05-09	CZ	Czechia	Pavel Poc	Poc Pavel	202974613060409	Facebook	14	1	123344	43657	185	49
d129	2019-05-09	CZ	Czechia	Kancelář Evropského parlamentu	Kancelář Evropského parlamentu	278212515809	Facebook	6	1	123332	46333	140	47
d129	2019-05-09	CZ	Czechia	European Greens	European Greens	141366725876424	Facebook	3	1	102155	41057	206	101
d129	2019-05-09	CZ	Czechia	Roman Kriz	Kriz Roman	382745889213194	Facebook	112	1	90007	21713	332	78
d129	2019-05-09	CZ	Czechia	KDU-ČSL	KDU-ČSL	251656685576	Facebook	15	1	72964	32734	207	51
d129	2019-05-09	CZ	Czechia	Talíř do Bruselu	KDU-ČSL	2108659169383946	Facebook	41	1	46256	12532	93	24
d129	2019-05-09	CZ	Czechia	Olga Sehnalová	Olga Sehnalová	474594005906021	Facebook	13	1	35410	9065	101	26
d129	2019-05-09	CZ	Czechia	MUDr. Gabriela Pecková - TOP 09	Vondryska Jan	113755299053	Facebook	16	1	34089	9221	159	36
d129	2019-05-09	CZ	Czechia	HLAS	První prezidentská	320144481956623	Facebook	18	1	33982	4000	146	19
d129	2019-05-09	CZ	Czechia	Programy do voleb	Štěpán Ryšavý - Programy do voleb	1033702273421005	Facebook	15	1	27678	8894	10	1
d129	2019-05-09	CZ	Czechia	Nenechme to tak	ATG Principal GROUP	224923858400165	Facebook	4	1	26998	7500	95	21
d129	2019-05-09	CZ	Czechia	Institute H21	Sova Miriam	1900532106849242	Facebook	3	1	21428	4285	61	13
d129	2019-05-09	CZ	Czechia	Senátor Václav Hampl	Höfer Karel	524288824339961	Facebook	4	1	19498	3833	17	3
d129	2019-05-09	CZ	Czechia	Daniel Herman		378072105614553	Facebook	6	1	18873	7732	22	7
d129	2019-05-09	CZ	Czechia	Ondřej Krutílek - kandidát do Evropského parlamentu		1220066088147062	Facebook	9	1	17531	5778	78	30
d129	2019-05-09	CZ	Czechia	Piráti České Budějovice	Hansal Jaroslav	153535188480725	Facebook	1	1	16666	3333	64	12
d129	2019-05-09	CZ	Czechia	Tvůj kandidát	Konečný Daniel	599435753834732	Facebook	6	1	15057	2933	14	5
