week_code_filter	week_label_filter	country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
w004	Week 4	EE	Estonia	Yoko Alender		709212302463805	Facebook	8	1	17876	4372	533	0
w004	Week 4	EE	Estonia	Швеция		1001119573268082	Facebook	1	1	2617	1046	0	0
w004	Week 4	EE	Estonia	Hanno Pevkur  #pevkur		1914863625428136	Facebook	1	1	1633	326	32	0
w004	Week 4	EE	Estonia	ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	3	1	585	259	2	0
w004	Week 4	EE	Estonia	Treevotion		312276899356713	Facebook	4	1	96	37	0	0
w004	Week 4	EE	Estonia	Le Monde		14892757589	Facebook	8	1	46	17	0	0
w004	Week 4	EE	Estonia	Soviet Visuals		1160495674016675	Facebook	6	1	32	6	0	0
w004	Week 4	EE	Estonia	Flora & Fauna		303798486465804	Facebook	3	1	31	13	0	0
w004	Week 4	EE	Estonia	Circling Europe		503234379789523	Facebook	1	1	20	4	0	0
w004	Week 4	EE	Estonia	OZY		1393911800825140	Facebook	1	1	12	2	0	0
w004	Week 4	EE	Estonia	Party of European Socialists	Party of European Socialists	148097975226385	Facebook	4	1	11	0	1	0
w004	Week 4	EE	Estonia	Financial Times		8860325749	Facebook	1	1	9	1	0	0
w004	Week 4	EE	Estonia	Orbex		1415953441956155	Facebook	1	1	8	1	0	0
w004	Week 4	EE	Estonia	International Growth Centre	London School of Economics and Political Science	121645431208100	Facebook	1	1	7	1	0	0
w004	Week 4	EE	Estonia	FT Content Solutions		1220981994590364	Facebook	2	1	5	1	0	0
w004	Week 4	EE	Estonia	Banque mondiale		155174084508744	Facebook	3	1	3	1	0	0
w004	Week 4	EE	Estonia	YOGA BURN		146316959083110	Facebook	2	1	2	0	0	0
w004	Week 4	EE	Estonia	Andreas Schieder	SPÖ	290881691011354	Facebook	2	1	1	0	0	0
w004	Week 4	EE	Estonia	Lisa's Law Solicitors	Lisa's Law Solicitors	739722549392872	Facebook	1	1	1	0	0	0
