country_code_filter	country_name_filter	day_code	day_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
MT	Malta	d133	2019-05-13	325	73	865652	269289	6052	266
MT	Malta	d132	2019-05-12	377	77	1180849	372462	7656	339
MT	Malta	d131	2019-05-11	422	81	1945506	648476	12683	1397
MT	Malta	d130	2019-05-10	437	82	1983285	706453	9066	689
MT	Malta	d129	2019-05-09	406	82	1595915	549828	7352	458
MT	Malta	d128	2019-05-08	379	80	1364279	452751	6702	454
MT	Malta	d127	2019-05-07	362	76	1461505	511170	7366	694
MT	Malta	d126	2019-05-06	346	69	1411792	527204	6736	683
MT	Malta	d125	2019-05-05	329	70	1185538	422994	5253	470
MT	Malta	d124	2019-05-04	340	72	1286265	447331	5942	488
MT	Malta	d123	2019-05-03	342	77	1146287	379836	5157	339
MT	Malta	d122	2019-05-02	341	78	1125774	375706	5673	466
MT	Malta	d121	2019-05-01	327	75	948792	288461	4153	223
MT	Malta	d120	2019-04-30	380	86	895836	258933	4029	194
MT	Malta	d119	2019-04-29	377	86	961733	329252	3584	230
MT	Malta	d118	2019-04-28	345	81	759024	265691	3047	179
MT	Malta	d117	2019-04-27	345	85	704417	257810	2922	180
MT	Malta	d116	2019-04-26	382	89	1244441	469056	4291	725
MT	Malta	d115	2019-04-25	346	89	421080	128575	2730	95
MT	Malta	d114	2019-04-24	336	93	431636	127229	2666	86
MT	Malta	d113	2019-04-23	340	97	374941	121656	2152	113
MT	Malta	d112	2019-04-22	288	96	253444	73564	1690	73
MT	Malta	d111	2019-04-21	297	96	194498	55910	1327	38
MT	Malta	d110	2019-04-20	286	103	153917	44320	962	35
MT	Malta	d109	2019-04-19	303	106	147728	47150	850	30
MT	Malta	d108	2019-04-18	320	111	168545	49687	1049	15
MT	Malta	d107	2019-04-17	313	113	211616	58235	1442	101
MT	Malta	d106	2019-04-16	338	119	270980	78848	1321	58
MT	Malta	d105	2019-04-15	374	129	183191	54906	995	31
MT	Malta	d104	2019-04-14	371	135	374066	157470	1628	132
