advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	recent_code_filter	recent_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
SPÖ	SPÖ	77393060080	Facebook	rd1	Yesterday	AT	Austria	272	1	485167	160886	4262	338
European Parliament		178362315106	Facebook	rd1	Yesterday	AT	Austria	3	1	374999	149999	3749	749
Stadt Wien	Stadt Wien	110971788921077	Facebook	rd1	Yesterday	AT	Austria	46	1	342977	104000	2477	50
Andreas Schieder	SPÖ	290881691011354	Facebook	rd1	Yesterday	AT	Austria	44	1	311562	136270	3585	569
Angelika Winzig	Wirtschaftsbund Österreich	141015722773374	Facebook	rd1	Yesterday	AT	Austria	910	1	212568	41443	6949	28
Greenpeace Österreich	Greenpeace Österreich	32984679070	Facebook	rd1	Yesterday	AT	Austria	484	1	187184	40054	4103	29
kontrast.at	kontrast.at	1079650008770485	Facebook	rd1	Yesterday	AT	Austria	19	1	170374	66427	861	139
Europäisches Parlament Österreich		124468054313069	Facebook	rd1	Yesterday	AT	Austria	34	1	138036	57438	573	180
Die Grünen	Die Grünen	21759893033	Facebook	rd1	Yesterday	AT	Austria	17	1	92557	21467	770	82
Julia Herr	Sozialistische Jugend Österreich	345172509462824	Facebook	rd1	Yesterday	AT	Austria	6	1	71831	19366	510	91
1Europa	Peter Glawischnig	320389701908367	Facebook	rd1	Yesterday	AT	Austria	7	1	59581	17166	389	49
FPÖ	FPÖ	169051073236170	Facebook	rd1	Yesterday	AT	Austria	1	1	49999	25000	249	50
SPÖ Kärnten	SPÖ Kärnten	10150145829810364	Facebook	rd1	Yesterday	AT	Austria	12	1	36655	12131	447	64
Dominik Nepp	FPÖ-Wien	135953609780627	Facebook	rd1	Yesterday	AT	Austria	6	1	29999	13500	224	90
Günther Sidl	BSA Niederösterreich	806694216374998	Facebook	rd1	Yesterday	AT	Austria	18	1	27996	5200	356	0
Lukas Mandl	Verein VSM - Vorzugsstimmen für Mandl	436914289678818	Facebook	rd1	Yesterday	AT	Austria	38	1	27887	4876	728	20
Karoline Edtstadler	Salzburger Volkspartei	1580540041983231	Facebook	rd1	Yesterday	AT	Austria	3	1	25998	5000	148	0
Keinen Millimeter	Michael Dorner	356665748284436	Facebook	rd1	Yesterday	AT	Austria	5	1	24998	5999	165	0
SPÖ Oberösterreich	SPÖ Oberösterreich	208930355786005	Facebook	rd1	Yesterday	AT	Austria	11	1	24825	5101	168	13
Austrian World Summit	R2o Austria & EU	1852365868311086	Facebook	rd1	Yesterday	AT	Austria	125	1	24569	3582	1031	0
Unser Niederösterreich	Unser Niederösterreich	469284460250113	Facebook	rd1	Yesterday	AT	Austria	69	1	23241	3375	853	0
Österreichische Gesellschaft für Europapolitik	Österreichische Gesellschaft für Europapolitik	290449626693	Facebook	rd1	Yesterday	AT	Austria	4	1	22664	10833	231	16
Alex Bernhuber	Niederösterreichischer Bauernbund	382872055842390	Facebook	rd1	Yesterday	AT	Austria	151	1	21356	625	1868	0
Christian Dax		1232990493514860	Facebook	rd1	Yesterday	AT	Austria	3	1	20832	4166	41	0
Pamela Rendi-Wagner	SPÖ-Parlamentsklub	1673371229636129	Facebook	rd1	Yesterday	AT	Austria	24	1	18613	3830	311	0
Sarah Wiener	Die Grünen	970529566390833	Facebook	rd1	Yesterday	AT	Austria	2	1	18332	8666	116	16
Die Grünen Wien		88676876113	Facebook	rd1	Yesterday	AT	Austria	2	1	18332	3666	36	0
GPA-djp	GPA-djp	214499840736	Facebook	rd1	Yesterday	AT	Austria	10	1	14843	5247	184	0
Othmar Karas	Othmar Karas	395638503864459	Facebook	rd1	Yesterday	AT	Austria	5	1	14497	2500	322	25
Volkspartei Niederösterreich	Volkspartei Niederösterreich	185269004912086	Facebook	rd1	Yesterday	AT	Austria	55	1	14368	1875	680	0
Wissensministerium	Wissensministerium	145146972927688	Facebook	rd1	Yesterday	AT	Austria	56	1	13323	999	924	0
Wirtschaftsbund Österreich	Wirtschaftsbund Österreich	385183128166442	Facebook	rd1	Yesterday	AT	Austria	68	1	13116	1499	841	0
FSG - Fraktion Sozialdemokratischer GewerkschafterInnen	GewerkschafterInnen in der SPÖ	364093897023468	Facebook	rd1	Yesterday	AT	Austria	5	1	12498	4750	173	0
NR KLUB JETZT	NR KLUB JETZT	833013456857401	Facebook	rd1	Yesterday	AT	Austria	10	1	10995	1500	495	0
Wochenblick	Wochenblick	991628130904203	Facebook	rd1	Yesterday	AT	Austria	3	1	10832	5416	307	49
Freiheitliche Jugend	Freiheitliche Jugend	261850724850	Facebook	rd1	Yesterday	AT	Austria	11	1	10390	2475	95	11
Salzburger Volkspartei		243190742384882	Facebook	rd1	Yesterday	AT	Austria	1	1	9999	2000	19	0
Sebastian Kurz	Volkspartei	105151752909840	Facebook	rd1	Yesterday	AT	Austria	30	1	8996	2000	371	0
GRAS - Grüne & Alternative Student_innen	GRAS - Grüne & Alternative Student_innen	79935247286	Facebook	rd1	Yesterday	AT	Austria	3	1	8429	2060	53	6
Sozialdemokratischer Wirtschaftsverband Wien		217664835989	Facebook	rd1	Yesterday	AT	Austria	2	1	7499	1500	24	2
Johanna Mikl-Leitner	Volkspartei Niederösterreich	1265927890114720	Facebook	rd1	Yesterday	AT	Austria	59	1	7367	0	730	0
Europa-Wahl 2019	Michael Eisenriegler Bakk Phil	489866264465481	Facebook	rd1	Yesterday	AT	Austria	4	1	6749	2700	89	0
Die Tiroler Grünen	Die Tiroler Grünen	112941499555	Facebook	rd1	Yesterday	AT	Austria	3	1	6665	1333	132	0
Wolfram Pirchner	Österreichischer Seniorenbund	296676857050295	Facebook	rd1	Yesterday	AT	Austria	1	1	5555	1111	55	11
Maximilian Krauss		590930261019192	Facebook	rd1	Yesterday	AT	Austria	7	1	5379	1047	117	0
AktionsGemeinschaft Uni Wien	AktionsGemeinschaft	185474925851	Facebook	rd1	Yesterday	AT	Austria	3	1	5332	1000	132	0
Michael Raml	FPÖ Linz	1499759610320321	Facebook	rd1	Yesterday	AT	Austria	9	1	5234	1039	69	7
Johann Gudenus		104145976305577	Facebook	rd1	Yesterday	AT	Austria	6	1	4999	1428	84	0
Klang der Solidarität		385076005313967	Facebook	rd1	Yesterday	AT	Austria	13	1	4629	1914	6	0
Gottfried Waldhäusl		627580790692097	Facebook	rd1	Yesterday	AT	Austria	15	1	3835	526	172	1
Freiheitliche Arbeitnehmer Oberösterreich	Freiheitliche Arbeitnehmer Oberösterreich	346842098763288	Facebook	rd1	Yesterday	AT	Austria	9	1	3722	342	232	0
Herwig Mahr	Freiheitlicher Landtagsklub Oberösterreich	212990319049096	Facebook	rd1	Yesterday	AT	Austria	10	1	3574	403	203	0
Austrian Institute of Economics and Social Philosophy	Martin Prikoszovich 	656825111035082	Facebook	rd1	Yesterday	AT	Austria	1	1	3571	714	35	7
Markus Hein	FPÖ Linz	624525897689879	Facebook	rd1	Yesterday	AT	Austria	20	1	3059	386	179	0
Die Innsbrucker Grünen		185943534768550	Facebook	rd1	Yesterday	AT	Austria	3	1	2999	500	99	0
Daniela Holzinger-Vogtenhuber	NR KLUB JETZT	510291985696801	Facebook	rd1	Yesterday	AT	Austria	3	1	2777	1222	33	0
Werner Kogler	Die Grünen	133612666671985	Facebook	rd1	Yesterday	AT	Austria	1	1	2499	500	49	0
Thomas Drozda	SPÖ	665544580263664	Facebook	rd1	Yesterday	AT	Austria	4	1	2488	397	88	0
VSStÖ Innsbruck - Verband Sozialistischer StudentInnen Sektion Innsbruck	Sophia Maria Amprosi 	154146876422	Facebook	rd1	Yesterday	AT	Austria	3	1	2332	333	99	0
Udo Landbauer		494195290313	Facebook	rd1	Yesterday	AT	Austria	5	1	2248	249	123	0
FPÖ Niederösterreich		150623338441911	Facebook	rd1	Yesterday	AT	Austria	2	1	2112	422	37	0
Sandra Krautwaschl		1576711892460949	Facebook	rd1	Yesterday	AT	Austria	1	1	1999	999	19	0
LET'S CEE Film Festival	LET'S CEE Film Festival	374807339208829	Facebook	rd1	Yesterday	AT	Austria	4	1	1909	182	117	0
VSStÖ Wien	Eva Sager 	310569117205	Facebook	rd1	Yesterday	AT	Austria	3	1	1699	200	89	0
Grüne Bezirk Perg	Die Grünen Bezirk Perg	165942220092466	Facebook	rd1	Yesterday	AT	Austria	2	1	1499	200	69	0
Meine Abgeordneten		467206919970332	Facebook	rd1	Yesterday	AT	Austria	3	1	1498	0	148	0
Gerald Loacker	Gerald Loacker	457682787636207	Facebook	rd1	Yesterday	AT	Austria	3	1	1266	166	59	0
Die Grünen Oberösterreich	Die Grünen Oberösterreich	84955135551	Facebook	rd1	Yesterday	AT	Austria	1	1	1249	625	12	0
Arbeiterkammer Niederösterreich		200201856970	Facebook	rd1	Yesterday	AT	Austria	1	1	1219	243	2	0
August Wöginger	Österreichische Volkspartei	151876981526792	Facebook	rd1	Yesterday	AT	Austria	9	1	1123	0	111	0
Mauthausen Memorial / KZ-Gedenkstätte		822535621220156	Facebook	rd1	Yesterday	AT	Austria	1	1	1063	212	2	0
Christian Pirker		200189984169557	Facebook	rd1	Yesterday	AT	Austria	4	1	1053	90	68	0
Chroniques Du Golfe		2196850910357980	Facebook	rd1	Yesterday	AT	Austria	4	1	1022	236	2	0
Die Grünen Steiermark	Die Grünen Steiermark	97997637890	Facebook	rd1	Yesterday	AT	Austria	2	1	999	0	99	0
Peter Hametner	Peter Hametner	388385461980020	Facebook	rd1	Yesterday	AT	Austria	1	1	999	200	19	0
Steffi Krisper		170392456839307	Facebook	rd1	Yesterday	AT	Austria	1	1	999	199	19	0
Barbara Jascht		414527438609874	Facebook	rd1	Yesterday	AT	Austria	1	1	930	186	9	1
FPÖ Linz	FPÖ Linz	422002897965438	Facebook	rd1	Yesterday	AT	Austria	1	1	833	166	16	0
GRAS Linz - Grüne und Alternative Student_innen	GRAS Linz - Grüne und Alternative Student_innen	1738792296441731	Facebook	rd1	Yesterday	AT	Austria	2	1	699	0	69	0
NEOS Wien	NEOS Wien	580791221952500	Facebook	rd1	Yesterday	AT	Austria	1	1	555	111	11	0
Junge Generation in der SPÖ	Junge Generation in der SPÖ	138952762862969	Facebook	rd1	Yesterday	AT	Austria	1	1	499	0	49	0
NEOS Niederösterreich	NEOS Niederösterreich	441223455916739	Facebook	rd1	Yesterday	AT	Austria	1	1	499	0	49	0
Sozialistische Jugend Steiermark		132022020234948	Facebook	rd1	Yesterday	AT	Austria	1	1	499	0	49	0
Österreichische Bundesbahnen (ÖBB)		146871548675617	Facebook	rd1	Yesterday	AT	Austria	1	1	499	0	49	0
SONNENTOR		203708287906	Facebook	rd1	Yesterday	AT	Austria	1	1	499	0	49	0
Zora Jaurová • Progresívne Slovensko		267456060571592	Facebook	rd1	Yesterday	AT	Austria	18	1	462	153	2	0
TIDAL		898781006883472	Facebook	rd1	Yesterday	AT	Austria	1	1	414	207	1	0
Mehr Demokratie für Vorarlberg		119053391454715	Facebook	rd1	Yesterday	AT	Austria	2	1	350	175	3	0
FXCM Deutschland		135468543147955	Facebook	rd1	Yesterday	AT	Austria	2	1	308	61	4	1
VSStÖ Med Wien		1557561051146053	Facebook	rd1	Yesterday	AT	Austria	1	1	199	0	19	0
Guardian Weekly		64525551258	Facebook	rd1	Yesterday	AT	Austria	5	1	184	36	0	0
24Bottles		126060760828576	Facebook	rd1	Yesterday	AT	Austria	6	1	147	0	14	0
aufstehn		1510541342544513	Facebook	rd1	Yesterday	AT	Austria	1	1	146	29	2	0
Harald Vilimsky	FPÖ	547597092025909	Facebook	rd1	Yesterday	AT	Austria	1	1	142	0	14	0
Elmar Podgorschek		439515072798739	Facebook	rd1	Yesterday	AT	Austria	1	1	142	28	2	0
Dinge, die man wissen sollte		132271536844834	Facebook	rd1	Yesterday	AT	Austria	1	1	124	0	12	0
Windkraft Simonsfeld AG		107619719323827	Facebook	rd1	Yesterday	AT	Austria	2	1	121	51	2	0
Wirtschaftskammer Kärnten		177249618154	Facebook	rd1	Yesterday	AT	Austria	1	1	108	21	2	0
Basmah		137973986840264	Facebook	rd1	Yesterday	AT	Austria	20	1	94	19	1	0
AVM Smart		310039286434638	Facebook	rd1	Yesterday	AT	Austria	3	1	89	0	8	0
CHAMOON		1933507923550646	Facebook	rd1	Yesterday	AT	Austria	2	1	82	16	0	0
photovoltaik		920212084736262	Facebook	rd1	Yesterday	AT	Austria	1	1	52	0	5	0
Tomáš Dentico, váš hlas rešpektovaný v Europarlamente	Skalnik Petr	1172318522948253	Facebook	rd1	Yesterday	AT	Austria	3	1	31	6	0	0
Ceramica.info		1677623205672969	Facebook	rd1	Yesterday	AT	Austria	2	1	30	0	2	0
Oceans Apart It		331442744076069	Facebook	rd1	Yesterday	AT	Austria	1	1	26	5	0	0
Européens Sans Frontières		668031516635463	Facebook	rd1	Yesterday	AT	Austria	7	1	26	11	0	0
Tuunes		992176580926495	Facebook	rd1	Yesterday	AT	Austria	5	1	22	6	0	0
SV4IE		2246467545588430	Facebook	rd1	Yesterday	AT	Austria	1	1	21	10	0	0
transport logistic		193167010699647	Facebook	rd1	Yesterday	AT	Austria	1	1	19	3	0	0
Miapetra Kumpula-Natri		922311201130062	Facebook	rd1	Yesterday	AT	Austria	1	1	16	3	0	0
NEOPresse - Unabhängige Nachrichten		256365644434748	Facebook	rd1	Yesterday	AT	Austria	1	1	16	0	1	0
GRÜNE Lindau	Christian Alexander Schabronath 	488659807839144	Facebook	rd1	Yesterday	AT	Austria	2	1	14	2	0	0
Intersolar		124579277563150	Facebook	rd1	Yesterday	AT	Austria	1	1	13	6	0	0
Exponea		437489159794764	Facebook	rd1	Yesterday	AT	Austria	11	1	8	1	0	0
Jaroslav Paška	Pašková Juliana	480862355305905	Facebook	rd1	Yesterday	AT	Austria	3	1	5	1	0	0
Michal Šimečka • Progresívne Slovensko		194278021265803	Facebook	rd1	Yesterday	AT	Austria	2	1	4	2	0	0
Human Rights Tattoo		245416135560300	Facebook	rd1	Yesterday	AT	Austria	1	1	4	0	0	0
Lime Shop Online		790946694613780	Facebook	rd1	Yesterday	AT	Austria	8	1	4	0	0	0
THE FIFTH COLLECTION		524624564286273	Facebook	rd1	Yesterday	AT	Austria	1	1	4	0	0	0
THTC - The Hemp Trading Company		30239959348	Facebook	rd1	Yesterday	AT	Austria	5	1	3	1	0	0
Olga Sehnalová	Olga Sehnalová	474594005906021	Facebook	rd1	Yesterday	AT	Austria	3	1	1	0	0	0
Dr. Mohamed Elhachmi Hamdi د. محمد الهاشمي الحامدي		482273315273345	Facebook	rd1	Yesterday	AT	Austria	2	1	1	0	0	0
YOGA BURN		146316959083110	Facebook	rd1	Yesterday	AT	Austria	3	1	1	0	0	0
CreativeLive		114420101917147	Facebook	rd1	Yesterday	AT	Austria	1	1	1	0	0	0
Progresívne Slovensko	Progresívne Slovensko	557862947737785	Facebook	rd1	Yesterday	AT	Austria	1	1	0	0	0	0
Evropski parlament Slovenija	Evropski parlament Slovenija	183314631692914	Facebook	rd1	Yesterday	AT	Austria	1	1	0	0	0	0
Sustainability Times		214303005827359	Facebook	rd1	Yesterday	AT	Austria	1	1	0	0	0	0
Protect My Public Media	APTS Action, Inc.	150720154976207	Facebook	rd1	Yesterday	AT	Austria	1	1	0	0	0	0
Open Society Foundations		18983389920	Facebook	rd1	Yesterday	AT	Austria	1	1	0	0	0	0
Shurat HaDin - Israel Law Center		709491732434343	Facebook	rd1	Yesterday	AT	Austria	1	1	0	0	0	0
S&P Global		112495188784373	Facebook	rd1	Yesterday	AT	Austria	3	1	0	0	0	0
Michal Šipoš - kandidát do Európskeho parlamentu		156395481064391	Facebook	rd1	Yesterday	AT	Austria	1	1	0	0	0	0
Greenpeace Magyarország		35634348348	Facebook	rd1	Yesterday	AT	Austria	3	1	0	0	0	0
Eldritch Foundry		333726374024339	Facebook	rd1	Yesterday	AT	Austria	1	1	0	0	0	0
Alpine Garden Society		239451772739772	Facebook	rd1	Yesterday	AT	Austria	1	1	0	0	0	0
Techamsee Openair / MX-Project		112850282196887	Facebook	rd1	Yesterday	AT	Austria	1	1	0	0	0	0
Vicenza Pride		208758469330868	Facebook	rd1	Yesterday	AT	Austria	1	1	0	0	0	0
Tiscali		184227348258332	Facebook	rd1	Yesterday	AT	Austria	1	1	0	0	0	0
Daniel Herman		378072105614553	Facebook	rd1	Yesterday	AT	Austria	1	1	0	0	0	0
ecoFuture & E.ON Energy Globe		104654572907664	Facebook	rd1	Yesterday	AT	Austria	7	1	0	0	0	0
WWF Deutschland		218786540044	Facebook	rd1	Yesterday	AT	Austria	1	1	0	0	0	0
Intimina		127412964006704	Facebook	rd1	Yesterday	AT	Austria	1	1	0	0	0	0
Minidotaznik.cz		432692927273545	Facebook	rd1	Yesterday	AT	Austria	1	1	0	0	0	0
EURACTIV		15299247059	Facebook	rd1	Yesterday	AT	Austria	1	1	0	0	0	0
RSM MBA		110428762358678	Facebook	rd1	Yesterday	AT	Austria	1	1	0	0	0	0
