advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	spend_code_filter	spend_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Kialo		729627343834501	Facebook	50_100	50 - 100	AT	Austria	294	1	198329	48523	1574	312
Klang der Solidarität		385076005313967	Facebook	50_100	50 - 100	AT	Austria	58	1	113953	50241	246	45
Orded Trand		2024411770977559	Facebook	50_100	50 - 100	AT	Austria	2	1	21148	4343	187	36
SPÖ	SPÖ	77393060080	Facebook	50_100	50 - 100	AT	Austria	379	1	14648	3727	116	0
POPO NUSS		1982336445409374	Facebook	50_100	50 - 100	AT	Austria	7	1	13465	2734	121	23
Aurora Prize		1413803418918630	Facebook	50_100	50 - 100	AT	Austria	4	1	12339	2519	106	20
Greenpeace Österreich	Greenpeace Österreich	32984679070	Facebook	50_100	50 - 100	AT	Austria	560	1	9656	2104	172	0
Angelika Winzig	Wirtschaftsbund Österreich	141015722773374	Facebook	50_100	50 - 100	AT	Austria	973	1	9512	1799	299	0
grünBAG		156990914391641	Facebook	50_100	50 - 100	AT	Austria	2	1	8108	2022	17	3
Genialbau Klub		1852419151474650	Facebook	50_100	50 - 100	AT	Austria	2	1	7151	1430	63	12
Wholesome Culture		1664959567149320	Facebook	50_100	50 - 100	AT	Austria	6	1	6539	2667	7	1
Claudia Gamon	NEOS	447992848717452	Facebook	50_100	50 - 100	AT	Austria	134	1	6274	1509	41	0
Verv		560545637307176	Facebook	50_100	50 - 100	AT	Austria	2	1	6040	3020	26	5
PolarNEWS		344744688893422	Facebook	50_100	50 - 100	AT	Austria	1	1	5380	1076	47	9
FXCM Deutschland		135468543147955	Facebook	50_100	50 - 100	AT	Austria	1	1	4940	988	43	8
Greens/EFA in the European Parliament		150527751674751	Facebook	50_100	50 - 100	AT	Austria	27	1	4313	1822	7	0
eToro		193863317737	Facebook	50_100	50 - 100	AT	Austria	13	1	4240	922	35	7
kontrast.at	kontrast.at	1079650008770485	Facebook	50_100	50 - 100	AT	Austria	44	1	3884	1204	13	0
OÖVP - die Oberösterreichische Volkspartei	Oberösterreichische Volkspartei	289163077789256	Facebook	50_100	50 - 100	AT	Austria	25	1	3828	980	7	0
Dunja		282764989069540	Facebook	50_100	50 - 100	AT	Austria	2	1	3555	708	32	6
Andreas Schieder	SPÖ	290881691011354	Facebook	50_100	50 - 100	AT	Austria	78	1	3377	793	23	0
Selbstbedienung - Die Band		180038648734414	Facebook	50_100	50 - 100	AT	Austria	2	1	2978	623	25	5
Harald Vilimsky	FPÖ	547597092025909	Facebook	50_100	50 - 100	AT	Austria	55	1	2838	712	16	0
Karoline Edtstadler	Salzburger Volkspartei	1580540041983231	Facebook	50_100	50 - 100	AT	Austria	154	1	2812	625	47	0
Hallohaus		204344733663623	Facebook	50_100	50 - 100	AT	Austria	6	1	2714	729	47	9
