advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	audience_code_filter	audience_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
sp.a	sp.a	57253967150	Facebook	u45_54	unknown (45-54)	BE	Belgium	136	1	17168	7217	77	19
European Parliament		178362315106	Facebook	u45_54	unknown (45-54)	BE	Belgium	93	1	15397	6698	104	22
Vlaams Belang	Vlaams Belang	56605856504	Facebook	u45_54	unknown (45-54)	BE	Belgium	55	1	9791	4509	68	15
Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	u45_54	unknown (45-54)	BE	Belgium	78	1	8402	3536	78	18
N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	u45_54	unknown (45-54)	BE	Belgium	75	1	7487	3186	20	4
CDH - Centre Démocrate Humaniste	CDH - Centre Démocrate Humaniste	189649407806135	Facebook	u45_54	unknown (45-54)	BE	Belgium	60	1	6400	2292	16	3
Kialo		729627343834501	Facebook	u45_54	unknown (45-54)	BE	Belgium	347	1	6264	2438	47	10
Parti Populaire - Le Peuple	Parti Populaire - Le Peuple	482811111771571	Facebook	u45_54	unknown (45-54)	BE	Belgium	13	1	3846	1641	18	5
Groen	Groen	84920854319	Facebook	u45_54	unknown (45-54)	BE	Belgium	93	1	3688	1259	22	2
Vlaams Belang Brussel	Vlaams Belang	499682940133305	Facebook	u45_54	unknown (45-54)	BE	Belgium	27	1	3322	1261	48	12
Tout sur le nucléaire / Alles over kernenergie		585236024850280	Facebook	u45_54	unknown (45-54)	BE	Belgium	12	1	3067	1259	13	3
Peter Mertens	PVDA	236485149843971	Facebook	u45_54	unknown (45-54)	BE	Belgium	117	1	2957	911	32	3
Open Vld	Open Vld	53668151866	Facebook	u45_54	unknown (45-54)	BE	Belgium	101	1	2757	1043	22	3
Wacky Politicians	Ladbrokes Belgium	325449998160769	Facebook	u45_54	unknown (45-54)	BE	Belgium	65	1	2497	974	6	0
Greenpeace Belgium		73232790238	Facebook	u45_54	unknown (45-54)	BE	Belgium	42	1	2316	817	21	2
VB - nos gens d'abord	Vlaams Belang	816130908786112	Facebook	u45_54	unknown (45-54)	BE	Belgium	47	1	2168	784	21	5
European Greens		141366725876424	Facebook	u45_54	unknown (45-54)	BE	Belgium	8	1	2132	829	14	3
Facebook Brussels	Facebook	287739491272583	Facebook	u45_54	unknown (45-54)	BE	Belgium	16	1	1971	774	21	5
John Crombez	sp.a	264131406977201	Facebook	u45_54	unknown (45-54)	BE	Belgium	58	1	1957	655	14	3
Parti Socialiste (PS)	Parti Socialiste (PS)	518402351504731	Facebook	u45_54	unknown (45-54)	BE	Belgium	55	1	1800	713	19	3
DéFI	DéFI	173518112695794	Facebook	u45_54	unknown (45-54)	BE	Belgium	25	1	1738	495	10	1
Mutualité chrétienne (MC)	Mutualité chrétienne (MC)	180233078762668	Facebook	u45_54	unknown (45-54)	BE	Belgium	7	1	1547	565	5	1
Jan Jambon	Nieuw-Vlaamse Alliantie	60317812912	Facebook	u45_54	unknown (45-54)	BE	Belgium	5	1	1471	598	14	3
Le racisme, vous valez mieux que ça		1858720887787052	Facebook	u45_54	unknown (45-54)	BE	Belgium	5	1	1393	559	4	1
Sign for my Future		1345513882259768	Facebook	u45_54	unknown (45-54)	BE	Belgium	4	1	1277	533	11	2
