advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Organizace pro pomoc uprchlíkům, z.s.		188235971211201	Facebook	d075	2019-03-16	CZ	Czechia	6	1	40713	8142	18	3
e.on		356382154550156	Facebook	d075	2019-03-16	CZ	Czechia	1	1	14285	7142	71	14
Martin Hrubčík		253207085584079	Facebook	d075	2019-03-16	CZ	Czechia	5	1	11716	2343	31	7
Ondřej Krutílek - kandidát do Evropského parlamentu		1220066088147062	Facebook	d075	2019-03-16	CZ	Czechia	2	1	10961	2192	42	8
Asociace společenské odpovědnosti		117111438676	Facebook	d075	2019-03-16	CZ	Czechia	1	1	6249	1249	24	4
Tomáš Zdechovský		275042429350706	Facebook	d075	2019-03-16	CZ	Czechia	1	1	5154	2061	20	4
Nadace Vodafone Česká republika		49020448604	Facebook	d075	2019-03-16	CZ	Czechia	1	1	4545	909	3	1
Eva Decroix		567229570370422	Facebook	d075	2019-03-16	CZ	Czechia	3	1	2360	472	9	1
Forexmag		188990765060204	Facebook	d075	2019-03-16	CZ	Czechia	1	1	1923	384	7	1
Council of the European Union		147547541961576	Facebook	d075	2019-03-16	CZ	Czechia	3	1	1798	850	5	1
Jaromír Štětina, člen EPP frakce Evropského parlamentu		334720110067940	Facebook	d075	2019-03-16	CZ	Czechia	1	1	1219	243	12	2
Mirek Topolánek		270921370098092	Facebook	d075	2019-03-16	CZ	Czechia	4	1	1041	333	3	0
ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	d075	2019-03-16	CZ	Czechia	5	1	789	331	6	1
Haydi Tatile		2107340192658838	Facebook	d075	2019-03-16	CZ	Czechia	2	1	522	104	0	0
Mikuláš Halás		196903380333133	Facebook	d075	2019-03-16	CZ	Czechia	1	1	499	100	0	0
PhDr. Jan Hrnčíř		632369483479043	Facebook	d075	2019-03-16	CZ	Czechia	1	1	454	90	8	0
Asklepion - Klinika a institut estetické medicíny		181309083350	Facebook	d075	2019-03-16	CZ	Czechia	6	1	383	32	1	0
Evropa společně		535611970260854	Facebook	d075	2019-03-16	CZ	Czechia	3	1	365	73	7	0
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	d075	2019-03-16	CZ	Czechia	1	1	329	65	0	0
Národní Noviny	Hrubon Rudolf	267806570729225	Facebook	d075	2019-03-16	CZ	Czechia	1	1	249	0	0	0
KDU-ČSL		251656685576	Facebook	d075	2019-03-16	CZ	Czechia	7	1	175	23	1	0
NATO Strategic Communications Centre of Excellence		1456516717932002	Facebook	d075	2019-03-16	CZ	Czechia	1	1	150	75	0	0
Interkontakt.store		1757605707867183	Facebook	d075	2019-03-16	CZ	Czechia	1	1	124	0	2	0
Starostové a nezávislí	Starostové a nezávislí	370583064327	Facebook	d075	2019-03-16	CZ	Czechia	1	1	94	18	0	0
γυρίζουμε		278308089460720	Facebook	d075	2019-03-16	CZ	Czechia	2	1	92	42	0	0
