advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Ciudadanos	Ciudadanos	74078667754	Facebook	d107	2019-04-17	430	1	9551570	2632000	60070	4200
Partido Popular	Partido Popular	72249031214	Facebook	d107	2019-04-17	986	1	5267337	1405666	37037	966
Partidul Naţional Liberal		181375448581167	Facebook	d107	2019-04-17	23	1	1884159	839166	3475	756
SP	SP	128393027527	Facebook	d107	2019-04-17	60	1	1732940	616000	24740	4300
D66	D66	52985377549	Facebook	d107	2019-04-17	13	1	1290854	524514	16026	3150
Vlaams Belang	Vlaams Belang	56605856504	Facebook	d107	2019-04-17	6	1	1246792	615897	8772	2005
European Commission		107898832590939	Facebook	d107	2019-04-17	66	1	1143867	519523	4345	1162
Podemos	Unidas Podemos	269212336568846	Facebook	d107	2019-04-17	26	1	1069717	485974	6240	1411
Gazeta Wyborcza		63563473556	Facebook	d107	2019-04-17	4	1	1015996	506000	1232	232
Lilian Marijnissen	SP	844559615710915	Facebook	d107	2019-04-17	24	1	982976	308000	10476	1800
SPD	SPD	47930567748	Facebook	d107	2019-04-17	425	1	936575	151000	42475	100
sp.a	sp.a	57253967150	Facebook	d107	2019-04-17	92	1	692737	255012	3564	800
Uniunea Salvați România - USR	Uniunea Salvați România - USR	1058116737612843	Facebook	d107	2019-04-17	16	1	604995	240000	1903	495
Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	d107	2019-04-17	12	1	593329	284166	1687	439
George Simion		2212856535602171	Facebook	d107	2019-04-17	2	1	549998	210000	1155	231
Kialo		729627343834501	Facebook	d107	2019-04-17	9	1	549991	170000	2573	445
Venstre, Danmarks Liberale Parti	Venstre, Danmarks Liberale Parti	21465928829	Facebook	d107	2019-04-17	19	1	540981	170000	10388	2088
Romania #nuepsd	Future Innovation	293215748279337	Facebook	d107	2019-04-17	1	1	499999	200000	209	105
Un país moderno	Unidas Podemos	577723459314066	Facebook	d107	2019-04-17	24	1	492616	219678	3269	643
Fidesz	Fidesz	9844779306	Facebook	d107	2019-04-17	4	1	449998	200000	928	464
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	d107	2019-04-17	6	1	449205	204126	681	136
Thodoris Kalabokis	Thodoris Kalabokis	311791572779718	Facebook	d107	2019-04-17	19	1	448323	125666	2806	449
PSC Partit dels  Socialistes de Catalunya	PSC Partit dels  Socialistes de Catalunya	87930687376	Facebook	d107	2019-04-17	10	1	444443	183333	2832	733
Initiative Neue Soziale Marktwirtschaft (INSM)	Initiative Neue Soziale Marktwirtschaft (INSM)	121678260974	Facebook	d107	2019-04-17	105	1	443257	123925	3102	114
Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	d107	2019-04-17	3	1	414999	207500	657	278
