advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	gender_code_filter	gender_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	m	male	1511	1	94958896	41851479	497197	122416
Kialo		729627343834501	Facebook	m	male	696	1	62648928	25118727	408602	100325
Britain's Future	Britain's Future	1625300137516491	Facebook	m	male	4480	1	47647771	14806228	556707	74247
Podemos	Unidas Podemos	269212336568846	Facebook	m	male	298	1	47102172	21262065	277793	73311
People's Vote UK	People's Vote	748608695327755	Facebook	m	male	3490	1	46126785	15839943	611258	108275
Ciudadanos	Ciudadanos	74078667754	Facebook	m	male	5169	1	41858335	12698087	417833	30186
Partido Popular	Partido Popular	72249031214	Facebook	m	male	1643	1	26237365	9849880	158882	23490
Conservatives	The Conservative Party	8807334278	Facebook	m	male	1906	1	25563426	9820038	292785	40363
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	m	male	2086	1	23799826	8026466	336283	39796
SPD	SPD	47930567748	Facebook	m	male	4399	1	20813402	6493990	412584	28442
We are the 52%	We are the 52%	466744973727718	Facebook	m	male	278	1	19154129	7121277	51736	7020
European Commission		107898832590939	Facebook	m	male	92	1	19130908	8861304	77982	19412
The Labour Party	The Labour Party	25749647410	Facebook	m	male	643	1	17035912	6685558	148448	31506
Sacramento Kings		96222644025	Facebook	m	male	33	1	17011427	7813170	13134	3825
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	m	male	75	1	15311769	6749306	34333	9439
CDU	CDU	78502295414	Facebook	m	male	3170	1	14806125	3673284	155580	0
Best For Britain	Best for Britain	1863944713844924	Facebook	m	male	799	1	13777701	5737920	181684	42337
sp.a	sp.a	57253967150	Facebook	m	male	231	1	13594889	5656473	65810	15136
Vlaams Belang	Vlaams Belang	56605856504	Facebook	m	male	57	1	11985948	5508415	81492	18913
Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	m	male	276	1	11585361	4754973	50182	9531
Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	m	male	90	1	10881625	4614793	95742	22912
Partidul Naţional Liberal		181375448581167	Facebook	m	male	98	1	10603617	4556599	15721	4213
38 Degrees	38 Degrees	200006375787	Facebook	m	male	614	1	10597188	3837479	73160	11079
Partito Democratico		77034286895	Facebook	m	male	133	1	10401195	4523639	40565	8781
Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	m	male	39	1	10241762	4853823	21400	9732
