advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	location_code_filter	location_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Dominic Hannigan	Dominic Hannigan	210059959032336	Facebook	galway_IE	Galway, Ireland	135	1	1180366	371504	6384	963
Referendum Commission		580832208630212	Facebook	galway_IE	Galway, Ireland	18	1	948695	397484	8553	1845
European Parliament		178362315106	Facebook	galway_IE	Galway, Ireland	78	1	417315	183190	2589	488
Luke 'Ming' Flanagan MEP	Luke 'Ming' Flanagan MEP	182354901841834	Facebook	galway_IE	Galway, Ireland	3	1	130263	65131	617	123
Matt Carthy	Carthy Matt	580216935345125	Facebook	galway_IE	Galway, Ireland	15	1	94864	28457	457	46
Fianna Fáil	Fianna Fáil	222629035132	Facebook	galway_IE	Galway, Ireland	26	1	77867	19958	230	7
Anne Rabbitte TD	Rabbitte Anne Marie	1426461550915658	Facebook	galway_IE	Galway, Ireland	4	1	72626	32432	338	56
Saoirse McHugh for MEP	Green Party Ireland	2242183922693730	Facebook	galway_IE	Galway, Ireland	7	1	69070	15587	204	0
Kialo		729627343834501	Facebook	galway_IE	Galway, Ireland	334	1	67191	28802	394	108
European Greens		141366725876424	Facebook	galway_IE	Galway, Ireland	7	1	56636	28318	511	157
Michael  O'Dowd for Europe	O'Dowd Michael Joseph	878147035569806	Facebook	galway_IE	Galway, Ireland	9	1	50562	10676	227	14
Labour Party		164027949687	Facebook	galway_IE	Galway, Ireland	5	1	39464	19732	160	32
Neil O'Mahony Renua Galway		729007003966263	Facebook	galway_IE	Galway, Ireland	8	1	36332	9867	778	0
Fine Gael		264172043210	Facebook	galway_IE	Galway, Ireland	3	1	35196	15235	107	51
Innovate Ennis		370847092976067	Facebook	galway_IE	Galway, Ireland	2	1	32071	6414	320	64
Owen Hanley	Owen Hanley	234006030801926	Facebook	galway_IE	Galway, Ireland	8	1	31992	6000	792	0
Guy Verhofstadt		99985820015	Facebook	galway_IE	Galway, Ireland	2	1	31721	12227	63	29
Róisín Garvey Green Party Candidate		2013340148967588	Facebook	galway_IE	Galway, Ireland	2	1	28556	5711	81	0
Department of Foreign Affairs and Trade		449282445418073	Facebook	galway_IE	Galway, Ireland	1	1	25480	10192	254	50
Cormac MacGowan	Mac Gowan Cormac	2224427621206563	Facebook	galway_IE	Galway, Ireland	3	1	23428	10215	281	0
Paddy Power		108803784913	Facebook	galway_IE	Galway, Ireland	4	1	19352	7973	181	36
Pro Life Campaign Ireland		224615650378	Facebook	galway_IE	Galway, Ireland	3	1	17390	7951	73	14
Students for Life Ireland		252011928285955	Facebook	galway_IE	Galway, Ireland	6	1	15936	3187	110	19
merrionstreet.ie		116635611711738	Facebook	galway_IE	Galway, Ireland	2	1	13540	6770	43	8
Humble Household		1746853745395190	Facebook	galway_IE	Galway, Ireland	33	1	11267	4430	84	18
