advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	location_code_filter	location_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Peter Gillo	Peter Gillo	578310722649724	Facebook	saarland_DE	Saarland, Germany	12	1	849988	320000	5588	1100
SPD	SPD	47930567748	Facebook	saarland_DE	Saarland, Germany	4497	1	727397	204029	15460	818
Uwe Conradt: Saarbrücken - gemeinsam - voran.	CDU Saarbrücken Stadt	577254072692345	Facebook	saarland_DE	Saarland, Germany	18	1	443500	112643	1777	0
CDU	CDU	78502295414	Facebook	saarland_DE	Saarland, Germany	37	1	331097	96039	2973	0
FDP	FDP	21289227249	Facebook	saarland_DE	Saarland, Germany	788	1	273067	82567	2061	128
European Parliament		178362315106	Facebook	saarland_DE	Saarland, Germany	74	1	158103	71510	1272	381
Barbara Meyer-Gluche	B90/Grüne Saarbrücken	183342321839259	Facebook	saarland_DE	Saarland, Germany	22	1	141826	35961	2575	99
Greenpeace Deutschland		22541752487	Facebook	saarland_DE	Saarland, Germany	428	1	130151	48277	771	96
FDP Saar - SaarLiberale	FDP Saar	189006054445407	Facebook	saarland_DE	Saarland, Germany	4	1	109996	22000	1196	200
Initiative Neue Soziale Marktwirtschaft (INSM)	Initiative Neue Soziale Marktwirtschaft (INSM)	121678260974	Facebook	saarland_DE	Saarland, Germany	495	1	99304	23861	1390	32
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	saarland_DE	Saarland, Germany	151	1	69958	23599	503	83
Katarina Barley	SPD	1522202731410785	Facebook	saarland_DE	Saarland, Germany	228	1	68326	19449	555	38
Covestro		150793518281117	Facebook	saarland_DE	Saarland, Germany	15	1	64803	28756	120	39
ÖDP Saar		792839881081223	Facebook	saarland_DE	Saarland, Germany	2	1	59998	15000	598	100
Angelika Hießerich-Peter		747321952087310	Facebook	saarland_DE	Saarland, Germany	2	1	54998	11000	198	0
Charlotte Britz		165631160160141	Facebook	saarland_DE	Saarland, Germany	1	1	49999	10000	499	100
Ministerium für Bildung und Kultur (Saarland)		130474463763840	Facebook	saarland_DE	Saarland, Germany	1	1	49999	10000	499	100
Avocadostore		312453876194	Facebook	saarland_DE	Saarland, Germany	1	1	49999	10000	99	0
Danke, Freihandel.	VDMA	226651401514704	Facebook	saarland_DE	Saarland, Germany	199	1	48465	11202	559	25
Klang der Solidarität		385076005313967	Facebook	saarland_DE	Saarland, Germany	72	1	45130	19539	95	12
Bundesregierung		768905426534529	Facebook	saarland_DE	Saarland, Germany	5	1	43239	18613	366	73
Kialo		729627343834501	Facebook	saarland_DE	Saarland, Germany	327	1	40111	14835	300	71
DIE LINKE	DIE LINKE	47694585682	Facebook	saarland_DE	Saarland, Germany	25	1	39353	16559	213	21
Entega		198244400189055	Facebook	saarland_DE	Saarland, Germany	78	1	38389	12861	715	166
Sozialdemokratische Partei Europas	Sozialdemokratische Partei Europas	338549033673221	Facebook	saarland_DE	Saarland, Germany	52	1	36980	13019	223	15
