advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	location_code_filter	location_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
SPÖ Kärnten	SPÖ Kärnten	10150145829810364	Facebook	carinthia_AT	Carinthia, Austria	30	1	948970	348000	7470	1400
Harald Vilimsky	FPÖ	547597092025909	Facebook	carinthia_AT	Carinthia, Austria	115	1	645496	269523	4806	1158
European Parliament		178362315106	Facebook	carinthia_AT	Carinthia, Austria	82	1	480806	206334	4816	1414
kontrast.at	kontrast.at	1079650008770485	Facebook	carinthia_AT	Carinthia, Austria	84	1	298898	121886	1403	414
Claudia Gamon	NEOS	447992848717452	Facebook	carinthia_AT	Carinthia, Austria	108	1	291703	101329	1942	362
HC Strache	FPÖ	74865038590	Facebook	carinthia_AT	Carinthia, Austria	52	1	284459	121295	1926	516
SPÖ	SPÖ	77393060080	Facebook	carinthia_AT	Carinthia, Austria	223	1	214920	72844	1716	173
Andreas Schieder	SPÖ	290881691011354	Facebook	carinthia_AT	Carinthia, Austria	100	1	187308	61967	1293	283
Christian Pirker		200189984169557	Facebook	carinthia_AT	Carinthia, Austria	80	1	180068	45684	5290	10
Greenpeace Österreich	Greenpeace Österreich	32984679070	Facebook	carinthia_AT	Carinthia, Austria	534	1	167768	45421	2577	48
Europäisches Parlament Österreich		124468054313069	Facebook	carinthia_AT	Carinthia, Austria	34	1	135743	56015	611	194
Europäische Kommission - Vertretung in Österreich		187626534620326	Facebook	carinthia_AT	Carinthia, Austria	15	1	135739	57020	189	31
Die Grünen	Die Grünen	21759893033	Facebook	carinthia_AT	Carinthia, Austria	53	1	103546	31288	773	136
Wirtschaftskammer		125946327466544	Facebook	carinthia_AT	Carinthia, Austria	148	1	85195	20626	1148	53
Johann Gudenus		104145976305577	Facebook	carinthia_AT	Carinthia, Austria	25	1	71026	29074	446	88
FPÖ	FPÖ	169051073236170	Facebook	carinthia_AT	Carinthia, Austria	11	1	68233	29751	558	147
Dominik Nepp	FPÖ-Wien	135953609780627	Facebook	carinthia_AT	Carinthia, Austria	11	1	65752	29903	392	132
Kelag Energie		157998714247048	Facebook	carinthia_AT	Carinthia, Austria	1	1	49999	10000	99	0
Wirtschaftsbund Österreich	Wirtschaftsbund Österreich	385183128166442	Facebook	carinthia_AT	Carinthia, Austria	141	1	41616	9555	1075	25
Pamela Rendi-Wagner	SPÖ-Parlamentsklub	1673371229636129	Facebook	carinthia_AT	Carinthia, Austria	61	1	37045	9389	265	5
Kialo		729627343834501	Facebook	carinthia_AT	Carinthia, Austria	303	1	36819	12419	229	55
European Greens		141366725876424	Facebook	carinthia_AT	Carinthia, Austria	8	1	30578	12561	187	45
Wolfram Pirchner	Österreichischer Seniorenbund	296676857050295	Facebook	carinthia_AT	Carinthia, Austria	4	1	26225	10324	428	80
NEOS	NEOS	327450964017497	Facebook	carinthia_AT	Carinthia, Austria	16	1	26080	4907	507	14
Plan International Österreich		115130990779	Facebook	carinthia_AT	Carinthia, Austria	13	1	24719	9396	188	45
Heumilch		184745071568863	Facebook	carinthia_AT	Carinthia, Austria	1	1	24435	9774	48	24
Klang der Solidarität		385076005313967	Facebook	carinthia_AT	Carinthia, Austria	55	1	23046	9595	43	5
Addendum		109044023134793	Facebook	carinthia_AT	Carinthia, Austria	10	1	21402	9224	163	24
Julia Herr	Sozialistische Jugend Österreich	345172509462824	Facebook	carinthia_AT	Carinthia, Austria	9	1	20243	9365	136	39
GPA-djp	GPA-djp	214499840736	Facebook	carinthia_AT	Carinthia, Austria	21	1	19190	5281	94	0
1Europa	Peter Glawischnig	320389701908367	Facebook	carinthia_AT	Carinthia, Austria	10	1	17818	5153	106	14
KWB		134452439906870	Facebook	carinthia_AT	Carinthia, Austria	11	1	17696	3879	141	0
NR KLUB JETZT	NR KLUB JETZT	833013456857401	Facebook	carinthia_AT	Carinthia, Austria	54	1	17546	4243	260	0
Maximilian Krauss		590930261019192	Facebook	carinthia_AT	Carinthia, Austria	48	1	17177	3594	403	12
Lukas Mandl	Verein VSM - Vorzugsstimmen für Mandl	436914289678818	Facebook	carinthia_AT	Carinthia, Austria	44	1	16291	3225	274	20
Sarah Wiener	Die Grünen	970529566390833	Facebook	carinthia_AT	Carinthia, Austria	6	1	15569	5582	97	17
Werner Kogler	Die Grünen	133612666671985	Facebook	carinthia_AT	Carinthia, Austria	9	1	14585	4348	148	41
Freiheitliche Jugend	Freiheitliche Jugend	261850724850	Facebook	carinthia_AT	Carinthia, Austria	11	1	12525	3087	114	11
Grüner Fisher Investments		138832469593845	Facebook	carinthia_AT	Carinthia, Austria	36	1	12048	3450	542	106
Michael Raml	FPÖ Linz	1499759610320321	Facebook	carinthia_AT	Carinthia, Austria	18	1	11381	2384	137	9
Alex Bernhuber	Niederösterreichischer Bauernbund	382872055842390	Facebook	carinthia_AT	Carinthia, Austria	34	1	10737	2695	257	4
Wochenblick	Wochenblick	991628130904203	Facebook	carinthia_AT	Carinthia, Austria	7	1	10469	2777	78	9
FSG - Fraktion Sozialdemokratischer GewerkschafterInnen	GewerkschafterInnen in der SPÖ	364093897023468	Facebook	carinthia_AT	Carinthia, Austria	17	1	9829	2965	134	13
MPREIS		138966549472624	Facebook	carinthia_AT	Carinthia, Austria	1	1	9761	4880	48	9
GRAS - Grüne & Alternative Student_innen	GRAS - Grüne & Alternative Student_innen	79935247286	Facebook	carinthia_AT	Carinthia, Austria	25	1	9650	2316	128	18
Amnesty International Austria		30925241455	Facebook	carinthia_AT	Carinthia, Austria	17	1	9594	2427	71	0
ServusTV		248450014269	Facebook	carinthia_AT	Carinthia, Austria	3	1	9562	1912	18	0
Meins		1475362469455962	Facebook	carinthia_AT	Carinthia, Austria	2	1	9469	4734	47	9
Peter Haubner		276851356116014	Facebook	carinthia_AT	Carinthia, Austria	16	1	9468	2987	182	18
Gottfried Waldhäusl		627580790692097	Facebook	carinthia_AT	Carinthia, Austria	17	1	9360	2283	150	12
Österreichische Gesellschaft für Europapolitik	Österreichische Gesellschaft für Europapolitik	290449626693	Facebook	carinthia_AT	Carinthia, Austria	5	1	9255	3580	72	12
Angelika Winzig	Wirtschaftsbund Österreich	141015722773374	Facebook	carinthia_AT	Carinthia, Austria	17	1	8574	1645	178	11
CARE Österreich		163811269488	Facebook	carinthia_AT	Carinthia, Austria	5	1	8097	1613	34	2
Zalando		451619258340545	Facebook	carinthia_AT	Carinthia, Austria	1	1	7986	3993	39	19
dieUmweltDruckerei		121763211191717	Facebook	carinthia_AT	Carinthia, Austria	4	1	7560	2930	60	11
Freiheitliches Bildungsinstitut		2078696619076584	Facebook	carinthia_AT	Carinthia, Austria	1	1	7146	3573	71	35
LET'S CEE Film Festival	LET'S CEE Film Festival	374807339208829	Facebook	carinthia_AT	Carinthia, Austria	19	1	6853	1459	147	0
Thomas Waitz		235816017203590	Facebook	carinthia_AT	Carinthia, Austria	5	1	6826	1365	52	5
Politaia.org		617383885287512	Facebook	carinthia_AT	Carinthia, Austria	3	1	6763	3115	16	2
Othmar Karas	Othmar Karas	395638503864459	Facebook	carinthia_AT	Carinthia, Austria	6	1	6555	1482	48	4
Beate Hartinger-Klein		925449987652901	Facebook	carinthia_AT	Carinthia, Austria	1	1	6534	3267	32	6
Thomas Drozda	SPÖ	665544580263664	Facebook	carinthia_AT	Carinthia, Austria	15	1	6276	1552	72	0
Evelyn Regner		291746820967544	Facebook	carinthia_AT	Carinthia, Austria	14	1	6173	1554	54	0
Ordensgemeinschaften Österreich		341397769286892	Facebook	carinthia_AT	Carinthia, Austria	3	1	5770	1303	15	0
Wissensministerium	Wissensministerium	145146972927688	Facebook	carinthia_AT	Carinthia, Austria	55	1	5639	436	385	0
Markttechnik-Trading		172138732806894	Facebook	carinthia_AT	Carinthia, Austria	2	1	5421	1084	54	10
alles roger?		526014004225437	Facebook	carinthia_AT	Carinthia, Austria	3	1	5361	1233	35	5
Europa-Wahl 2019	Michael Eisenriegler Bakk Phil	489866264465481	Facebook	carinthia_AT	Carinthia, Austria	10	1	5114	1597	44	0
5 Minuten Villach		441269822730342	Facebook	carinthia_AT	Carinthia, Austria	1	1	4999	1000	99	0
Hotel Goldenes Lamm Villach		112915805405432	Facebook	carinthia_AT	Carinthia, Austria	1	1	4999	1000	99	0
Wirtschaftskammer Kärnten		177249618154	Facebook	carinthia_AT	Carinthia, Austria	1	1	4999	1000	99	0
Tropen Verlag		156005111145974	Facebook	carinthia_AT	Carinthia, Austria	1	1	4889	2444	12	2
Mario Kunasek		66095458281	Facebook	carinthia_AT	Carinthia, Austria	1	1	4867	973	48	9
Orded Trand		2024411770977559	Facebook	carinthia_AT	Carinthia, Austria	2	1	4556	1073	40	7
Kärnten Solar		577586748996730	Facebook	carinthia_AT	Carinthia, Austria	2	1	4388	1093	14	0
Freiheitliche Wirtschaft - FW Österreich		230725004508	Facebook	carinthia_AT	Carinthia, Austria	1	1	4240	848	8	0
Game of Sultans		185311195624361	Facebook	carinthia_AT	Carinthia, Austria	7	1	4031	1815	101	25
FXCM Deutschland		135468543147955	Facebook	carinthia_AT	Carinthia, Austria	3	1	3906	1660	77	17
CT Cartrade Handels GmbH		156550161516740	Facebook	carinthia_AT	Carinthia, Austria	1	1	3870	774	7	0
Serben in Österreich		1467877916667399	Facebook	carinthia_AT	Carinthia, Austria	1	1	3846	1923	19	3
Arbeit&Wirtschaft Blog		456681887737163	Facebook	carinthia_AT	Carinthia, Austria	6	1	3812	989	45	5
Biovegan		352506818255660	Facebook	carinthia_AT	Carinthia, Austria	1	1	3812	1906	9	1
Keinen Millimeter	Michael Dorner	356665748284436	Facebook	carinthia_AT	Carinthia, Austria	6	1	3787	1023	26	0
LICHT FÜR DIE WELT		179480532112410	Facebook	carinthia_AT	Carinthia, Austria	1	1	3683	736	7	0
Getsocialat		348037535258910	Facebook	carinthia_AT	Carinthia, Austria	6	1	3604	788	33	0
Karoline Edtstadler	Salzburger Volkspartei	1580540041983231	Facebook	carinthia_AT	Carinthia, Austria	21	1	3527	480	159	0
eToro		105255116217636	Facebook	carinthia_AT	Carinthia, Austria	4	1	3460	1706	82	16
Die Grünen Steiermark	Die Grünen Steiermark	97997637890	Facebook	carinthia_AT	Carinthia, Austria	12	1	3416	836	39	0
Sebastian Kurz	Volkspartei	105151752909840	Facebook	carinthia_AT	Carinthia, Austria	28	1	3346	820	122	0
refurbed		288143841600204	Facebook	carinthia_AT	Carinthia, Austria	13	1	3254	624	20	0
VIER PFOTEN		36714973506	Facebook	carinthia_AT	Carinthia, Austria	3	1	3230	646	16	0
ÖGPP - Österr. Gesellschaft für Politikberatung und Politikentwicklung		345168305518984	Facebook	carinthia_AT	Carinthia, Austria	8	1	3182	1001	74	14
FPÖ Niederösterreich		150623338441911	Facebook	carinthia_AT	Carinthia, Austria	2	1	3098	619	33	5
Bösmüller Print Management GesmbH & Co KG		184716394897512	Facebook	carinthia_AT	Carinthia, Austria	3	1	3091	618	16	0
Assistance au Financement Humanitaire		2057244924390350	Facebook	carinthia_AT	Carinthia, Austria	25	1	3074	809	52	0
Udo Landbauer		494195290313	Facebook	carinthia_AT	Carinthia, Austria	14	1	3030	1003	83	0
Katapult - Magazin		1511448562405225	Facebook	carinthia_AT	Carinthia, Austria	4	1	3004	1123	27	5
Christian Zoll		601419393620184	Facebook	carinthia_AT	Carinthia, Austria	2	1	2947	755	29	4
Tierschutzvolksbegehren		1642678769161065	Facebook	carinthia_AT	Carinthia, Austria	15	1	2790	656	85	0
Karl Nehammer	Volkspartei	1660071144087431	Facebook	carinthia_AT	Carinthia, Austria	1	1	2773	554	5	0
Minority SafePack		532492010145546	Facebook	carinthia_AT	Carinthia, Austria	12	1	2767	570	42	0
Die Grünen Oberösterreich	Die Grünen Oberösterreich	84955135551	Facebook	carinthia_AT	Carinthia, Austria	4	1	2757	715	14	0
Sepp Schellhorn		1559353254297014	Facebook	carinthia_AT	Carinthia, Austria	1	1	2693	538	5	0
Wolfgang Dvorak-Stocker		170104270209846	Facebook	carinthia_AT	Carinthia, Austria	1	1	2677	535	26	5
Irmgard Griss	Irmgard Griss	1505949083037195	Facebook	carinthia_AT	Carinthia, Austria	1	1	2676	535	5	0
Mauthausen Komitee Österreich		148318641892845	Facebook	carinthia_AT	Carinthia, Austria	1	1	2474	494	24	4
POPO NUSS		1982336445409374	Facebook	carinthia_AT	Carinthia, Austria	7	1	2470	559	25	3
Gerald G. Grosz		686924954713065	Facebook	carinthia_AT	Carinthia, Austria	1	1	2459	491	4	0
Arbeiterkammer Niederösterreich		200201856970	Facebook	carinthia_AT	Carinthia, Austria	1	1	2246	449	4	0
Dr. Johannes Öhlböck		249601055090885	Facebook	carinthia_AT	Carinthia, Austria	1	1	2245	449	22	4
oekostrom		40215688620	Facebook	carinthia_AT	Carinthia, Austria	1	1	2242	448	22	4
Chroniques Du Golfe		2196850910357980	Facebook	carinthia_AT	Carinthia, Austria	8	1	2199	554	8	0
aufstehn		1510541342544513	Facebook	carinthia_AT	Carinthia, Austria	1	1	2198	439	21	4
Selbstbedienung - Die Band		180038648734414	Facebook	carinthia_AT	Carinthia, Austria	2	1	2156	936	5	0
Markus Hein	FPÖ Linz	624525897689879	Facebook	carinthia_AT	Carinthia, Austria	11	1	2149	556	52	0
Kommando - International Special Operations Magazine		129571753756828	Facebook	carinthia_AT	Carinthia, Austria	3	1	2123	1061	7	1
Herwig Mahr	Freiheitlicher Landtagsklub Oberösterreich	212990319049096	Facebook	carinthia_AT	Carinthia, Austria	11	1	2107	628	63	0
agrarheute		152897127443	Facebook	carinthia_AT	Carinthia, Austria	5	1	2105	467	5	0
deingorilla.com		1473090849636848	Facebook	carinthia_AT	Carinthia, Austria	2	1	2105	726	12	5
TIDAL		898781006883472	Facebook	carinthia_AT	Carinthia, Austria	1	1	2099	1049	5	1
Barbara Jascht		414527438609874	Facebook	carinthia_AT	Carinthia, Austria	1	1	2076	415	20	4
Ansaar International e.V.		354608017990902	Facebook	carinthia_AT	Carinthia, Austria	7	1	2073	615	11	1
Junge Generation-Osttirol		1378401265744451	Facebook	carinthia_AT	Carinthia, Austria	1	1	2022	404	40	0
Fokus Arbeit		157395958536564	Facebook	carinthia_AT	Carinthia, Austria	1	1	2009	401	3	0
Testo Österreich		154238458591300	Facebook	carinthia_AT	Carinthia, Austria	12	1	1999	321	70	0
Solidar-Werkstatt Österreich		181812101834074	Facebook	carinthia_AT	Carinthia, Austria	1	1	1989	397	19	3
Siedler Verlag		545921772214198	Facebook	carinthia_AT	Carinthia, Austria	4	1	1987	641	9	1
Audible		116580098376181	Facebook	carinthia_AT	Carinthia, Austria	5	1	1896	413	11	1
Interessenvertretung ungeborener Menschen e.V.		783026275091881	Facebook	carinthia_AT	Carinthia, Austria	13	1	1829	481	11	0
Is nu guat		347492045641658	Facebook	carinthia_AT	Carinthia, Austria	1	1	1782	356	3	0
ChernobylAgency		1655637864514674	Facebook	carinthia_AT	Carinthia, Austria	2	1	1722	344	3	0
Luchterhand Literaturverlag		341410458159	Facebook	carinthia_AT	Carinthia, Austria	7	1	1672	819	10	3
Meine Abgeordneten		467206919970332	Facebook	carinthia_AT	Carinthia, Austria	8	1	1589	287	43	0
Daniela Holzinger-Vogtenhuber	NR KLUB JETZT	510291985696801	Facebook	carinthia_AT	Carinthia, Austria	4	1	1575	747	16	0
Wholesome Culture		1664959567149320	Facebook	carinthia_AT	Carinthia, Austria	7	1	1542	678	3	0
Freiheitliche Bauernschaft Oberösterreich	Freiheitliche Bauernschaft Oberösterreich	124298681063701	Facebook	carinthia_AT	Carinthia, Austria	9	1	1528	213	66	0
Clone Evolution		1345821958781389	Facebook	carinthia_AT	Carinthia, Austria	1	1	1464	586	26	13
Islamischer Zentralrat Schweiz (IZRS)		144407108981837	Facebook	carinthia_AT	Carinthia, Austria	4	1	1453	312	3	0
Mehr Demokratie für Vorarlberg		119053391454715	Facebook	carinthia_AT	Carinthia, Austria	4	1	1439	569	19	0
Frau in der Wirtschaft		108407722538698	Facebook	carinthia_AT	Carinthia, Austria	10	1	1408	151	79	0
wachsverpackt		811583129176833	Facebook	carinthia_AT	Carinthia, Austria	28	1	1393	242	36	0
C&A Foundation		1271896626240982	Facebook	carinthia_AT	Carinthia, Austria	5	1	1371	555	6	0
