advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	d082	2019-03-23	DK	Denmark	30	1	64480	21186	560	38
Lizette Risgaard		547601668763372	Facebook	d082	2019-03-23	DK	Denmark	16	1	28010	12368	454	123
Red Barnet		67571270393	Facebook	d082	2019-03-23	DK	Denmark	27	1	26113	9559	415	97
Nick Zimmermann - Dansk Folkeparti		331034483992282	Facebook	d082	2019-03-23	DK	Denmark	2	1	18331	3666	66	26
Sex og Samfund		250994288337708	Facebook	d082	2019-03-23	DK	Denmark	1	1	15384	7692	514	102
SE Energi & Klima		169900309711559	Facebook	d082	2019-03-23	DK	Denmark	2	1	13225	6612	55	11
Henning Overgaard		724792894340079	Facebook	d082	2019-03-23	DK	Denmark	1	1	12498	2499	16	3
Simple Feast		571176036346620	Facebook	d082	2019-03-23	DK	Denmark	25	1	11181	2313	137	22
World Animal Protection Danmark		33588644626	Facebook	d082	2019-03-23	DK	Denmark	5	1	10774	4458	128	28
Tænketanken Frej		241936245995223	Facebook	d082	2019-03-23	DK	Denmark	1	1	9090	4545	6	1
Pernille Weiss	Det Konservative Folkeparti	2071183673144991	Facebook	d082	2019-03-23	DK	Denmark	2	1	7017	3508	234	46
Claus Hasselmanns - Folketingskandidat		611297145887529	Facebook	d082	2019-03-23	DK	Denmark	14	1	6774	2064	59	12
En grønnere planet		301647537160818	Facebook	d082	2019-03-23	DK	Denmark	7	1	6733	2485	71	24
Shahzad Riaz - Folketingskandidat		751124808611554	Facebook	d082	2019-03-23	DK	Denmark	2	1	5795	1159	62	8
Folkekirkens Nødhjælp		276770505228	Facebook	d082	2019-03-23	DK	Denmark	11	1	4524	909	15	1
Morten Dahlin	Morten Dahlin	577345799101307	Facebook	d082	2019-03-23	DK	Denmark	3	1	4421	884	7	2
Charlotte Munch - Politiker		210317432480139	Facebook	d082	2019-03-23	DK	Denmark	4	1	4198	832	9	1
Socialdemokratiet		41459763029	Facebook	d082	2019-03-23	DK	Denmark	2	1	3884	1923	26	5
Elgiganten DK		174502449245037	Facebook	d082	2019-03-23	DK	Denmark	1	1	3703	1851	4	2
Mette Thiesen	Mette Thiesen	718327901589937	Facebook	d082	2019-03-23	DK	Denmark	6	1	3688	765	48	9
Ørsted		170902079673829	Facebook	d082	2019-03-23	DK	Denmark	6	1	3209	637	41	8
Karina Lorentzen Dehnhardt	Dehnhardt Karina Lorentzen	116061635098137	Facebook	d082	2019-03-23	DK	Denmark	1	1	3030	1515	20	4
Europa-Parlamentet i Danmark		128700897207990	Facebook	d082	2019-03-23	DK	Denmark	2	1	2999	1199	39	0
Morten Østergaard	Radikale Venstre	252520351444054	Facebook	d082	2019-03-23	DK	Denmark	1	1	2499	1249	16	3
SF		74796954245	Facebook	d082	2019-03-23	DK	Denmark	1	1	2499	1249	33	16
Susan Kronborg, Folketingskandidat, Radikale Venstre		450964118689253	Facebook	d082	2019-03-23	DK	Denmark	1	1	2499	500	6	0
Historiske Dage		366650673475911	Facebook	d082	2019-03-23	DK	Denmark	1	1	2499	499	24	4
Danmarks Socialdemokratiske Ungdom (DSU)		126084211821	Facebook	d082	2019-03-23	DK	Denmark	1	1	2497	1249	33	16
Den Blå Planet		167018996755220	Facebook	d082	2019-03-23	DK	Denmark	1	1	2222	1111	7	1
Rina Ronja Kari	Rina Ronja Kari	41763808759	Facebook	d082	2019-03-23	DK	Denmark	2	1	2129	851	25	0
Frihedsgudinderne		161580760854856	Facebook	d082	2019-03-23	DK	Denmark	4	1	2105	1052	28	14
Energibyen Frederikshavn		985536668182860	Facebook	d082	2019-03-23	DK	Denmark	1	1	1999	1000	13	2
Kate Kae		1820863678160878	Facebook	d082	2019-03-23	DK	Denmark	1	1	1769	884	1	0
Folketingskandidat - Claus Bøgh Svenningsen		1392451360871381	Facebook	d082	2019-03-23	DK	Denmark	9	1	1736	0	23	0
Nanna Bonde	Ottosen Nanna Bonde	470433920022890	Facebook	d082	2019-03-23	DK	Denmark	1	1	1666	833	14	0
Ali Aminali		1452133531486822	Facebook	d082	2019-03-23	DK	Denmark	1	1	1666	333	4	0
Røde Kors		65929129383	Facebook	d082	2019-03-23	DK	Denmark	3	1	1627	325	21	4
HALL AUDIO		1040727195955614	Facebook	d082	2019-03-23	DK	Denmark	1	1	1612	322	4	2
Marianne Bigum	Bigum Marianne Kristine Kjaergaard	213461659232038	Facebook	d082	2019-03-23	DK	Denmark	1	1	1562	312	20	4
Studiebyen Odense		66617247804	Facebook	d082	2019-03-23	DK	Denmark	1	1	1428	714	9	1
Jesper Petersen	Jesper Petersen	287814831337164	Facebook	d082	2019-03-23	DK	Denmark	1	1	1249	249	16	3
Kim Valentin	Valentin Kim	362875644473220	Facebook	d082	2019-03-23	DK	Denmark	1	1	1249	250	16	3
Odense ser Rødt / Rundfunk la Rouge		129940943738051	Facebook	d082	2019-03-23	DK	Denmark	1	1	1249	625	8	1
Red Barnet Ungdom		146956228206	Facebook	d082	2019-03-23	DK	Denmark	1	1	1190	238	15	3
Krogerup Højskole		276479815705210	Facebook	d082	2019-03-23	DK	Denmark	1	1	1136	227	15	3
Kathrine Olldag	Olldag Kathrine	810476755802044	Facebook	d082	2019-03-23	DK	Denmark	1	1	999	200	13	2
Karina Due - Dansk Folkeparti	Due Karina Friborg	727989634001093	Facebook	d082	2019-03-23	DK	Denmark	1	1	999	199	13	2
Troels Lund Poulsen	Poulsen Troels Lund	139443622778678	Facebook	d082	2019-03-23	DK	Denmark	1	1	999	200	13	2
Søren Bo Pedersen		156848008344406	Facebook	d082	2019-03-23	DK	Denmark	1	1	999	200	13	2
UNHCR Danmark		924692171033381	Facebook	d082	2019-03-23	DK	Denmark	1	1	999	200	13	2
Vores Ø - Enhedslisten Amager		231288407031477	Facebook	d082	2019-03-23	DK	Denmark	1	1	999	200	13	2
Morten Messerschmidt		111394892261429	Facebook	d082	2019-03-23	DK	Denmark	1	1	909	454	60	12
Camilla Kampmann		1071071099585942	Facebook	d082	2019-03-23	DK	Denmark	2	1	908	181	12	2
Radikal Ungdom		202754879788353	Facebook	d082	2019-03-23	DK	Denmark	1	1	908	454	6	1
e.on		511324618972373	Facebook	d082	2019-03-23	DK	Denmark	1	1	899	449	0	0
ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	d082	2019-03-23	DK	Denmark	3	1	869	402	5	1
Signe Bekker Dhiman		122062067872776	Facebook	d082	2019-03-23	DK	Denmark	1	1	833	166	11	2
Mellemfolkeligt Samvirke		5624899398	Facebook	d082	2019-03-23	DK	Denmark	22	1	813	31	9	0
Anders Baun EP valg 2019	Sorensen Anders Baun	549966298750692	Facebook	d082	2019-03-23	DK	Denmark	1	1	806	161	10	2
Herreværelset		624391997753870	Facebook	d082	2019-03-23	DK	Denmark	1	1	714	142	9	1
Rudi Valentin Bruus Sørensen		337759167085328	Facebook	d082	2019-03-23	DK	Denmark	1	1	713	142	1	0
Med Israel for fred - MIFF Danmark		405892706501089	Facebook	d082	2019-03-23	DK	Denmark	1	1	624	125	12	6
SFOF		161381229210	Facebook	d082	2019-03-23	DK	Denmark	1	1	624	312	8	4
Mette Gjerskov - Socialdemokratiet		130494840642224	Facebook	d082	2019-03-23	DK	Denmark	1	1	624	125	8	1
Sissel van Run-Kvist	Kvist Sissel	176580099127279	Facebook	d082	2019-03-23	DK	Denmark	2	1	499	0	6	0
Malernes Fagforening Storkøbenhavn		286619311389587	Facebook	d082	2019-03-23	DK	Denmark	1	1	499	100	6	1
Niels Fuglsang		264009771074617	Facebook	d082	2019-03-23	DK	Denmark	1	1	454	90	1	0
Poul Højlund NB		1910453852597472	Facebook	d082	2019-03-23	DK	Denmark	1	1	454	90	6	1
