advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	region_code_filter	region_name_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Hanna Holopainen		149856248393583	Facebook	south_karelia	South Karelia	FI	Finland	13	1	125825	27594	1364	176
Aleksi Laine		700514280309207	Facebook	south_karelia	South Karelia	FI	Finland	3	1	14181	2836	66	9
Keskusta	Suomen Keskusta	55312855747	Facebook	south_karelia	South Karelia	FI	Finland	4	1	11726	2368	42	4
Sosialidemokraatit SDP		108945982480217	Facebook	south_karelia	South Karelia	FI	Finland	226	1	9916	4073	59	10
Liike Nyt		194677504471503	Facebook	south_karelia	South Karelia	FI	Finland	4	1	9391	2047	116	23
Antti Häkkänen		1413586768888451	Facebook	south_karelia	South Karelia	FI	Finland	2	1	8444	2026	84	14
Ehdolla Eduskuntaan, Pekka Ranta		561462751021029	Facebook	south_karelia	South Karelia	FI	Finland	5	1	7575	1515	95	0
European Parliament		178362315106	Facebook	south_karelia	South Karelia	FI	Finland	52	1	3502	1574	31	12
Anna-Kristiina Mikkonen		271951582974555	Facebook	south_karelia	South Karelia	FI	Finland	1	1	2375	475	23	4
Mikkel Näkkäläjärvi		617733068345315	Facebook	south_karelia	South Karelia	FI	Finland	29	1	2147	438	40	0
Kokoomus		201285237101	Facebook	south_karelia	South Karelia	FI	Finland	8	1	2057	15	198	0
Juha Huhtala		770881059690053	Facebook	south_karelia	South Karelia	FI	Finland	3	1	1509	301	26	0
Sari Hyytiäinen, eduskuntavaaliehdokas 2019		263086794078859	Facebook	south_karelia	South Karelia	FI	Finland	3	1	1108	221	21	0
Jarno Strengell eduskuntavaaliehdokas 14.4.2019		307784380044908	Facebook	south_karelia	South Karelia	FI	Finland	2	1	1052	179	33	0
Mikko Ohela		201647537374497	Facebook	south_karelia	South Karelia	FI	Finland	4	1	973	4	95	0
Antti Astikainen eduskuntavaaliehdokas		327668014495830	Facebook	south_karelia	South Karelia	FI	Finland	2	1	957	191	16	0
puheenaihe.fi		1186458188110366	Facebook	south_karelia	South Karelia	FI	Finland	1	1	949	0	94	0
Vihreät - De Gröna		33722070600	Facebook	south_karelia	South Karelia	FI	Finland	31	1	872	345	3	0
Risto Kuisman sd tukiryhmä		153995244625836	Facebook	south_karelia	South Karelia	FI	Finland	1	1	682	341	6	0
Janne Parkkila - Vasemmistoliitto		354424931606915	Facebook	south_karelia	South Karelia	FI	Finland	5	1	610	123	4	0
Oatly		585888148224935	Facebook	south_karelia	South Karelia	FI	Finland	5	1	527	211	2	0
Jani Mäkelä - Kansanedustaja		188085847905188	Facebook	south_karelia	South Karelia	FI	Finland	1	1	505	101	10	0
K-Supermarket		380462231997295	Facebook	south_karelia	South Karelia	FI	Finland	6	1	461	190	8	1
Panu Jouhkimo		1813775398874805	Facebook	south_karelia	South Karelia	FI	Finland	1	1	396	79	7	0
Lea Sairanen		587075494835347	Facebook	south_karelia	South Karelia	FI	Finland	1	1	380	0	37	0
