advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	audience_code_filter	audience_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Dungeon Defenders		107960282569653	Facebook	m13_17	male (13-17)	FR	France	151	1	460923	195856	987	136
European Parliament		178362315106	Facebook	m13_17	male (13-17)	FR	France	55	1	398263	177705	1513	348
Paris Première		140770432659757	Facebook	m13_17	male (13-17)	FR	France	3	1	72966	36483	351	69
BeYo		1589705471328198	Facebook	m13_17	male (13-17)	FR	France	4	1	57778	11494	90	0
MSC en France - Marine Stewardship Council		301118646659348	Facebook	m13_17	male (13-17)	FR	France	1	1	47549	23774	118	23
MRAP		823565947739102	Facebook	m13_17	male (13-17)	FR	France	2	1	43472	19835	155	31
Campus protestant		2019076568379648	Facebook	m13_17	male (13-17)	FR	France	9	1	30924	13000	140	23
1 innovation par jour.		520430624775359	Facebook	m13_17	male (13-17)	FR	France	4	1	30437	10909	44	0
Pour l'Éco		1684441541609223	Facebook	m13_17	male (13-17)	FR	France	18	1	29179	11076	554	0
Make.org	Make.org	122037308191612	Facebook	m13_17	male (13-17)	FR	France	6	1	26994	11855	95	10
Industria		252084118203234	Facebook	m13_17	male (13-17)	FR	France	1	1	24803	12401	14	2
e.on		511324618972373	Facebook	m13_17	male (13-17)	FR	France	2	1	22957	10688	15	3
Le 1		850828794934579	Facebook	m13_17	male (13-17)	FR	France	4	1	22858	11429	17	0
Sofka Officiel		794971730540455	Facebook	m13_17	male (13-17)	FR	France	8	1	21182	4750	65	0
Kawalis		1684811098264984	Facebook	m13_17	male (13-17)	FR	France	2	1	18976	3794	33	0
Leqto		480992395581775	Facebook	m13_17	male (13-17)	FR	France	9	1	18570	4369	107	0
Licra		166362530077650	Facebook	m13_17	male (13-17)	FR	France	1	1	17232	3446	34	0
U.S. Mission to NATO		67014122312	Facebook	m13_17	male (13-17)	FR	France	1	1	15576	6230	2	0
Soul Food		204641650459862	Facebook	m13_17	male (13-17)	FR	France	1	1	13568	2713	26	0
TV Populaire		380582856088978	Facebook	m13_17	male (13-17)	FR	France	17	1	13024	2849	248	0
Caravanes Solidaires		271715622967699	Facebook	m13_17	male (13-17)	FR	France	1	1	12651	6325	31	6
Association  DACOR		1094903000571167	Facebook	m13_17	male (13-17)	FR	France	2	1	10539	2107	18	0
VL.		333687103357457	Facebook	m13_17	male (13-17)	FR	France	2	1	10021	2004	36	0
Pierre Trapier 2020		628176730976489	Facebook	m13_17	male (13-17)	FR	France	1	1	9646	1929	19	0
ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	m13_17	male (13-17)	FR	France	4	1	9450	4675	8	0
