advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	audience_code_filter	audience_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Referendum Commission		580832208630212	Facebook	u65_	unknown (65+)	IE	Ireland	24	1	3176	1376	27	5
Luke 'Ming' Flanagan MEP	Luke 'Ming' Flanagan MEP	182354901841834	Facebook	u65_	unknown (65+)	IE	Ireland	3	1	2006	1003	9	1
Dominic Hannigan	Dominic Hannigan	210059959032336	Facebook	u65_	unknown (65+)	IE	Ireland	30	1	1305	452	7	1
Alice Mary Higgins for Europe	Alice Mary Higgins	1055105841226515	Facebook	u65_	unknown (65+)	IE	Ireland	12	1	1206	261	6	0
Matt Carthy	Carthy Matt	580216935345125	Facebook	u65_	unknown (65+)	IE	Ireland	9	1	871	175	1	0
Guy Verhofstadt		99985820015	Facebook	u65_	unknown (65+)	IE	Ireland	2	1	735	275	1	0
Department of Foreign Affairs and Trade		449282445418073	Facebook	u65_	unknown (65+)	IE	Ireland	1	1	712	285	7	1
Fianna Fáil	Fianna Fáil	222629035132	Facebook	u65_	unknown (65+)	IE	Ireland	23	1	711	172	2	0
merrionstreet.ie		116635611711738	Facebook	u65_	unknown (65+)	IE	Ireland	2	1	659	329	2	0
Pro Life Campaign Ireland		224615650378	Facebook	u65_	unknown (65+)	IE	Ireland	3	1	620	297	2	0
Uplift - People Powered Change		214697488711000	Facebook	u65_	unknown (65+)	IE	Ireland	5	1	613	137	2	0
European Greens		141366725876424	Facebook	u65_	unknown (65+)	IE	Ireland	3	1	598	299	8	2
Sean Kelly MEP		340786422717552	Facebook	u65_	unknown (65+)	IE	Ireland	46	1	586	184	7	0
Fine Gael		264172043210	Facebook	u65_	unknown (65+)	IE	Ireland	3	1	504	211	1	0
European Parliament		178362315106	Facebook	u65_	unknown (65+)	IE	Ireland	24	1	429	143	4	0
Cllr. Éilis Ryan for Europe		787376334669425	Facebook	u65_	unknown (65+)	IE	Ireland	9	1	379	91	2	0
EPP - European People's Party		48034275355	Facebook	u65_	unknown (65+)	IE	Ireland	7	1	329	145	2	0
Students for Life Ireland		252011928285955	Facebook	u65_	unknown (65+)	IE	Ireland	4	1	312	62	3	0
Michael  O'Dowd for Europe	O'Dowd Michael Joseph	878147035569806	Facebook	u65_	unknown (65+)	IE	Ireland	8	1	306	62	1	0
Lynn Boylan MEP - Fighting for Dublin in Europe		406454202814957	Facebook	u65_	unknown (65+)	IE	Ireland	5	1	274	73	1	0
Saoirse McHugh for MEP	Green Party Ireland	2242183922693730	Facebook	u65_	unknown (65+)	IE	Ireland	7	1	263	63	1	0
Anne Rabbitte TD	Rabbitte Anne Marie	1426461550915658	Facebook	u65_	unknown (65+)	IE	Ireland	3	1	218	98	0	0
Tilt		169065407139584	Facebook	u65_	unknown (65+)	IE	Ireland	1	1	212	106	2	1
350.org		12185972707	Facebook	u65_	unknown (65+)	IE	Ireland	27	1	210	51	1	0
Microsoft Education		171047642947607	Facebook	u65_	unknown (65+)	IE	Ireland	6	1	191	76	1	0
Dan Boyle - Green Party/ Comhaontas Glas Candidate, Cork City South Central		359145628246402	Facebook	u65_	unknown (65+)	IE	Ireland	8	1	169	33	2	0
Dublin Cycling Campaign		186031000051	Facebook	u65_	unknown (65+)	IE	Ireland	1	1	168	33	0	0
The Palestine Institute for Public Diplomacy		158233651450504	Facebook	u65_	unknown (65+)	IE	Ireland	3	1	157	78	0	0
Azil u Srbiji - Centar za zaštitu i pomoć tražiocima azila		181548432005007	Facebook	u65_	unknown (65+)	IE	Ireland	3	1	154	30	0	0
Trending Today		311683089314196	Facebook	u65_	unknown (65+)	IE	Ireland	32	1	151	31	2	0
Diarmuid Devereux	Diarmuid Devereux	291990888144823	Facebook	u65_	unknown (65+)	IE	Ireland	5	1	147	32	1	0
Humble Household		1746853745395190	Facebook	u65_	unknown (65+)	IE	Ireland	27	1	132	48	1	0
Irish Film Workers Association		1739111919550903	Facebook	u65_	unknown (65+)	IE	Ireland	1	1	128	25	1	0
Gillian Brien - People Before Profit		433347757082574	Facebook	u65_	unknown (65+)	IE	Ireland	1	1	126	25	0	0
Sheila Nunan for Europe		786865738356162	Facebook	u65_	unknown (65+)	IE	Ireland	1	1	124	24	0	0
Rosa-Luxemburg-Stiftung / English		224597158386607	Facebook	u65_	unknown (65+)	IE	Ireland	2	1	124	25	0	0
People Before Profit		574029596021905	Facebook	u65_	unknown (65+)	IE	Ireland	1	1	119	23	0	0
Alex Salmond	Slainte Media	136191876445102	Facebook	u65_	unknown (65+)	IE	Ireland	3	1	116	31	0	0
Brian Leeson for Dundrum		432724154136140	Facebook	u65_	unknown (65+)	IE	Ireland	2	1	112	21	0	0
Oxfam		201612129410	Facebook	u65_	unknown (65+)	IE	Ireland	2	1	112	53	0	0
Imagine		118081615786	Facebook	u65_	unknown (65+)	IE	Ireland	1	1	110	55	0	0
Michael Clark	Clark Michael Douglas	376225562978212	Facebook	u65_	unknown (65+)	IE	Ireland	5	1	109	21	0	0
IIEA		116151744907	Facebook	u65_	unknown (65+)	IE	Ireland	1	1	108	21	0	0
The National Party - An Páirtí Náisiúnta		199999773787334	Facebook	u65_	unknown (65+)	IE	Ireland	1	1	104	20	0	0
McGowans Digital Print		340294073051	Facebook	u65_	unknown (65+)	IE	Ireland	1	1	98	19	0	0
InterTradeIreland		141609685900366	Facebook	u65_	unknown (65+)	IE	Ireland	2	1	92	35	0	0
Focus Ireland		328781076730	Facebook	u65_	unknown (65+)	IE	Ireland	1	1	85	17	0	0
Fusion Electrical		421825848326211	Facebook	u65_	unknown (65+)	IE	Ireland	2	1	85	22	0	0
Gino Kenny TD		450136775025476	Facebook	u65_	unknown (65+)	IE	Ireland	3	1	85	17	0	0
Abortion Rights Campaign		191023254376790	Facebook	u65_	unknown (65+)	IE	Ireland	1	1	84	16	0	0
EPIC The Irish Emigration Museum		1587584358121471	Facebook	u65_	unknown (65+)	IE	Ireland	1	1	82	16	0	0
Tara Deacy	Tara Deacy	1224420741003309	Facebook	u65_	unknown (65+)	IE	Ireland	1	1	81	16	0	0
Avaaz	Avaaz	8340223883	Facebook	u65_	unknown (65+)	IE	Ireland	2	1	80	15	0	0
Seamus Ryan	Ryan Seamus	380444175359380	Facebook	u65_	unknown (65+)	IE	Ireland	3	1	80	16	0	0
Barry Andrews for Europe	Barry Andrews	188114061407	Facebook	u65_	unknown (65+)	IE	Ireland	8	1	79	23	1	0
Sinn Féin Ireland		148726998530273	Facebook	u65_	unknown (65+)	IE	Ireland	1	1	76	15	0	0
Paddy Power		108803784913	Facebook	u65_	unknown (65+)	IE	Ireland	2	1	74	29	0	0
Blaine Gaffney	Blaine O' Gamhna	371962112988652	Facebook	u65_	unknown (65+)	IE	Ireland	2	1	67	15	0	0
Biteback Publishing		162886884671	Facebook	u65_	unknown (65+)	IE	Ireland	3	1	67	13	0	0
Paddy Meade for Meath County Council	Meade Patrick Eugene	248607801969670	Facebook	u65_	unknown (65+)	IE	Ireland	1	1	66	13	0	0
INSIDER		1413475698959824	Facebook	u65_	unknown (65+)	IE	Ireland	1	1	66	13	0	0
European Young Leaders - EYL40		227054030686626	Facebook	u65_	unknown (65+)	IE	Ireland	1	1	61	12	0	0
Councillor Seamus Maguire		2316974135253231	Facebook	u65_	unknown (65+)	IE	Ireland	1	1	58	11	0	0
Brendan Wyse	Brendan Wyse	264271610907208	Facebook	u65_	unknown (65+)	IE	Ireland	4	1	57	13	0	0
Neasa Hourigan Green Party		1353131934798813	Facebook	u65_	unknown (65+)	IE	Ireland	5	1	56	11	0	0
ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	u65_	unknown (65+)	IE	Ireland	43	1	55	25	0	0
Catherine Stocker SocDems		173573370153556	Facebook	u65_	unknown (65+)	IE	Ireland	2	1	53	23	0	0
