advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	recent_code_filter	recent_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	rd6	Last 6 days	RO	Romania	34	1	7953428	3452513	17721	4441
România în primul rând	Future Innovation	770704223323599	Facebook	rd6	Last 6 days	RO	Romania	27	1	7434877	3464451	8030	1961
Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	rd6	Last 6 days	RO	Romania	39	1	7225550	3279608	20691	5094
Partidul Naţional Liberal		181375448581167	Facebook	rd6	Last 6 days	RO	Romania	23	1	3447596	1531665	7601	2150
Uniunea Salvați România - USR	Uniunea Salvați România - USR	1058116737612843	Facebook	rd6	Last 6 days	RO	Romania	24	1	3091338	1364182	12371	2913
Romania #nuepsd	Future Innovation	293215748279337	Facebook	rd6	Last 6 days	RO	Romania	2	1	1999975	999988	1260	315
RMDSZ	RMDSZ	102601499822802	Facebook	rd6	Last 6 days	RO	Romania	50	1	1383646	398321	1717	262
Fără Penali în Funcții Publice	Uniunea Salvați România - USR	275621429636078	Facebook	rd6	Last 6 days	RO	Romania	11	1	1077716	493863	2524	850
ALDE - Partidul Alianta Liberalilor si Democratilor	EvolveDreamSoft	1445317929104549	Facebook	rd6	Last 6 days	RO	Romania	11	1	984987	439998	2119	546
Video News		329122497569429	Facebook	rd6	Last 6 days	RO	Romania	2	1	699997	299999	419	210
Declic	Declic	686190454826244	Facebook	rd6	Last 6 days	RO	Romania	3	1	595788	293157	642	153
Departamentul pentru Muncă și Justiție Socială	Partidul Social Democrat	1975738806067717	Facebook	rd6	Last 6 days	RO	Romania	1	1	499999	200000	209	105
Departamentul Fonduri Europene al PSD		1030472763816931	Facebook	rd6	Last 6 days	RO	Romania	1	1	499997	199999	104	21
Departamentul pentru Comunicații și Societate Informațională al PSD	Partidul Social Democrat	346281832652995	Facebook	rd6	Last 6 days	RO	Romania	1	1	499995	199998	104	21
USR Sector 5	Uniunea Salvați România	1460571894265803	Facebook	rd6	Last 6 days	RO	Romania	33	1	465829	112928	865	69
Departamentul pentru Agricultură și Dezvoltare Rurală al PSD	Partidul Social Democrat	339365506708219	Facebook	rd6	Last 6 days	RO	Romania	2	1	399997	199999	314	126
Litere.net	litere.net	1504323906337545	Facebook	rd6	Last 6 days	RO	Romania	5	1	369076	175065	1176	231
USR Arad	Uniunea Salvați Romania	1210260295704425	Facebook	rd6	Last 6 days	RO	Romania	8	1	363325	140352	496	175
Daniel Buda	Buda Daniel	220579784732993	Facebook	rd6	Last 6 days	RO	Romania	12	1	339989	79999	208	0
USR Vaslui	Uniunea Salvați România	526411640878009	Facebook	rd6	Last 6 days	RO	Romania	16	1	302174	66238	322	0
Ponturi Pariuri PRO		615300575244417	Facebook	rd6	Last 6 days	RO	Romania	2	1	249998	110000	314	126
GRUNDIG		1508163162762486	Facebook	rd6	Last 6 days	RO	Romania	14	1	232793	105560	378	80
Vincze Loránt	Vincze Loránt	675042232534141	Facebook	rd6	Last 6 days	RO	Romania	13	1	228655	49333	230	0
Rares Bogdan		204397909629079	Facebook	rd6	Last 6 days	RO	Romania	4	1	224997	90000	314	63
Naomi Reniuț-Ursoiu	Uniunea Salvați România	708334336169853	Facebook	rd6	Last 6 days	RO	Romania	13	1	207320	55166	350	21
Departamentul pentru Tineret și Sport PSD	Partidul Social Democrat	2077524885664207	Facebook	rd6	Last 6 days	RO	Romania	3	1	204997	101000	230	42
USR Bihor	Uniunea Salvați România Filiala Bihor	1592660281028385	Facebook	rd6	Last 6 days	RO	Romania	7	1	165993	33000	229	21
Raluca Amariei	USR Sibiu	183087692172986	Facebook	rd6	Last 6 days	RO	Romania	5	1	151995	30000	188	21
Cornel Radu Loghin		429437337859107	Facebook	rd6	Last 6 days	RO	Romania	3	1	150867	60171	213	42
Aresel		292847028010932	Facebook	rd6	Last 6 days	RO	Romania	6	1	141424	32785	424	0
USR Cluj		287761518247055	Facebook	rd6	Last 6 days	RO	Romania	2	1	104997	51000	125	21
Virgil Popescu	POPESCU VIRGIL-DANIEL	1641765056062575	Facebook	rd6	Last 6 days	RO	Romania	13	1	102677	22999	432	42
USR Sector 1	Uniunea Salvați România	885119281568843	Facebook	rd6	Last 6 days	RO	Romania	3	1	100997	20000	146	21
Kelemen Hunor	RMDSZ	175293925828191	Facebook	rd6	Last 6 days	RO	Romania	2	1	99998	20000	209	42
Departamentul pentru Mediul de Afaceri, Comerţ şi Antreprenoriat al PSD	Partidul Social Democrat	1238111743018265	Facebook	rd6	Last 6 days	RO	Romania	1	1	99998	49999	209	105
Dragos Benea	Partidul Social Democrat	447787405313835	Facebook	rd6	Last 6 days	RO	Romania	3	1	84330	16666	195	35
USR Sibiu	Uniunea Salvați România	1028428697211383	Facebook	rd6	Last 6 days	RO	Romania	3	1	69997	20000	62	0
PNL Bacău	PNL Bacău	1602563209957356	Facebook	rd6	Last 6 days	RO	Romania	2	1	68180	13636	58	7
Consiliul Național PSD	Partidul Social Democrat	428923027871330	Facebook	rd6	Last 6 days	RO	Romania	1	1	66666	33333	69	35
Politice.net	politice.net	2546711162025064	Facebook	rd6	Last 6 days	RO	Romania	8	1	60997	11999	86	7
Marius Bodea	Marius Bodea	1514760912172050	Facebook	rd6	Last 6 days	RO	Romania	3	1	59987	13498	136	21
USR Sector 6		1656475137918717	Facebook	rd6	Last 6 days	RO	Romania	2	1	54998	11000	125	21
USR Dolj		109556372802910	Facebook	rd6	Last 6 days	RO	Romania	3	1	51997	10000	62	0
Adrian Mocanu		1750234035208501	Facebook	rd6	Last 6 days	RO	Romania	2	1	50998	10000	125	21
Departamentul pentru Educatie Nationala	 Partidul Social Democrat	2330908257186424	Facebook	rd6	Last 6 days	RO	Romania	1	1	49998	9999	20	0
RMDSZ Nőszervezet		379633622148337	Facebook	rd6	Last 6 days	RO	Romania	1	1	49998	9999	20	0
Mihai Botez - Deputat USR	Mihai Botez - Deputat USR	1695902094040229	Facebook	rd6	Last 6 days	RO	Romania	1	1	49998	9999	20	0
PNL Dambovita	PNL Dambovita	1469610256621123	Facebook	rd6	Last 6 days	RO	Romania	4	1	37827	15581	63	7
EMaramures		118847551510788	Facebook	rd6	Last 6 days	RO	Romania	1	1	36363	18181	38	7
USR Prahova	USR Prahova	1385405838141456	Facebook	rd6	Last 6 days	RO	Romania	3	1	34998	8500	125	21
Kialo		729627343834501	Facebook	rd6	Last 6 days	RO	Romania	5	1	29375	8540	166	30
Marius Minzat		1147789798617576	Facebook	rd6	Last 6 days	RO	Romania	1	1	23076	4615	9	0
Votează Un Independent		2016952321736083	Facebook	rd6	Last 6 days	RO	Romania	1	1	21469	4294	8	0
USR Ilfov	USR Ilfov	1871260176434584	Facebook	rd6	Last 6 days	RO	Romania	4	1	19996	4000	83	0
Administraţie Liberală		2159559831039746	Facebook	rd6	Last 6 days	RO	Romania	1	1	19354	9677	10	2
Constantin Şovăială		1802656310012700	Facebook	rd6	Last 6 days	RO	Romania	4	1	17997	6500	62	0
BestJobs		156382411059124	Facebook	rd6	Last 6 days	RO	Romania	2	1	17856	3571	35	0
Nicușor Dan	DRAGOMIRESCU STEFAN-IULIAN	230785173665770	Facebook	rd6	Last 6 days	RO	Romania	4	1	16995	6000	83	0
