advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	recent_code_filter	recent_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	rw2	Last 2 weeks	RO	Romania	59	1	18040546	7952155	41638	11945
România în primul rând	Future Innovation	770704223323599	Facebook	rw2	Last 2 weeks	RO	Romania	32	1	12000708	5479878	12557	3067
Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	rw2	Last 2 weeks	RO	Romania	62	1	10588648	4849253	32306	7652
Partidul Naţional Liberal		181375448581167	Facebook	rw2	Last 2 weeks	RO	Romania	35	1	9249842	3999958	11548	3634
Romania #nuepsd	Future Innovation	293215748279337	Facebook	rw2	Last 2 weeks	RO	Romania	27	1	8493235	3998301	6143	2717
Uniunea Salvați România - USR	Uniunea Salvați România - USR	1058116737612843	Facebook	rw2	Last 2 weeks	RO	Romania	42	1	4563232	1983221	19251	4627
RMDSZ	RMDSZ	102601499822802	Facebook	rw2	Last 2 weeks	RO	Romania	94	1	2930094	791168	3384	444
ALDE - Partidul Alianta Liberalilor si Democratilor	EvolveDreamSoft	1445317929104549	Facebook	rw2	Last 2 weeks	RO	Romania	14	1	1809977	794996	2539	630
Fără Penali în Funcții Publice	Uniunea Salvați România - USR	275621429636078	Facebook	rw2	Last 2 weeks	RO	Romania	20	1	1801650	844999	4937	1519
Litere.net	litere.net	1504323906337545	Facebook	rw2	Last 2 weeks	RO	Romania	11	1	1307690	582789	1575	365
Declic	Declic	686190454826244	Facebook	rw2	Last 2 weeks	RO	Romania	5	1	1257338	607368	1403	337
European Parliament		178362315106	Facebook	rw2	Last 2 weeks	RO	Romania	6	1	909992	374999	2456	546
Consiliul Național PSD	Partidul Social Democrat	428923027871330	Facebook	rw2	Last 2 weeks	RO	Romania	3	1	799997	350000	1365	336
Departamentul pentru Agricultură și Dezvoltare Rurală al PSD	Partidul Social Democrat	339365506708219	Facebook	rw2	Last 2 weeks	RO	Romania	6	1	799993	369999	1627	388
Kialo		729627343834501	Facebook	rw2	Last 2 weeks	RO	Romania	89	1	794179	291677	3477	658
USR Arad	Uniunea Salvați Romania	1210260295704425	Facebook	rw2	Last 2 weeks	RO	Romania	15	1	736186	246707	924	272
Video News		329122497569429	Facebook	rw2	Last 2 weeks	RO	Romania	2	1	699997	299999	419	210
USR Sector 5	Uniunea Salvați România	1460571894265803	Facebook	rw2	Last 2 weeks	RO	Romania	40	1	640962	161750	1165	94
Daniel Buda	Buda Daniel	220579784732993	Facebook	rw2	Last 2 weeks	RO	Romania	23	1	610979	145999	426	0
PSD Galati	Partidul Social Democrat Galati	1585170161775563	Facebook	rw2	Last 2 weeks	RO	Romania	8	1	544618	213750	2314	617
Departamentul Fonduri Europene al PSD		1030472763816931	Facebook	rw2	Last 2 weeks	RO	Romania	2	1	504993	202497	115	21
Departamentul pentru Muncă și Justiție Socială	Partidul Social Democrat	1975738806067717	Facebook	rw2	Last 2 weeks	RO	Romania	1	1	499999	200000	209	105
Departamentul pentru Comunicații și Societate Informațională al PSD	Partidul Social Democrat	346281832652995	Facebook	rw2	Last 2 weeks	RO	Romania	1	1	499995	199998	104	21
Politice.net	politice.net	2546711162025064	Facebook	rw2	Last 2 weeks	RO	Romania	9	1	392326	128000	306	68
Vincze Loránt	Vincze Loránt	675042232534141	Facebook	rw2	Last 2 weeks	RO	Romania	21	1	390158	91337	452	0
USR Vaslui	Uniunea Salvați România	526411640878009	Facebook	rw2	Last 2 weeks	RO	Romania	19	1	323231	73250	379	0
ALDE Sector 6		428872677299268	Facebook	rw2	Last 2 weeks	RO	Romania	25	1	300987	69000	522	63
Rares Bogdan		204397909629079	Facebook	rw2	Last 2 weeks	RO	Romania	4	1	299996	120000	419	84
Kelemen Hunor	RMDSZ	175293925828191	Facebook	rw2	Last 2 weeks	RO	Romania	9	1	275991	61000	355	42
Dan Barna	Uniunea Salvați România - USR	207255636351408	Facebook	rw2	Last 2 weeks	RO	Romania	5	1	274993	89998	734	273
Traian Băsescu		361235817223309	Facebook	rw2	Last 2 weeks	RO	Romania	4	1	256666	87195	507	53
Departamentul pentru Tineret și Sport PSD	Partidul Social Democrat	2077524885664207	Facebook	rw2	Last 2 weeks	RO	Romania	4	1	254985	125994	282	52
Ponturi Pariuri PRO		615300575244417	Facebook	rw2	Last 2 weeks	RO	Romania	2	1	249998	110000	314	126
GRUNDIG		1508163162762486	Facebook	rw2	Last 2 weeks	RO	Romania	14	1	232793	105560	378	80
Naomi Reniuț-Ursoiu	Uniunea Salvați România	708334336169853	Facebook	rw2	Last 2 weeks	RO	Romania	13	1	208986	55999	354	21
Cornel Radu Loghin		429437337859107	Facebook	rw2	Last 2 weeks	RO	Romania	4	1	204366	70871	332	63
Calin Popescu Tariceanu		227922987222524	Facebook	rw2	Last 2 weeks	RO	Romania	1	1	199999	100000	104	21
Parlamentul European, Biroul de Informare în Romania		138896782840976	Facebook	rw2	Last 2 weeks	RO	Romania	1	1	199996	99998	498	99
Râsu Plânsu		1769713886444816	Facebook	rw2	Last 2 weeks	RO	Romania	1	1	199990	99995	104	21
Partidul Social Democrat - Departamentul pentru Sănătate	Partidul Social Democrat	330932571103970	Facebook	rw2	Last 2 weeks	RO	Romania	1	1	199985	99993	104	21
Partidul Social Democrat-Departamentul pentru Infrastructura si Transport	Partidul Social Democrat	390855171647188	Facebook	rw2	Last 2 weeks	RO	Romania	1	1	199963	99982	104	21
PNL Dambovita	PNL Dambovita	1469610256621123	Facebook	rw2	Last 2 weeks	RO	Romania	5	1	193585	66794	325	58
Aresel		292847028010932	Facebook	rw2	Last 2 weeks	RO	Romania	6	1	173327	40666	560	0
USR Bihor	Uniunea Salvați România Filiala Bihor	1592660281028385	Facebook	rw2	Last 2 weeks	RO	Romania	7	1	165993	33000	229	21
PNL Bacău	PNL Bacău	1602563209957356	Facebook	rw2	Last 2 weeks	RO	Romania	4	1	154996	32499	240	42
PNL Bucuresti		678840505584990	Facebook	rw2	Last 2 weeks	RO	Romania	5	1	152900	65952	339	119
Raluca Amariei	USR Sibiu	183087692172986	Facebook	rw2	Last 2 weeks	RO	Romania	5	1	151995	30000	188	21
Organizatia de Femei Partidul Mișcarea Populară Sector 1		1531492730401344	Facebook	rw2	Last 2 weeks	RO	Romania	5	1	127611	25795	244	47
USR Cluj		287761518247055	Facebook	rw2	Last 2 weeks	RO	Romania	2	1	104997	51000	125	21
Virgil Popescu	POPESCU VIRGIL-DANIEL	1641765056062575	Facebook	rw2	Last 2 weeks	RO	Romania	13	1	102963	22999	437	42
Dragos Benea	Partidul Social Democrat	447787405313835	Facebook	rw2	Last 2 weeks	RO	Romania	4	1	101996	20000	251	42
USR Sector 1	Uniunea Salvați România	885119281568843	Facebook	rw2	Last 2 weeks	RO	Romania	3	1	100997	20000	146	21
Vasile Cristian Lungu		167669676772029	Facebook	rw2	Last 2 weeks	RO	Romania	1	1	99999	50000	209	105
Partidul Social Democrat - Departamentul pentru românii de pretutindeni	Partidul Social Democrat	315931009106788	Facebook	rw2	Last 2 weeks	RO	Romania	2	1	99999	50000	104	21
Departamentul pentru Educatie Nationala	 Partidul Social Democrat	2330908257186424	Facebook	rw2	Last 2 weeks	RO	Romania	2	1	99998	34999	73	10
Departamentul pentru Mediul de Afaceri, Comerţ şi Antreprenoriat al PSD	Partidul Social Democrat	1238111743018265	Facebook	rw2	Last 2 weeks	RO	Romania	1	1	99998	49999	209	105
EMaramures		118847551510788	Facebook	rw2	Last 2 weeks	RO	Romania	1	1	99998	49999	104	21
Partidul Social Democrat Departamentul pentru Politici Fiscal Bugetare		2006803969624108	Facebook	rw2	Last 2 weeks	RO	Romania	1	1	99990	49995	20	0
Eugen Tomac		494469087244449	Facebook	rw2	Last 2 weeks	RO	Romania	4	1	97575	40132	133	12
PNL Bistrița-Năsăud		709900909075368	Facebook	rw2	Last 2 weeks	RO	Romania	4	1	89282	19571	113	12
PNL Sector 2		434422389926419	Facebook	rw2	Last 2 weeks	RO	Romania	2	1	89202	17840	37	0
PNL Prahova		148993498505135	Facebook	rw2	Last 2 weeks	RO	Romania	3	1	78330	15666	118	16
PNL Constanţa	PNL Constanţa	422079857963680	Facebook	rw2	Last 2 weeks	RO	Romania	11	1	75991	21200	180	0
PNL Brăila	Purice Marian	789998757706140	Facebook	rw2	Last 2 weeks	RO	Romania	5	1	72495	17500	93	0
Administraţie Liberală		2159559831039746	Facebook	rw2	Last 2 weeks	RO	Romania	1	1	70965	35482	37	7
USR Sibiu	Uniunea Salvați România	1028428697211383	Facebook	rw2	Last 2 weeks	RO	Romania	3	1	69997	20000	62	0
Adrian Mocanu		1750234035208501	Facebook	rw2	Last 2 weeks	RO	Romania	4	1	65996	16000	167	21
USR Prahova	USR Prahova	1385405838141456	Facebook	rw2	Last 2 weeks	RO	Romania	3	1	64997	16000	230	42
Marius Bodea	Marius Bodea	1514760912172050	Facebook	rw2	Last 2 weeks	RO	Romania	3	1	64987	15998	146	21
Gabriel Petrea		636615956364844	Facebook	rw2	Last 2 weeks	RO	Romania	2	1	64385	24415	94	31
USR Sector 6		1656475137918717	Facebook	rw2	Last 2 weeks	RO	Romania	2	1	54998	11000	125	21
Orașul meu iubit		182440155970799	Facebook	rw2	Last 2 weeks	RO	Romania	3	1	54088	10818	131	19
USR Dolj		109556372802910	Facebook	rw2	Last 2 weeks	RO	Romania	3	1	51997	10000	62	0
Cecilia Malmström		258966159416	Facebook	rw2	Last 2 weeks	RO	Romania	1	1	50132	20053	100	50
Ziar Piatra Neamt	Media PR Grup	183473261723511	Facebook	rw2	Last 2 weeks	RO	Romania	1	1	49999	10000	20	0
Ion ȘTEFAN		1653699758248627	Facebook	rw2	Last 2 weeks	RO	Romania	1	1	49999	10000	104	21
Adrian Mocanu		458397014327039	Facebook	rw2	Last 2 weeks	RO	Romania	1	1	49999	10000	20	0
Shopping City Galati		301080780030438	Facebook	rw2	Last 2 weeks	RO	Romania	1	1	49999	10000	99	0
George Simion		2212856535602171	Facebook	rw2	Last 2 weeks	RO	Romania	1	1	49999	9999	104	21
RMDSZ Nőszervezet		379633622148337	Facebook	rw2	Last 2 weeks	RO	Romania	1	1	49998	9999	20	0
Mihai Botez - Deputat USR	Mihai Botez - Deputat USR	1695902094040229	Facebook	rw2	Last 2 weeks	RO	Romania	1	1	49998	9999	20	0
Marius Minzat		1147789798617576	Facebook	rw2	Last 2 weeks	RO	Romania	1	1	49998	10000	20	0
Florin Remeţan		137259469989828	Facebook	rw2	Last 2 weeks	RO	Romania	2	1	46703	22977	52	9
Votează Un Independent		2016952321736083	Facebook	rw2	Last 2 weeks	RO	Romania	1	1	46518	9303	19	0
BestJobs		156382411059124	Facebook	rw2	Last 2 weeks	RO	Romania	2	1	46427	9285	91	0
PNL Județul Hunedoara		1563516727242105	Facebook	rw2	Last 2 weeks	RO	Romania	2	1	44443	8888	74	14
European Youth		130456876990360	Facebook	rw2	Last 2 weeks	RO	Romania	1	1	38160	19080	95	19
Guardian Weekly		64525551258	Facebook	rw2	Last 2 weeks	RO	Romania	10	1	37902	12534	79	14
