advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	recent_code_filter	recent_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Håll Sverige Rent	Håll Sverige Rent	236879092476	Facebook	rw1	Last week	SE	Sweden	11	1	2561362	1102188	21768	4631
Centerpartiet	Centerpartiet	12690894340	Facebook	rw1	Last week	SE	Sweden	99	1	1845408	567499	17503	4400
Liberalerna	Liberalerna	132266740623	Facebook	rw1	Last week	SE	Sweden	66	1	1517934	447999	4550	1111
Plan International Sverige		382243262003	Facebook	rw1	Last week	SE	Sweden	148	1	1429572	443039	6903	1799
Socialdemokraterna	Socialdemokraterna	8040892957	Facebook	rw1	Last week	SE	Sweden	68	1	1273647	285142	8776	2026
Saco	Saco	133910158381	Facebook	rw1	Last week	SE	Sweden	25	1	902132	183055	4149	1154
EU-kommissionen i Sverige		155824787799	Facebook	rw1	Last week	SE	Sweden	18	1	793691	360750	4108	911
Facebook Nordic	Facebook	334318366655425	Facebook	rw1	Last week	SE	Sweden	5	1	791663	286667	6590	1373
Kristdemokraterna Stockholm	Kristdemokraterna Stockholm	176875999028086	Facebook	rw1	Last week	SE	Sweden	37	1	684962	172999	4432	1055
Uppsala kommun	Uppsala kommun	104760926229060	Facebook	rw1	Last week	SE	Sweden	54	1	587287	142666	3832	858
Kristdemokraterna	Kristdemokraterna	115198178364	Facebook	rw1	Last week	SE	Sweden	30	1	505459	131490	2659	843
Feministiskt initiativ	Feministiskt initiativ	112513375470294	Facebook	rw1	Last week	SE	Sweden	13	1	378835	81769	3322	859
Alternativ för Sverige	Alternativ för Sverige	270592853332987	Facebook	rw1	Last week	SE	Sweden	9	1	375236	170621	5555	1595
Ebba Busch Thor	Kristdemokraterna	661702230515862	Facebook	rw1	Last week	SE	Sweden	11	1	282378	66527	549	199
Heléne Fritzon	Socialdemokraterna	767749640051136	Facebook	rw1	Last week	SE	Sweden	5	1	249994	49999	1203	324
Sara Skyttedal	Sara Skyttedal	249195615122371	Facebook	rw1	Last week	SE	Sweden	18	1	239269	67142	1066	464
Tomas Tobé	Moderaterna	1829725353928210	Facebook	rw1	Last week	SE	Sweden	13	1	210320	53666	1900	459
Johan Nissinen		429354810518636	Facebook	rw1	Last week	SE	Sweden	1	1	199999	100000	4630	926
Centerpartiet i Stockholm	Centerpartiet i Stockholm	170211353124087	Facebook	rw1	Last week	SE	Sweden	4	1	199995	40000	1110	277
CIVIL RIGHTS DEFENDERS	CIVIL RIGHTS DEFENDERS	128452220525979	Facebook	rw1	Last week	SE	Sweden	5	1	189995	40999	1759	379
Moderaterna i Västra Götaland	Moderaterna i Västra Götaland	295727652090	Facebook	rw1	Last week	SE	Sweden	11	1	185628	45527	2606	570
Unionen		175656912484553	Facebook	rw1	Last week	SE	Sweden	12	1	165956	72483	985	250
Sverigedemokraterna	Sverigedemokraterna	676246449160270	Facebook	rw1	Last week	SE	Sweden	4	1	156327	56165	766	175
Said till Europaparlamentet		1509050235995572	Facebook	rw1	Last week	SE	Sweden	8	1	155992	40000	1443	370
ActionAid Sweden	ActionAid Sweden	18880778360	Facebook	rw1	Last week	SE	Sweden	12	1	154231	41962	1672	352
Vänsterpartiet	Vänsterpartiet	323156205347	Facebook	rw1	Last week	SE	Sweden	10	1	150989	38999	388	74
Kommunal	Kommunal	179931025357058	Facebook	rw1	Last week	SE	Sweden	3	1	149996	29999	1388	277
Gustav Hemming	Centerpartiet	722853564439941	Facebook	rw1	Last week	SE	Sweden	5	1	133747	28113	773	202
Jörgen Warborn EU-kandidat		56002955332	Facebook	rw1	Last week	SE	Sweden	21	1	127652	32513	1597	419
Go Climate Neutral	Go Climate Neutral	1797724450537743	Facebook	rw1	Last week	SE	Sweden	1	1	127272	63636	2946	589
Linköpingsmoderaterna	Moderaterna Linköping	108239705998001	Facebook	rw1	Last week	SE	Sweden	9	1	124991	30000	378	74
LO Sverige		163820136238	Facebook	rw1	Last week	SE	Sweden	2	1	123683	46842	433	216
Grön Ungdom		113234935374946	Facebook	rw1	Last week	SE	Sweden	2	1	121425	54284	661	132
Slöseriombudsmannen	Skattebetalarna	408171019221426	Facebook	rw1	Last week	SE	Sweden	12	1	110489	31000	466	92
Socialdemokraterna i Stockholm	Socialdemokraterna i Stockholm	117056501654820	Facebook	rw1	Last week	SE	Sweden	7	1	105102	33135	1243	522
Johan Danielsson	LO Sverige	636103536446815	Facebook	rw1	Last week	SE	Sweden	3	1	102839	36931	952	342
Operation Smile Sverige	Operation Smile Sverige	161213770567846	Facebook	rw1	Last week	SE	Sweden	2	1	99998	20000	925	185
Allan Widman	Liberalerna	540799486089503	Facebook	rw1	Last week	SE	Sweden	2	1	99998	20000	925	185
Greenpeace Sverige		95735961890	Facebook	rw1	Last week	SE	Sweden	42	1	99958	19999	1227	240
SSAB AB		145401631365	Facebook	rw1	Last week	SE	Sweden	25	1	94529	27624	595	65
Diakonia		42676805259	Facebook	rw1	Last week	SE	Sweden	8	1	87080	30713	161	74
KDU Sverige	KDU Sverige	177549278946958	Facebook	rw1	Last week	SE	Sweden	3	1	69997	20000	647	185
Moderaterna i Järfälla	Moderaterna i Järfälla	443813509046190	Facebook	rw1	Last week	SE	Sweden	4	1	68747	13750	653	141
Miljöpartiet de gröna i Botkyrka	Miljöpartiet de Gröna i Botkyrka	124443770929754	Facebook	rw1	Last week	SE	Sweden	5	1	65995	13000	240	74
Utrikespolitiska föreningen Umeå	Utrikespolitiska föreningen vid Umeå Universitet	152105868140026	Facebook	rw1	Last week	SE	Sweden	5	1	62995	14999	536	101
Abir till Bryssel	Nyberg Claes Otto	252516142116820	Facebook	rw1	Last week	SE	Sweden	16	1	62153	13666	759	149
Sverigedemokraterna Region Stockholm	SD Stockholm	1729304067391998	Facebook	rw1	Last week	SE	Sweden	5	1	61995	12000	573	111
Folkstyret	Ströberg Mikael	1243789685638222	Facebook	rw1	Last week	SE	Sweden	4	1	60281	11857	141	26
Centerpartiet i Stockholms län	Centerpartiet i Stockholms län	154533721332462	Facebook	rw1	Last week	SE	Sweden	2	1	59998	14999	555	138
Moderaterna		7719591155	Facebook	rw1	Last week	SE	Sweden	3	1	59996	11999	184	64
Stiftelsen Expo	Stiftelsen Expo	208751565805849	Facebook	rw1	Last week	SE	Sweden	3	1	57497	16750	189	81
Unga Feminister		100642360004457	Facebook	rw1	Last week	SE	Sweden	5	1	55800	11033	181	57
Miljöpartiet de gröna i Örebro	Folkeson Katarina Therese	149671858392184	Facebook	rw1	Last week	SE	Sweden	2	1	54998	11000	101	50
Linköpings kommun	Blomgren David Gunnar	116787001729336	Facebook	rw1	Last week	SE	Sweden	1	1	53845	26923	498	249
Fossilfritt Sverige		1845878962347273	Facebook	rw1	Last week	SE	Sweden	3	1	52998	25500	259	50
Annie Lööf		118943054880945	Facebook	rw1	Last week	SE	Sweden	1	1	49999	10000	462	92
Zandra Pettersson SD politiker		1731576980266356	Facebook	rw1	Last week	SE	Sweden	1	1	49999	10000	462	92
Kristdemokraterna Tyresö	Kennerberg Leif Robert	268593563268202	Facebook	rw1	Last week	SE	Sweden	1	1	49999	10000	462	92
Moderaterna i Västerbotten	Moderaterna i Västerbotten	267640803634611	Facebook	rw1	Last week	SE	Sweden	1	1	49999	10000	462	92
Moderaterna Umeå	Bergstrom Carl Erik Anton	143140665862271	Facebook	rw1	Last week	SE	Sweden	1	1	49999	10000	92	46
Frihet	Hayrynen Lotta Ilona	1722887348013516	Facebook	rw1	Last week	SE	Sweden	1	1	49998	9999	462	92
Magnus Thulin - Centerpartiet	Thulin Magnus Nils Oscar	161302754576832	Facebook	rw1	Last week	SE	Sweden	36	1	46961	4498	506	60
Företagarna		124892400864698	Facebook	rw1	Last week	SE	Sweden	1	1	43749	8750	405	81
Sverigedemokraterna Värmlands län		336384546384299	Facebook	rw1	Last week	SE	Sweden	11	1	40614	13125	291	75
Wedonthavetime.org		1374925102519271	Facebook	rw1	Last week	SE	Sweden	1	1	39999	8000	370	74
Almega		119450207545	Facebook	rw1	Last week	SE	Sweden	1	1	37499	7500	69	34
UNICEF Sverige		59324455950	Facebook	rw1	Last week	SE	Sweden	1	1	33333	16666	77	15
Svensk Tidskrift	Svensk Tidskrift	268608766607208	Facebook	rw1	Last week	SE	Sweden	12	1	30880	5577	114	9
Vänsterpartiet Sundbyberg	Vänsterpartiet Sundbyberg	1592860820974499	Facebook	rw1	Last week	SE	Sweden	7	1	28493	5500	263	50
Centerpartiet Kalmar län	Centerpartiet Kalmar län	306226252825576	Facebook	rw1	Last week	SE	Sweden	1	1	26922	5384	249	49
Landsbygdspartiet oberoende	Landsbygdspartiet oberoende	1549988978561671	Facebook	rw1	Last week	SE	Sweden	2	1	23180	4636	214	42
LT konsult fastighetsservice		186325834774557	Facebook	rw1	Last week	SE	Sweden	4	1	23121	7249	254	99
GRUNDIG		1508163162762486	Facebook	rw1	Last week	SE	Sweden	14	1	22152	10077	42	9
Skattebetalarnas Förening	Skattebetalarnas Förening	72832167834	Facebook	rw1	Last week	SE	Sweden	5	1	21995	7000	119	18
Sverigedemokraterna Kalmar län	Kotanen Mika Erik	117200235024372	Facebook	rw1	Last week	SE	Sweden	8	1	20381	3277	151	21
Yrkesdörren		1047016558650888	Facebook	rw1	Last week	SE	Sweden	8	1	20187	5196	186	48
Tobias Baudin	Kommunal	614939535271869	Facebook	rw1	Last week	SE	Sweden	5	1	19995	3999	346	166
Liberalerna Luleå	Liberalerna Luleå	588513591196975	Facebook	rw1	Last week	SE	Sweden	3	1	18997	6799	129	25
Jordens Vänner / Friends of the Earth Sweden	Jordens Vänner / Friends of the Earth Sweden	207890945895422	Facebook	rw1	Last week	SE	Sweden	7	1	18625	4716	172	43
Maria Weimer		467374630087356	Facebook	rw1	Last week	SE	Sweden	7	1	18420	6484	123	23
Timbro	Timbro	237146235237	Facebook	rw1	Last week	SE	Sweden	8	1	18327	3133	206	58
Islamic Relief Sverige	Islamic Relief Sverige	121702404531696	Facebook	rw1	Last week	SE	Sweden	8	1	17394	2900	105	12
Liberala Studenter	Heimbrand Christoffer	118645251482192	Facebook	rw1	Last week	SE	Sweden	9	1	16991	2000	119	9
Medborgerlig Samling	Medborgerlig Samling	189332844828330	Facebook	rw1	Last week	SE	Sweden	1	1	16666	3333	154	30
Utrikespolitiska Föreningen Örebro		812213475510282	Facebook	rw1	Last week	SE	Sweden	4	1	16518	3304	152	30
