advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Maroš Šefčovič		245361515516655	Facebook	d042	2019-02-11	SK	Slovakia	1	1	16666	3333	32	0
Michal Šimečka • Progresívne Slovensko		194278021265803	Facebook	d042	2019-02-11	SK	Slovakia	19	1	13694	3091	80	0
Ivan ŠTEFANEC		324560137683033	Facebook	d042	2019-02-11	SK	Slovakia	2	1	10217	4086	20	10
Miroslav Žiak		396331590493376	Facebook	d042	2019-02-11	SK	Slovakia	9	1	7481	2874	137	0
ĽUBOŠ BLAHA	ĽUBOŠ BLAHA	2047997592105476	Facebook	d042	2019-02-11	SK	Slovakia	1	1	3703	1851	18	3
ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	d042	2019-02-11	SK	Slovakia	3	1	222	82	1	0
ADAR		175390195814995	Facebook	d042	2019-02-11	SK	Slovakia	1	1	33	16	0	0
Kaar Kaas Sonn		215255338679306	Facebook	d042	2019-02-11	SK	Slovakia	1	1	23	11	0	0
Schwarzkopf Professional		150101695010185	Facebook	d042	2019-02-11	SK	Slovakia	1	1	14	0	0	0
Melba Culp		902971599738051	Facebook	d042	2019-02-11	SK	Slovakia	1	1	7	1	0	0
Le Monde		14892757589	Facebook	d042	2019-02-11	SK	Slovakia	5	1	4	1	0	0
Columbia University in the City of New York		102471088936	Facebook	d042	2019-02-11	SK	Slovakia	1	1	3	1	0	0
Soviet Visuals		1160495674016675	Facebook	d042	2019-02-11	SK	Slovakia	4	1	1	0	0	0
Michal Zernowitski - מיכל צ'רנוביצקי		998916683630541	Facebook	d042	2019-02-11	SK	Slovakia	1	1	1	0	0	0
RSM MBA		110428762358678	Facebook	d042	2019-02-11	SK	Slovakia	1	1	1	0	0	0
Andreas Schieder	SPÖ	290881691011354	Facebook	d042	2019-02-11	SK	Slovakia	2	1	0	0	0	0
Open Society Foundations		18983389920	Facebook	d042	2019-02-11	SK	Slovakia	2	1	0	0	0	0
Sacramento Kings		96222644025	Facebook	d042	2019-02-11	SK	Slovakia	1	1	0	0	0	0
YOGA BURN		146316959083110	Facebook	d042	2019-02-11	SK	Slovakia	1	1	0	0	0	0
Harvard Business Review		10423517786	Facebook	d042	2019-02-11	SK	Slovakia	1	1	0	0	0	0
Columbia Alumni Association		195421575197	Facebook	d042	2019-02-11	SK	Slovakia	2	1	0	0	0	0
CreativeLive		114420101917147	Facebook	d042	2019-02-11	SK	Slovakia	1	1	0	0	0	0
