advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	audience_code_filter	audience_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Greenpeace France		39435457457	Facebook	f45_54	female (45-54)	FR	France	119	1	2660454	1202044	14385	3337
Médecins du Monde France		265420476920	Facebook	f45_54	female (45-54)	FR	France	812	1	978680	318153	15440	1249
La Prime Énergie		336155273400553	Facebook	f45_54	female (45-54)	FR	France	28	1	693448	276056	6148	1376
Mon Homéo Mon Choix		1643185362449069	Facebook	f45_54	female (45-54)	FR	France	21	1	683421	269843	5977	1205
European Parliament		178362315106	Facebook	f45_54	female (45-54)	FR	France	50	1	584971	255536	4143	897
Primes écologique		152399322377561	Facebook	f45_54	female (45-54)	FR	France	19	1	504933	209799	5870	1284
Le HCR, l'Agence des Nations Unies pour les Réfugiés		112542522148670	Facebook	f45_54	female (45-54)	FR	France	57	1	439606	179712	2039	447
UNICEF France		173159234432	Facebook	f45_54	female (45-54)	FR	France	38	1	329942	129250	1761	422
Agence Isolation Pour Tous		568528630290119	Facebook	f45_54	female (45-54)	FR	France	24	1	295196	120818	3543	804
Aides énergétiques pour tous		789578834730248	Facebook	f45_54	female (45-54)	FR	France	16	1	283984	116552	3321	735
Mes économies d'énergie		124948231440251	Facebook	f45_54	female (45-54)	FR	France	11	1	248455	95408	2656	528
Make.org	Make.org	122037308191612	Facebook	f45_54	female (45-54)	FR	France	39	1	248085	101971	2567	575
Ministère de l'Intérieur		103146727990	Facebook	f45_54	female (45-54)	FR	France	15	1	225519	91606	1377	351
Lidimo		2217464665186092	Facebook	f45_54	female (45-54)	FR	France	5	1	224627	86389	2282	545
350.org		12185972707	Facebook	f45_54	female (45-54)	FR	France	56	1	172325	38061	747	72
2 Min Ecologie		433170297221149	Facebook	f45_54	female (45-54)	FR	France	68	1	168275	57556	1729	303
Saine Abondance		2106701562887023	Facebook	f45_54	female (45-54)	FR	France	21	1	156448	64197	1736	446
Eclairelavie		475156612973063	Facebook	f45_54	female (45-54)	FR	France	36	1	138544	47401	1952	346
Céréal Bio & Céréal France		1636261843328359	Facebook	f45_54	female (45-54)	FR	France	5	1	129129	51568	639	174
Les Energies du Soleil		1684031805239401	Facebook	f45_54	female (45-54)	FR	France	7	1	119723	55249	1505	490
SECIB Immobilier		378027698975144	Facebook	f45_54	female (45-54)	FR	France	24	1	119623	44683	1441	427
CIWF France	CIWF France	335868279790722	Facebook	f45_54	female (45-54)	FR	France	5	1	116007	58003	579	249
Pompes à Chaleur		464568377211278	Facebook	f45_54	female (45-54)	FR	France	40	1	113742	42780	1238	225
Subventions énergétiques 2019	Primes Energetiques	1815507421886752	Facebook	f45_54	female (45-54)	FR	France	98	1	113219	27105	1272	82
Agence Française pour la Transition Energétique		1981871332106127	Facebook	f45_54	female (45-54)	FR	France	18	1	112148	48561	438	64
