advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	week_code_filter	week_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Greenpeace France		39435457457	Facebook	w003	Week 3	FR	France	18	1	938821	381933	7480	1199
350.org		12185972707	Facebook	w003	Week 3	FR	France	10	1	130905	26708	477	46
Le Monde		14892757589	Facebook	w003	Week 3	FR	France	6	1	112046	44766	120	20
Kialo		729627343834501	Facebook	w003	Week 3	FR	France	3	1	108685	48152	649	129
Consommez Malin		2045469565728527	Facebook	w003	Week 3	FR	France	8	1	68992	13000	1192	100
Impôt et Solutions.fr		190645890956184	Facebook	w003	Week 3	FR	France	2	1	54988	10998	597	99
Les énergies renouvelables		375585826133048	Facebook	w003	Week 3	FR	France	1	1	49999	10000	499	100
Renault Vitrolles		906274079465498	Facebook	w003	Week 3	FR	France	1	1	49999	10000	99	0
Etienne Blanc		262806611032229	Facebook	w003	Week 3	FR	France	2	1	14998	6000	198	0
Médecins du Monde France		265420476920	Facebook	w003	Week 3	FR	France	2	1	14996	5999	197	0
Boutique Pride		299458774182573	Facebook	w003	Week 3	FR	France	2	1	13127	5931	48	9
Albioma		2029944603927727	Facebook	w003	Week 3	FR	France	1	1	12461	6230	12	0
Campus protestant		2019076568379648	Facebook	w003	Week 3	FR	France	1	1	10027	2005	100	20
Simpleaument		2135475463337807	Facebook	w003	Week 3	FR	France	2	1	8265	3306	32	5
Ambiance-Bouddha		1823805464566989	Facebook	w003	Week 3	FR	France	3	1	7867	3439	166	0
Collectif Stéphanois de soutien au peuple Palestinien		1470617849887840	Facebook	w003	Week 3	FR	France	2	1	5998	1000	198	0
Front de Gauche VSG		136014293928282	Facebook	w003	Week 3	FR	France	3	1	5544	1090	104	0
By Rose Maria		1512223189099633	Facebook	w003	Week 3	FR	France	2	1	4808	961	39	6
ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	w003	Week 3	FR	France	3	1	4641	2033	11	1
Make-up Studio Martinique		1629772583807735	Facebook	w003	Week 3	FR	France	1	1	4180	836	41	8
Plan solaire		2049329408642212	Facebook	w003	Week 3	FR	France	15	1	3140	881	81	0
Sofka Officiel		794971730540455	Facebook	w003	Week 3	FR	France	1	1	2499	499	49	0
Gilet Jaune 89 en déplacement		1756105234493843	Facebook	w003	Week 3	FR	France	1	1	2499	500	49	0
Christian Benedetti / candidat FI européennes 2019		658423227888736	Facebook	w003	Week 3	FR	France	1	1	2497	499	49	0
Banque mondiale		155174084508744	Facebook	w003	Week 3	FR	France	26	1	2390	1047	19	0
