recent_code	recent_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
rd1	Yesterday	2019-05-07	2019-05-07	HR	Croatia	227	60	998515	334714	3465	170
rd2	Last 2 days	2019-05-06	2019-05-07	HR	Croatia	240	65	2091565	694335	7204	358
rd3	Last 3 days	2019-05-05	2019-05-07	HR	Croatia	262	71	3274204	1077526	11263	546
rd4	Last 4 days	2019-05-04	2019-05-07	HR	Croatia	282	74	4610400	1572935	15017	885
rd5	Last 5 days	2019-05-03	2019-05-07	HR	Croatia	320	81	5675920	1954706	18904	1168
rd6	Last 6 days	2019-05-02	2019-05-07	HR	Croatia	355	89	6619232	2309452	22211	1433
rw1	Last week	2019-05-01	2019-05-07	HR	Croatia	385	98	7516092	2632869	25539	1700
rw2	Last 2 weeks	2019-04-24	2019-05-07	HR	Croatia	610	137	14898404	5549494	52962	5711
rw3	Last 3 weeks	2019-04-17	2019-05-07	HR	Croatia	749	183	15878200	5849145	57108	5932
rw4	Last 4 weeks	2019-04-10	2019-05-07	HR	Croatia	1027	261	18319582	6753632	64844	6646
rm1	Last month	2019-04-08	2019-05-07	HR	Croatia	1108	297	18800808	6917100	66689	6795
rm2	Last 2 months	2019-03-09	2019-05-07	HR	Croatia	1732	508	23847388	8840755	86424	8972
rm3	Last 3 months	2019-02-07	2019-05-07	HR	Croatia	1973	556	25347078	9387392	93834	9602
rm6	Last 6 months	2019-01-01	2019-05-07	HR	Croatia	2081	578	25566230	9461690	94897	9688
