advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	recent_code_filter	recent_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	rw2	Last 2 weeks	HU	Hungary	19	1	8558314	4026666	25251	11658
Fidesz	Fidesz	9844779306	Facebook	rw2	Last 2 weeks	HU	Hungary	29	1	6099970	2849999	18880	9285
Nemzeti Televízió	Alfahír Hírportál	164061553749320	Facebook	rw2	Last 2 weeks	HU	Hungary	62	1	5906938	2490999	13329	4917
European Parliament		178362315106	Facebook	rw2	Last 2 weeks	HU	Hungary	11	1	5249988	2460000	15166	7180
Párbeszéd Magyarországért	Párbeszéd Magyarországért	113684438795574	Facebook	rw2	Last 2 weeks	HU	Hungary	22	1	4279111	1778702	2826	658
Momentum Mozgalom	Momentum Mozgalom	592204747588011	Facebook	rw2	Last 2 weeks	HU	Hungary	102	1	4039895	1633999	7736	3129
MSZP	MSZP	115388925185513	Facebook	rw2	Last 2 weeks	HU	Hungary	42	1	3296957	1409998	5719	2112
Dobrev Klára	Demokratikus Koalíció	1880809845328535	Facebook	rw2	Last 2 weeks	HU	Hungary	34	1	2465854	979643	4526	1216
Mi Hazánk Mozgalom	Mi Hazánk Mozgalom	620030171664750	Facebook	rw2	Last 2 weeks	HU	Hungary	16	1	1598945	649392	2872	912
Gyöngyösi Márton	Országgyűlés Hivatala Jobbik Frakció	781030738624077	Facebook	rw2	Last 2 weeks	HU	Hungary	7	1	1354992	530999	2832	1163
Gyurcsány Ferenc	Demokratikus Koalíció	187301974635606	Facebook	rw2	Last 2 weeks	HU	Hungary	19	1	1318732	481875	1819	476
Vágó Gábor	LMP - Lehet Más a Politika	453253875264	Facebook	rw2	Last 2 weeks	HU	Hungary	16	1	1072388	416957	1779	465
LMP - Lehet Más a Politika	LMP - Lehet Más a Politika	47198507012	Facebook	rw2	Last 2 weeks	HU	Hungary	20	1	967685	376280	1663	497
Dúró Dóra		191946490841225	Facebook	rw2	Last 2 weeks	HU	Hungary	11	1	847687	339539	2056	689
Demeter Márta	LMP - Lehet Más a Politika	1372750529476614	Facebook	rw2	Last 2 weeks	HU	Hungary	10	1	841627	321327	1403	466
Cseh Katalin - Momentum	Momentum Mozgalom	682448271826776	Facebook	rw2	Last 2 weeks	HU	Hungary	14	1	819955	259986	2166	851
Bana Tibor	Országgyűlés Hivatala Jobbik Frakció	184890488198962	Facebook	rw2	Last 2 weeks	HU	Hungary	17	1	733481	309998	1154	509
PestiSracok.hu	PestiSrácok.hu	264517713636590	Facebook	rw2	Last 2 weeks	HU	Hungary	16	1	705984	141000	2061	422
Dr. Brenner Koloman	Országgyűlés Hivatala Jobbik Frakció	180924612473518	Facebook	rw2	Last 2 weeks	HU	Hungary	12	1	632253	281105	1310	549
Z. Kárpát Dániel	Országgyűlés Hivatala Jobbik Frakció	208726209161904	Facebook	rw2	Last 2 weeks	HU	Hungary	5	1	569995	264000	1145	507
Ádám Kósa Mep	Adam Kosa, Member of the European Parliament	237088069704442	Facebook	rw2	Last 2 weeks	HU	Hungary	6	1	569086	259545	859	391
Jakab Péter	Országgyűlés Hivatala Jobbik Frakció	781150971947219	Facebook	rw2	Last 2 weeks	HU	Hungary	9	1	556799	201361	1135	329
Demokratikus Koalíció	Demokratikus Koalíció	169599166463839	Facebook	rw2	Last 2 weeks	HU	Hungary	14	1	545202	160043	1192	266
Ökopolisz Alapítvány	Ökopolisz Alapítvány	244669668913278	Facebook	rw2	Last 2 weeks	HU	Hungary	8	1	538232	227628	1356	456
Karácsony Gergely	Párbeszéd Magyarországért	193944440638410	Facebook	rw2	Last 2 weeks	HU	Hungary	11	1	517489	169500	1029	222
