advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Labour Party		164027949687	Facebook	d038	2019-02-07	IE	Ireland	1	1	19999	9999	99	19
Kialo		729627343834501	Facebook	d038	2019-02-07	IE	Ireland	3	1	6107	3053	78	15
Cllr. Éilis Ryan for Europe		787376334669425	Facebook	d038	2019-02-07	IE	Ireland	1	1	2499	500	49	0
Dave McGinn Social Democrats for West Wicklow		306572496836936	Facebook	d038	2019-02-07	IE	Ireland	1	1	2499	500	49	0
Cyril Brennan - People Before Profit		164750800796944	Facebook	d038	2019-02-07	IE	Ireland	3	1	1248	0	123	0
Maryon Stewart	Maryon Stewart	520049428097815	Facebook	d038	2019-02-07	IE	Ireland	2	1	1160	567	9	1
Dan Boyle - Green Party/ Comhaontas Glas Candidate, Cork City South Central		359145628246402	Facebook	d038	2019-02-07	IE	Ireland	2	1	1101	220	17	0
Azil u Srbiji - Centar za zaštitu i pomoć tražiocima azila		181548432005007	Facebook	d038	2019-02-07	IE	Ireland	2	1	986	194	3	0
Neasa Hourigan Green Party		1353131934798813	Facebook	d038	2019-02-07	IE	Ireland	1	1	624	125	12	0
Dude Dad		154100984604961	Facebook	d038	2019-02-07	IE	Ireland	2	1	283	141	8	1
Sean Kelly MEP		340786422717552	Facebook	d038	2019-02-07	IE	Ireland	1	1	161	32	3	0
FT Transact		643057169228509	Facebook	d038	2019-02-07	IE	Ireland	1	1	125	62	0	0
Kaar Kaas Sonn		215255338679306	Facebook	d038	2019-02-07	IE	Ireland	1	1	56	11	0	0
AnarViolin		811250055615939	Facebook	d038	2019-02-07	IE	Ireland	1	1	42	8	0	0
OZY		1393911800825140	Facebook	d038	2019-02-07	IE	Ireland	1	1	39	7	0	0
ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	d038	2019-02-07	IE	Ireland	1	1	36	18	0	0
Le Monde		14892757589	Facebook	d038	2019-02-07	IE	Ireland	6	1	34	13	0	0
Lisa's Law Solicitors	Lisa's Law Solicitors	739722549392872	Facebook	d038	2019-02-07	IE	Ireland	1	1	24	4	0	0
Soviet Visuals		1160495674016675	Facebook	d038	2019-02-07	IE	Ireland	6	1	11	2	0	0
e-Visa Immigration Services		817903978281401	Facebook	d038	2019-02-07	IE	Ireland	1	1	10	2	0	0
Columbia University in the City of New York		102471088936	Facebook	d038	2019-02-07	IE	Ireland	1	1	9	3	0	0
The Free Markets Series on PBS Affiliates		322535364513656	Facebook	d038	2019-02-07	IE	Ireland	1	1	7	0	0	0
CreativeLive		114420101917147	Facebook	d038	2019-02-07	IE	Ireland	1	1	4	0	0	0
Maroš Šefčovič		245361515516655	Facebook	d038	2019-02-07	IE	Ireland	2	1	3	0	0	0
YOGA BURN		146316959083110	Facebook	d038	2019-02-07	IE	Ireland	1	1	3	0	0	0
