advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	audience_code_filter	audience_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Kialo		729627343834501	Facebook	m25_34	male (25-34)	IT	Italy	394	1	2747621	1100568	14185	3342
Matteo Salvini	Lega - Salvini Premier	252306033154	Facebook	m25_34	male (25-34)	IT	Italy	25	1	2039399	933013	5024	1359
Partito Democratico		77034286895	Facebook	m25_34	male (25-34)	IT	Italy	118	1	1692093	724668	5659	1011
European Parliament		178362315106	Facebook	m25_34	male (25-34)	IT	Italy	84	1	1437624	627021	5281	898
Greenpeace Italia	Greenpeace Italia	35346524498	Facebook	m25_34	male (25-34)	IT	Italy	83	1	1277406	534260	3369	537
Dipartimento per le politiche giovanili e il servizio civile universale – Presidenza del Consiglio dei Ministri	Dipartimento per le politiche giovanili e il servizio civile universale – Presidenza del Consiglio dei Ministri	353868374653514	Facebook	m25_34	male (25-34)	IT	Italy	31	1	1254712	559033	2661	563
Ufficio d'informazione in Italia del Parlamento europeo		143544514130	Facebook	m25_34	male (25-34)	IT	Italy	31	1	1098661	482905	1209	137
Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	m25_34	male (25-34)	IT	Italy	57	1	766667	338946	2542	437
Lara Comi	Lara Comi	155619044465389	Facebook	m25_34	male (25-34)	IT	Italy	68	1	546078	179168	1813	380
Avv. Francesco Leone		173240012833543	Facebook	m25_34	male (25-34)	IT	Italy	2	1	501925	200963	518	99
European Commission		107898832590939	Facebook	m25_34	male (25-34)	IT	Italy	7	1	440813	198284	1679	413
European Greens		141366725876424	Facebook	m25_34	male (25-34)	IT	Italy	10	1	404642	173627	1316	416
Roberto Rosso		1735684256653359	Facebook	m25_34	male (25-34)	IT	Italy	27	1	388099	158886	2096	484
Amref Health Africa - Italia		48677844864	Facebook	m25_34	male (25-34)	IT	Italy	61	1	381358	118805	1520	19
Antonio Tajani		506531149512596	Facebook	m25_34	male (25-34)	IT	Italy	41	1	380015	139471	1608	343
Giosi Ferrandino	Giosi Ferrandino	141856142632410	Facebook	m25_34	male (25-34)	IT	Italy	60	1	327875	112503	844	23
Fratelli d'Italia	Fratelli d'Italia	355710427861591	Facebook	m25_34	male (25-34)	IT	Italy	53	1	296916	114158	1468	299
Petizioni.it		1410474395723679	Facebook	m25_34	male (25-34)	IT	Italy	31	1	288513	119363	1626	392
Forza Italia		172265396249029	Facebook	m25_34	male (25-34)	IT	Italy	14	1	275970	107756	2140	433
Riparte il futuro		476098022442147	Facebook	m25_34	male (25-34)	IT	Italy	39	1	264880	107122	839	90
Capire il cambiamento climatico		340472676679938	Facebook	m25_34	male (25-34)	IT	Italy	10	1	262924	123760	1039	223
Videodrome		1773694896182795	Facebook	m25_34	male (25-34)	IT	Italy	21	1	243452	77144	861	37
Andrea Acconcia		428605070873992	Facebook	m25_34	male (25-34)	IT	Italy	22	1	228714	87436	1071	124
Oxfam Italia		150200761667597	Facebook	m25_34	male (25-34)	IT	Italy	155	1	227489	75027	2123	153
SicheConviene		391770197992824	Facebook	m25_34	male (25-34)	IT	Italy	2	1	226231	109516	1190	238
