advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	audience_code_filter	audience_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Vereniging Eigen Huis		371735371563	Facebook	f65_	female (65+)	NL	Netherlands	15	1	789343	325928	5935	1332
Oxfam Novib		115289021825188	Facebook	f65_	female (65+)	NL	Netherlands	36	1	565161	228802	6788	1828
SP	SP	128393027527	Facebook	f65_	female (65+)	NL	Netherlands	117	1	477303	179295	3860	773
Lilian Marijnissen	SP	844559615710915	Facebook	f65_	female (65+)	NL	Netherlands	48	1	412702	161106	2480	575
Stichting Vluchteling		120034538112114	Facebook	f65_	female (65+)	NL	Netherlands	81	1	392243	150133	5787	1332
Bespaarkiosk.nl		1659811130952704	Facebook	f65_	female (65+)	NL	Netherlands	3	1	374244	157492	3352	670
CDA		320374518118	Facebook	f65_	female (65+)	NL	Netherlands	10	1	188590	75510	444	183
Stichting De Noordzee		128160633899802	Facebook	f65_	female (65+)	NL	Netherlands	30	1	146327	62312	791	119
Saarland		882636711855443	Facebook	f65_	female (65+)	NL	Netherlands	2	1	137789	54866	297	136
Vandebron		263935850440177	Facebook	f65_	female (65+)	NL	Netherlands	10	1	108327	45399	659	129
Meewind		421571901231358	Facebook	f65_	female (65+)	NL	Netherlands	1	1	104707	52354	261	52
Milieu Centraal		177508708941577	Facebook	f65_	female (65+)	NL	Netherlands	12	1	101044	34497	614	168
Amnesty International Nederland	Amnesty International Nederland	57729029960	Facebook	f65_	female (65+)	NL	Netherlands	13	1	90347	24440	467	74
Greenpeace Nederland		288295911466	Facebook	f65_	female (65+)	NL	Netherlands	15	1	70750	24541	551	86
Bas Eickhout		208578955894331	Facebook	f65_	female (65+)	NL	Netherlands	19	1	67341	16347	614	129
D66	D66	52985377549	Facebook	f65_	female (65+)	NL	Netherlands	22	1	64016	17826	418	73
asr		512252945544565	Facebook	f65_	female (65+)	NL	Netherlands	10	1	49960	10110	188	12
Facebook	Facebook	726281677519881	Facebook	f65_	female (65+)	NL	Netherlands	5	1	43913	17585	439	87
ActionAid Nederland		170725579702314	Facebook	f65_	female (65+)	NL	Netherlands	20	1	40658	8655	335	0
Henk Jan Ormel	CDA	823537391322678	Facebook	f65_	female (65+)	NL	Netherlands	16	1	38123	8955	160	14
International Campaign for Tibet Nederland		1483437108535863	Facebook	f65_	female (65+)	NL	Netherlands	5	1	38075	8176	379	72
Jeroen Lenaers		316960281776479	Facebook	f65_	female (65+)	NL	Netherlands	7	1	37774	14677	242	81
CDA Gelderland		133724653386228	Facebook	f65_	female (65+)	NL	Netherlands	10	1	35487	15018	186	33
VVD		121264564551002	Facebook	f65_	female (65+)	NL	Netherlands	28	1	34787	11035	230	26
NPO Zapp		205247699486388	Facebook	f65_	female (65+)	NL	Netherlands	2	1	30637	15314	153	30
