advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	audience_code_filter	audience_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	f18_24	female (18-24)	PL	Poland	31	1	2225463	1017813	4216	1162
Greenpeace Polska		32104614789	Facebook	f18_24	female (18-24)	PL	Poland	45	1	1563762	639717	1972	590
Wiosna Biedronia	KW Wiosna Roberta Biedronia	2246647628925721	Facebook	f18_24	female (18-24)	PL	Poland	12	1	1151731	548214	1646	340
Amnesty International Polska		57544755889	Facebook	f18_24	female (18-24)	PL	Poland	45	1	708277	277675	3164	1025
Polska Fundacja im. Roberta Schumana		150617698324166	Facebook	f18_24	female (18-24)	PL	Poland	27	1	451531	110732	826	153
Platforma Obywatelska	KKW Koalicja Europejska PO PSL SLD .N Zieloni	102931488739	Facebook	f18_24	female (18-24)	PL	Poland	426	1	411087	147119	1144	249
Krzysztof Hetman	Krzysztof Hetman	1607487699534202	Facebook	f18_24	female (18-24)	PL	Poland	37	1	364067	140854	559	117
Prawo i Sprawiedliwość	Komitet Wyborczy Prawo i Sprawiedliwość	157458232131	Facebook	f18_24	female (18-24)	PL	Poland	7	1	351575	172305	414	79
Akcja Demokracja		277892342334350	Facebook	f18_24	female (18-24)	PL	Poland	65	1	279657	88038	625	27
Gazeta Wyborcza		63563473556	Facebook	f18_24	female (18-24)	PL	Poland	208	1	269713	113669	530	73
Maciej Gdula	KW Wiosna Roberta Biedronia	831495030528894	Facebook	f18_24	female (18-24)	PL	Poland	3	1	232156	112202	284	57
Kialo		729627343834501	Facebook	f18_24	female (18-24)	PL	Poland	310	1	216558	90021	1332	301
Parlament Europejski - Biuro w Polsce		405326618416	Facebook	f18_24	female (18-24)	PL	Poland	12	1	205020	95113	432	79
Paweł Bejda	Bejda Paweł 	587380481330698	Facebook	f18_24	female (18-24)	PL	Poland	50	1	203116	50668	326	44
Razem	KKW Lewica Razem - Razem, Unia Pracy, RSS	430323810469014	Facebook	f18_24	female (18-24)	PL	Poland	14	1	200372	79276	295	50
European Commission		107898832590939	Facebook	f18_24	female (18-24)	PL	Poland	20	1	188781	85913	793	144
Łukasz Kohut	KW Wiosna Roberta Biedronia 	1465965073732774	Facebook	f18_24	female (18-24)	PL	Poland	6	1	168870	79988	219	41
Sylwia Spurek		1967695263556184	Facebook	f18_24	female (18-24)	PL	Poland	2	1	150018	74359	176	35
HelpLab		312107696270472	Facebook	f18_24	female (18-24)	PL	Poland	3	1	138339	68318	170	78
Partia Zieloni	KKW Koalicja Europejska PO PSL SLD .N Zieloni	48391402694	Facebook	f18_24	female (18-24)	PL	Poland	18	1	126689	26177	326	64
Nomada Stowarzyszenie		114318528622863	Facebook	f18_24	female (18-24)	PL	Poland	9	1	126045	61066	77	13
Razem Wrocław		1615938528671397	Facebook	f18_24	female (18-24)	PL	Poland	2	1	123897	61928	144	72
Krzysztof Jurgiel	Overs sp. z o.o.	465990636788016	Facebook	f18_24	female (18-24)	PL	Poland	11	1	123882	52947	144	25
European Youth Event		919232861444360	Facebook	f18_24	female (18-24)	PL	Poland	7	1	111319	52961	445	99
toowee.pl		185831628158565	Facebook	f18_24	female (18-24)	PL	Poland	4	1	111051	55526	167	52
