advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Akcja Demokracja		277892342334350	Facebook	d077	2019-03-18	PL	Poland	5	1	85085	16917	74	3
Paweł Kukiz		773389822728740	Facebook	d077	2019-03-18	PL	Poland	1	1	45402	18161	21	10
Arte		1319236851430224	Facebook	d077	2019-03-18	PL	Poland	3	1	30211	12534	34	4
Parlament Europejski - Biuro w Polsce		405326618416	Facebook	d077	2019-03-18	PL	Poland	6	1	25285	9322	38	4
Fundacja Ocalenie		138059122894658	Facebook	d077	2019-03-18	PL	Poland	1	1	24968	12484	29	14
Tygodnik Sieci		373046469444636	Facebook	d077	2019-03-18	PL	Poland	1	1	24957	4991	57	11
e.on		511324618972373	Facebook	d077	2019-03-18	PL	Poland	1	1	18727	9363	9	1
Robert Maślak		297394714392739	Facebook	d077	2019-03-18	PL	Poland	2	1	17120	3424	40	7
Era Nowych Kobiet by Joanna Przetakiewicz		286813672006320	Facebook	d077	2019-03-18	PL	Poland	1	1	16107	6443	37	7
WPROST		77049287117	Facebook	d077	2019-03-18	PL	Poland	2	1	14967	7484	34	0
Amnesty International Polska		57544755889	Facebook	d077	2019-03-18	PL	Poland	27	1	14826	3993	37	7
Nomada Stowarzyszenie		114318528622863	Facebook	d077	2019-03-18	PL	Poland	6	1	11554	5413	5	0
European Parliament		178362315106	Facebook	d077	2019-03-18	PL	Poland	5	1	11242	2248	111	0
You Vote EU Polska		1923072537771358	Facebook	d077	2019-03-18	PL	Poland	1	1	10404	4161	10	2
Koduj dla Polski		537482459663806	Facebook	d077	2019-03-18	PL	Poland	1	1	9989	1997	23	4
Biuro Podróży WADi		1603955613172584	Facebook	d077	2019-03-18	PL	Poland	2	1	9119	1823	21	4
Kospel S.A.		105979422814402	Facebook	d077	2019-03-18	PL	Poland	1	1	9080	4540	52	10
Znak Horyzont		131511477684330	Facebook	d077	2019-03-18	PL	Poland	1	1	9078	4539	10	5
Norbert Kaczmarczyk Poseł na Sejm RP		814991668621838	Facebook	d077	2019-03-18	PL	Poland	1	1	9077	4538	10	2
ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	d077	2019-03-18	PL	Poland	6	1	8746	3598	79	16
Bogusław Sonik	Jan Paweł Cięciak	75775141409	Facebook	d077	2019-03-18	PL	Poland	1	1	8333	1666	19	3
Stowarzyszenie WIOSNA		101611659709	Facebook	d077	2019-03-18	PL	Poland	8	1	7512	3027	75	12
Gazeta Wyborcza		63563473556	Facebook	d077	2019-03-18	PL	Poland	3	1	6984	997	69	0
Jacek Wilk		499646073441042	Facebook	d077	2019-03-18	PL	Poland	1	1	6249	1250	14	2
Leszek Miller		409448322773622	Facebook	d077	2019-03-18	PL	Poland	1	1	6249	1250	14	2
