advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	d069	2019-03-10	BG	Bulgaria	3	1	82061	39736	60	12
Медея		1526396310816752	Facebook	d069	2019-03-10	BG	Bulgaria	1	1	16666	3333	29	0
ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	d069	2019-03-10	BG	Bulgaria	5	1	11409	5033	89	23
One Billion Rising Bulgaria		579415982138368	Facebook	d069	2019-03-10	BG	Bulgaria	1	1	2840	568	6	0
За чиста София без изгаряне на отпадъци		381457052650856	Facebook	d069	2019-03-10	BG	Bulgaria	1	1	2315	1157	20	0
Вдъхновените		515186808906514	Facebook	d069	2019-03-10	BG	Bulgaria	1	1	2259	1129	22	0
Kialo		729627343834501	Facebook	d069	2019-03-10	BG	Bulgaria	1	1	2207	441	19	3
сТУденти		710941585944818	Facebook	d069	2019-03-10	BG	Bulgaria	1	1	1102	551	10	0
Fire Safe Europe - FSEU		238789186294640	Facebook	d069	2019-03-10	BG	Bulgaria	1	1	823	164	1	0
Greens/EFA in the European Parliament		150527751674751	Facebook	d069	2019-03-10	BG	Bulgaria	1	1	610	122	1	0
ETUC		129041250601685	Facebook	d069	2019-03-10	BG	Bulgaria	1	1	539	269	1	0
European Commission - Development & Cooperation - EuropeAid		287842647957979	Facebook	d069	2019-03-10	BG	Bulgaria	6	1	393	168	0	0
International Politics and Society		1591078677572315	Facebook	d069	2019-03-10	BG	Bulgaria	1	1	345	69	0	0
A Solution to Plastic Pollution - First International Online Summit		1098001547034272	Facebook	d069	2019-03-10	BG	Bulgaria	2	1	237	47	2	0
Avon Worldwide		216741958412414	Facebook	d069	2019-03-10	BG	Bulgaria	1	1	223	111	0	0
MeGrow		142021769700446	Facebook	d069	2019-03-10	BG	Bulgaria	1	1	130	26	2	0
ITUC		20556338116	Facebook	d069	2019-03-10	BG	Bulgaria	1	1	127	63	0	0
Νέα Πολιτική Κίνημα Δημοκρατικής Κοινωνικής Αναθέσμισης		312869456190675	Facebook	d069	2019-03-10	BG	Bulgaria	2	1	120	31	0	0
Save the Blue Heart of Europe		248254568685368	Facebook	d069	2019-03-10	BG	Bulgaria	1	1	75	37	0	0
RSM MBA		110428762358678	Facebook	d069	2019-03-10	BG	Bulgaria	3	1	70	32	0	0
EURACTIV		15299247059	Facebook	d069	2019-03-10	BG	Bulgaria	3	1	67	12	0	0
Stanford Graduate School of Business		208357009185713	Facebook	d069	2019-03-10	BG	Bulgaria	4	1	66	13	0	0
INSEAD		164840743574941	Facebook	d069	2019-03-10	BG	Bulgaria	1	1	61	30	0	0
Melba Culp		902971599738051	Facebook	d069	2019-03-10	BG	Bulgaria	2	1	59	29	0	0
FT Content Solutions		1220981994590364	Facebook	d069	2019-03-10	BG	Bulgaria	2	1	55	11	0	0
Chug Bottles		1781974005205686	Facebook	d069	2019-03-10	BG	Bulgaria	1	1	41	20	0	0
VOA - Глас на Америка		176413438620	Facebook	d069	2019-03-10	BG	Bulgaria	1	1	23	4	0	0
Journal des Français à l'étranger		1193690844094654	Facebook	d069	2019-03-10	BG	Bulgaria	1	1	13	5	0	0
هوای پاک برای ایران  Clean Air For Iran		1577670342523543	Facebook	d069	2019-03-10	BG	Bulgaria	1	1	10	2	0	0
Le Monde		14892757589	Facebook	d069	2019-03-10	BG	Bulgaria	6	1	10	4	0	0
Cali Lili		404598562928218	Facebook	d069	2019-03-10	BG	Bulgaria	1	1	7	0	0	0
Ecocity World Summit 2019		1998748213742008	Facebook	d069	2019-03-10	BG	Bulgaria	2	1	7	2	0	0
Matt Wilson		247888188644456	Facebook	d069	2019-03-10	BG	Bulgaria	7	1	7	2	0	0
Open Society Foundations		18983389920	Facebook	d069	2019-03-10	BG	Bulgaria	2	1	6	1	0	0
Serendeep		354759095044155	Facebook	d069	2019-03-10	BG	Bulgaria	1	1	6	1	0	0
Banque mondiale		155174084508744	Facebook	d069	2019-03-10	BG	Bulgaria	6	1	5	1	0	0
Il Primato Nazionale	Il Primato Nazionale	587689174620699	Facebook	d069	2019-03-10	BG	Bulgaria	1	1	4	2	0	0
Oceanic Global		866657050038456	Facebook	d069	2019-03-10	BG	Bulgaria	1	1	4	0	0	0
YOGA BURN		146316959083110	Facebook	d069	2019-03-10	BG	Bulgaria	4	1	4	0	0	0
Deutschland.de		31292782350	Facebook	d069	2019-03-10	BG	Bulgaria	2	1	2	0	0	0
SAGE Publishing		121340691244235	Facebook	d069	2019-03-10	BG	Bulgaria	1	1	2	0	0	0
Andreas Schieder	SPÖ	290881691011354	Facebook	d069	2019-03-10	BG	Bulgaria	2	1	1	0	0	0
Exponea		437489159794764	Facebook	d069	2019-03-10	BG	Bulgaria	2	1	1	0	0	0
Soviet Visuals		1160495674016675	Facebook	d069	2019-03-10	BG	Bulgaria	2	1	1	0	0	0
Deco your life		347820246060480	Facebook	d069	2019-03-10	BG	Bulgaria	1	1	1	0	0	0
Voices for Refugees - أصوات لأجل اللاجئين		1601274913421469	Facebook	d069	2019-03-10	BG	Bulgaria	2	1	0	0	0	0
African Union USA		507866149701811	Facebook	d069	2019-03-10	BG	Bulgaria	1	1	0	0	0	0
