advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
ΑΚΕΛ - AKEL	ΑΚΕΛ - AKEL	117799504920552	Facebook	d112	2019-04-22	CY	Cyprus	3	1	34998	10000	148	0
Nicos Tornaritis - Νίκος Τορναρίτης	Nicos Tornaritis - Νίκος Τορναρίτης	115653995162093	Facebook	d112	2019-04-22	CY	Cyprus	1	1	24999	5000	49	0
Costas Mavrides - Κώστας Μαυρίδης	Costas Mavrides - Κώστας Μαυρίδης	197874087030899	Facebook	d112	2019-04-22	CY	Cyprus	2	1	17499	5000	74	0
VoteWatch Europe		355087424564148	Facebook	d112	2019-04-22	CY	Cyprus	5	1	2897	1227	5	1
yeniduzen		223172754383571	Facebook	d112	2019-04-22	CY	Cyprus	2	1	2387	477	3	0
Παναγιώτης Σεντώνας - Panayiotis Sentonas		436419753766608	Facebook	d112	2019-04-22	CY	Cyprus	3	1	2173	577	12	0
Leyla Hüseyin Kıralp		405321523588438	Facebook	d112	2019-04-22	CY	Cyprus	6	1	1272	181	53	0
Kdk Magazine		120770278464488	Facebook	d112	2019-04-22	CY	Cyprus	1	1	999	200	19	0
Union of Cypriots - Kıbrıslılar Birliği - Ένωσις Κυπρίων		2000341880290773	Facebook	d112	2019-04-22	CY	Cyprus	2	1	998	399	1	0
Prof. Dr. Niyazi Kızılyürek	Niyazi Kızılyürek	878208312216203	Facebook	d112	2019-04-22	CY	Cyprus	1	1	833	416	8	0
Guardian Weekly		64525551258	Facebook	d112	2019-04-22	CY	Cyprus	4	1	523	214	0	0
Μιχάλης Μηνά-Υποψήφιος Ευρωβουλευτής 2019-  Πρόεδρος Κόμμα Δικαιοσύνης		1405721126369385	Facebook	d112	2019-04-22	CY	Cyprus	2	1	501	90	13	0
Τζώρτζια Κωνσταντίνου-Παναγιώτου / Georgia Constantinou-Panayiotou		270213387069072	Facebook	d112	2019-04-22	CY	Cyprus	2	1	466	181	6	0
Παρατηρητήριο  Ισότητας  Κύπρου		381640725588880	Facebook	d112	2019-04-22	CY	Cyprus	1	1	454	90	9	0
Bloc Républicain nassirou bako-arifari		489196848282307	Facebook	d112	2019-04-22	CY	Cyprus	1	1	454	90	8	0
Last Stop Brexit		820489154977103	Facebook	d112	2019-04-22	CY	Cyprus	1	1	397	79	0	0
ETUC		129041250601685	Facebook	d112	2019-04-22	CY	Cyprus	1	1	326	163	0	0
Ιακώβου Βάκης		332523037613071	Facebook	d112	2019-04-22	CY	Cyprus	1	1	312	62	6	0
Tuunes		992176580926495	Facebook	d112	2019-04-22	CY	Cyprus	6	1	192	44	0	0
Κίνημα Σοσιαλδημοκρατών ΕΔΕΚ	EDEK	489124984493054	Facebook	d112	2019-04-22	CY	Cyprus	1	1	142	0	14	0
The Good Lobby		1420129598280317	Facebook	d112	2019-04-22	CY	Cyprus	2	1	112	30	0	0
TaxEduportal		828411763950694	Facebook	d112	2019-04-22	CY	Cyprus	1	1	96	19	0	0
World Bank		153371894688575	Facebook	d112	2019-04-22	CY	Cyprus	5	1	88	42	0	0
Stephen Webster		237837336581	Facebook	d112	2019-04-22	CY	Cyprus	2	1	68	26	0	0
Arte		656089814494677	Facebook	d112	2019-04-22	CY	Cyprus	3	1	28	5	0	0
