advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	location_code_filter	location_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	29	1	213972	99918	697	161
SDP Hrvatske	SDP Hrvatske	129634970518	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	56	1	114133	45447	184	13
Možemo - politička platforma	Možemo - politička platforma	1064762700374086	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	21	1	60074	22652	130	16
MOST nezavisnih lista	MOST nezavisnih lista	388550077899912	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	38	1	58001	20112	190	16
Ruža Tomašić		1434305366791182	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	37	1	56035	13675	154	0
Građani za Mislava Kolakušića	Kolakusic Mislav	374159272978399	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	18	1	52555	19663	89	6
pametno.org	pametno.org	144815235686385	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	23	1	50631	17393	95	3
Saša Poljanec-Borić	Hrvatska socijalno liberalna stranka	1914254365351413	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	19	1	31293	8847	93	9
Kialo		729627343834501	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	296	1	28178	11835	125	32
Karlo Ressler	HDZ - Hrvatska demokratska zajednica	272201060331942	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	41	1	27575	6165	174	3
Zoran Bahtijarević		2195720960680577	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	4	1	23010	10779	64	11
European Greens	European Greens	141366725876424	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	11	1	22818	10106	77	22
Eclectica		1379977375431894	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	22733	11367	101	20
GLAS Građansko-liberalni savez	GLAS Građansko-liberalni savez	231052047413325	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	19577	7831	17	3
Dr. sc. Tomislav Sokol	HDZ - Hrvatska demokratska zajednica	136900153422435	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	6	1	18668	6859	42	4
Hrvatska narodna stranka - liberalni demokrati (HNS)	Hrvatska narodna stranka - liberalni demokrati (HNS)	139606619434725	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	13	1	18660	6968	41	4
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	45	1	18633	8735	46	12
Valter Flego	Valter Flego	441675022557503	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	7	1	17102	5764	32	2
Jozo Radoš	Jozo Radoš	446717938731095	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	15	1	17054	3919	140	12
Stjepan Ribić	HDZ - Hrvatska demokratska zajednica	451335681696047	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	8	1	15609	6445	53	6
Electrolux Hrvatska		1229501663771543	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	3	1	14528	7264	10	0
Ivana Nikolić Popović	Nikolić Popović Ivana	160505204050427	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	15	1	12497	2731	42	0
Ranko Ostojić		414575348695604	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	12	1	11134	2796	69	0
Marijana Petir		1418903245032313	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	7801	3900	7	0
Marijana Balić	HDZ - Hrvatska demokratska zajednica	1274752085892321	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	6	1	7793	1685	23	0
Miro Bulj	MOST nezavisnih lista	1252295741481540	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	3	1	7775	2734	10	0
ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	54	1	7748	3301	30	6
Dominik Vuletić		1858121814431190	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	4	1	7734	1688	16	0
Željana Zovko		1203134436474667	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	19	1	7708	2118	59	0
Greenpeace Hrvatska	Greenpeace Hrvatska	359170097532754	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	10	1	7223	2808	28	1
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	20	1	6985	2838	15	2
Nova ljevica	Markovina Dragan	706769699498076	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	10	1	6877	1813	30	0
HKS - Hrvatska konzervativna stranka	HKS - Hrvatska konzervativna stranka	789855157727222	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	7	1	5962	1687	25	0
Domagoj Maroević	HDZ - Hrvatska demokratska zajednica	377283356332665	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	4	1	5675	2173	8	0
Klub zastupnika EPP-a		378351268934576	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	5669	2834	2	0
Stranka europskih socijalista		1927927220797184	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	5	1	5354	1269	19	0
HRAST - pokret za uspješnu Hrvatsku - službene stranice		1481525755446572	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	8	1	5190	1202	18	0
Joško Klisović	Klisovic Josko	1262594650584725	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	4	1	4696	1064	15	0
Dubravka Suica	HDZ - Hrvatska demokratska zajednica	195096520662445	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	2	1	4695	939	8	0
Stjepan Adanić	HDZ - Hrvatska demokratska zajednica	408695383042330	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	2	1	4673	934	8	0
Privredni.		1062000377172732	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	2	1	4505	2207	6	0
Ivan Prskalo - Kandidat Mosta za EU Izbore		413937162730005	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	3	1	4400	1807	7	0
Krešo Beljak		52929105855	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	4197	2098	20	4
Nikolina Brnjac	HDZ - Hrvatska demokratska zajednica	287054392229717	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	6	1	4110	1372	25	0
HSS Hrvatska		236043376446622	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	3904	1952	3	0
Europski parlament, Ured za informiranje u Republici Hrvatskoj	Europski parlament, Ured za informiranje u Republici Hrvatskoj	508795765833382	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	7	1	3854	943	12	0
Faktograf.hr	Faktograf.hr	1487935214842281	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	14	1	3839	1126	38	0
Party of European Socialists	Party of European Socialists	148097975226385	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	15	1	3806	1689	10	1
MakeUp Eraser Croatia		130338117828161	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	2	1	3785	757	7	0
Greens/EFA in the European Parliament		150527751674751	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	7	1	3710	1610	5	1
Goran Pauk	HDZ - Hrvatska demokratska zajednica	581489628528785	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	2	1	3466	693	6	0
Predrag Mišić	HKS - Hrvatska konzervativna stranka	301664597159836	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	3	1	2793	776	10	0
Give A Vote		2186129244970085	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	2	1	2723	1338	12	2
Mreža Antifašistkinja Zagreba		787731051321372	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	2673	534	5	0
Nenad Matić - Zelena lista		157025101623973	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	6	1	2667	544	10	0
INA		258640607530666	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	2575	515	5	0
Satirikon		1240942162719935	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	5	1	2503	479	18	0
Sunčana Glavak	HDZ - Hrvatska demokratska zajednica	482597361772021	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	2362	472	4	0
Ivan Lovrinović		941907929204784	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	2261	452	3	0
