advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Venstre, Danmarks Liberale Parti	Venstre, Danmarks Liberale Parti	21465928829	Facebook	d093	2019-04-03	DK	Denmark	90	1	49560	18875	298	110
Red Barnet		67571270393	Facebook	d093	2019-04-03	DK	Denmark	49	1	45519	16895	813	212
Mai Mercado		397094903687472	Facebook	d093	2019-04-03	DK	Denmark	68	1	37966	1000	450	0
NORDIC Seaplanes		950451828364380	Facebook	d093	2019-04-03	DK	Denmark	1	1	33333	16666	148	29
Morten Østergaard	Radikale Venstre	252520351444054	Facebook	d093	2019-04-03	DK	Denmark	4	1	26151	5221	48	9
Dansk Folkeparti	Dansk Folkeparti	520449347983427	Facebook	d093	2019-04-03	DK	Denmark	1	1	24997	12498	836	167
Pernille Weiss	Det Konservative Folkeparti	2071183673144991	Facebook	d093	2019-04-03	DK	Denmark	3	1	23683	6842	458	91
PlanBørnefonden		399210657232918	Facebook	d093	2019-04-03	DK	Denmark	6	1	22994	7000	240	40
Nick Zimmermann - Dansk Folkeparti	Zimmermann Nick	331034483992282	Facebook	d093	2019-04-03	DK	Denmark	2	1	18332	3666	66	26
Kialo		729627343834501	Facebook	d093	2019-04-03	DK	Denmark	2	1	14671	2934	128	25
Nye Borgerlige		646746285466931	Facebook	d093	2019-04-03	DK	Denmark	1	1	12499	2500	33	16
Alex Vanopslagh		368851876877623	Facebook	d093	2019-04-03	DK	Denmark	1	1	12499	2500	33	16
180Grader		175052915862375	Facebook	d093	2019-04-03	DK	Denmark	2	1	11999	3000	40	16
En grønnere planet		301647537160818	Facebook	d093	2019-04-03	DK	Denmark	10	1	11804	3485	118	33
Fagbladet 3F		495897290562507	Facebook	d093	2019-04-03	DK	Denmark	3	1	11768	2353	157	31
Alex Vanopslagh	Alex Vanopslagh	671022293105597	Facebook	d093	2019-04-03	DK	Denmark	8	1	11216	2176	40	15
World Animal Protection Danmark		33588644626	Facebook	d093	2019-04-03	DK	Denmark	5	1	10360	4287	123	27
Rejselandet Tyskland		897647763606459	Facebook	d093	2019-04-03	DK	Denmark	1	1	9999	5000	99	0
U.S. Embassy Denmark		298461170736	Facebook	d093	2019-04-03	DK	Denmark	1	1	9998	1999	17	0
Asger Christensen i EU	Christensen Asger Bank Møller	1450750935146684	Facebook	d093	2019-04-03	DK	Denmark	1	1	9994	1999	26	13
Mikkel Rasmussen		1225863877541743	Facebook	d093	2019-04-03	DK	Denmark	2	1	7911	1582	30	6
Europa-Parlamentet i Danmark	Europa-Parlamentet i Danmark	128700897207990	Facebook	d093	2019-04-03	DK	Denmark	4	1	7622	1125	220	0
Veganerpartiet		2109922459023773	Facebook	d093	2019-04-03	DK	Denmark	1	1	7141	1428	63	12
Simple Feast		571176036346620	Facebook	d093	2019-04-03	DK	Denmark	21	1	7091	1494	96	14
Morten Dahlin	Morten Dahlin	577345799101307	Facebook	d093	2019-04-03	DK	Denmark	3	1	6564	1312	11	0
