advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	recent_code_filter	recent_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Venstre, Danmarks Liberale Parti	Venstre, Danmarks Liberale Parti	21465928829	Facebook	rw2	Last 2 weeks	DK	Denmark	245	1	6089484	2271848	46845	12164
European Parliament		178362315106	Facebook	rw2	Last 2 weeks	DK	Denmark	15	1	2975171	1340084	27448	6494
Det Konservative Folkeparti	Det Konservative Folkeparti	39233495912	Facebook	rw2	Last 2 weeks	DK	Denmark	117	1	2492834	831984	33819	9506
Socialdemokratiet		41459763029	Facebook	rw2	Last 2 weeks	DK	Denmark	92	1	2064503	673733	23041	6756
Liberal Alliance	Liberal Alliance	106952222676974	Facebook	rw2	Last 2 weeks	DK	Denmark	672	1	1960337	419528	17678	3419
Lizette Risgaard		547601668763372	Facebook	rw2	Last 2 weeks	DK	Denmark	42	1	1898951	723998	16785	3909
SF	SF	74796954245	Facebook	rw2	Last 2 weeks	DK	Denmark	33	1	1226964	319999	12260	2731
Dansk Folkeparti	Dansk Folkeparti	520449347983427	Facebook	rw2	Last 2 weeks	DK	Denmark	6	1	1168024	497586	11310	3639
Morten Dahlin	Morten Dahlin	577345799101307	Facebook	rw2	Last 2 weeks	DK	Denmark	158	1	1151411	275636	4146	831
Søren Pape Poulsen	Søren Pape Poulsen	952334508116178	Facebook	rw2	Last 2 weeks	DK	Denmark	18	1	1130982	406000	16480	5101
Pia Olsen Dyhr	SF	49348971479	Facebook	rw2	Last 2 weeks	DK	Denmark	36	1	1054960	371997	8511	1968
Enhedslisten	Enhedslisten	223040066022	Facebook	rw2	Last 2 weeks	DK	Denmark	18	1	931967	311997	5728	1780
Dansk Industri - DI	Dansk Industri	141343589252160	Facebook	rw2	Last 2 weeks	DK	Denmark	24	1	838479	235750	6800	1665
Zetland	Zetland	341299649231023	Facebook	rw2	Last 2 weeks	DK	Denmark	23	1	690976	245999	2139	870
Mona Juul	Mona Juul	2079067062409423	Facebook	rw2	Last 2 weeks	DK	Denmark	65	1	683550	180036	6293	1311
Mellemfolkeligt Samvirke	Mellemfolkeligt Samvirke	5624899398	Facebook	rw2	Last 2 weeks	DK	Denmark	48	1	597939	139997	4666	1191
Oxfam IBIS	Oxfam IBIS	144965885963	Facebook	rw2	Last 2 weeks	DK	Denmark	27	1	593966	132997	6102	1446
Morten Klessen	Socialdemokratiet i Nordjylland	1039840406189567	Facebook	rw2	Last 2 weeks	DK	Denmark	25	1	550974	178999	4294	950
Morten Østergaard	Radikale Venstre	252520351444054	Facebook	rw2	Last 2 weeks	DK	Denmark	29	1	542149	116110	3948	804
Mette Frederiksen	Socialdemokratiet	57497067718	Facebook	rw2	Last 2 weeks	DK	Denmark	17	1	529983	183999	5487	1178
Alternativet	Alternativet	676061179094769	Facebook	rw2	Last 2 weeks	DK	Denmark	8	1	422125	147423	3556	1423
Christina Egelund	Liberal Alliance	684016791662654	Facebook	rw2	Last 2 weeks	DK	Denmark	42	1	421257	94764	4554	1071
Alex Vanopslagh	Alex Vanopslagh	671022293105597	Facebook	rw2	Last 2 weeks	DK	Denmark	38	1	413974	111426	2331	673
Red Barnet		67571270393	Facebook	rw2	Last 2 weeks	DK	Denmark	59	1	413142	112325	5593	1389
Facebook Nordic	Facebook	334318366655425	Facebook	rw2	Last 2 weeks	DK	Denmark	4	1	399995	199999	2677	535
