advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	location_code_filter	location_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	osijek_baranja_county_HR	Osijek-Baranja County, Croatia	33	1	530282	246300	1702	393
SDP Hrvatske	SDP Hrvatske	129634970518	Facebook	osijek_baranja_county_HR	Osijek-Baranja County, Croatia	57	1	284807	112486	536	32
Stjepan Ribić	HDZ - Hrvatska demokratska zajednica	451335681696047	Facebook	osijek_baranja_county_HR	Osijek-Baranja County, Croatia	10	1	159237	69469	588	63
Karlo Ressler	HDZ - Hrvatska demokratska zajednica	272201060331942	Facebook	osijek_baranja_county_HR	Osijek-Baranja County, Croatia	50	1	143850	31766	589	6
Valter Flego	Valter Flego	441675022557503	Facebook	osijek_baranja_county_HR	Osijek-Baranja County, Croatia	10	1	135966	32564	263	15
pametno.org	pametno.org	144815235686385	Facebook	osijek_baranja_county_HR	Osijek-Baranja County, Croatia	24	1	134035	37731	285	5
MOST nezavisnih lista	MOST nezavisnih lista	388550077899912	Facebook	osijek_baranja_county_HR	Osijek-Baranja County, Croatia	38	1	127238	44725	408	35
Građani za Mislava Kolakušića	Kolakusic Mislav	374159272978399	Facebook	osijek_baranja_county_HR	Osijek-Baranja County, Croatia	19	1	118322	44068	224	15
Kialo		729627343834501	Facebook	osijek_baranja_county_HR	Osijek-Baranja County, Croatia	313	1	114380	47904	533	133
Možemo - politička platforma	Možemo - politička platforma	1064762700374086	Facebook	osijek_baranja_county_HR	Osijek-Baranja County, Croatia	16	1	102372	36913	214	25
Ruža Tomašić		1434305366791182	Facebook	osijek_baranja_county_HR	Osijek-Baranja County, Croatia	37	1	101715	24811	273	0
GLAS Građansko-liberalni savez	GLAS Građansko-liberalni savez	231052047413325	Facebook	osijek_baranja_county_HR	Osijek-Baranja County, Croatia	5	1	82514	28230	342	7
European Greens	European Greens	141366725876424	Facebook	osijek_baranja_county_HR	Osijek-Baranja County, Croatia	12	1	73953	32897	260	76
Saša Poljanec-Borić	Hrvatska socijalno liberalna stranka	1914254365351413	Facebook	osijek_baranja_county_HR	Osijek-Baranja County, Croatia	19	1	73035	19975	211	19
Eclectica		1379977375431894	Facebook	osijek_baranja_county_HR	Osijek-Baranja County, Croatia	1	1	61112	30556	271	54
Hrvatska narodna stranka - liberalni demokrati (HNS)	Hrvatska narodna stranka - liberalni demokrati (HNS)	139606619434725	Facebook	osijek_baranja_county_HR	Osijek-Baranja County, Croatia	7	1	52876	21769	118	16
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	osijek_baranja_county_HR	Osijek-Baranja County, Croatia	45	1	50642	23710	125	33
Electrolux Hrvatska		1229501663771543	Facebook	osijek_baranja_county_HR	Osijek-Baranja County, Croatia	3	1	38123	19062	28	0
Ivana Nikolić Popović	Nikolić Popović Ivana	160505204050427	Facebook	osijek_baranja_county_HR	Osijek-Baranja County, Croatia	15	1	36609	8021	114	0
Stjepan Čuraj		1528272037424751	Facebook	osijek_baranja_county_HR	Osijek-Baranja County, Croatia	3	1	35818	12191	117	16
Dr. sc. Tomislav Sokol	HDZ - Hrvatska demokratska zajednica	136900153422435	Facebook	osijek_baranja_county_HR	Osijek-Baranja County, Croatia	6	1	32774	11703	75	7
Zoran Bahtijarević		2195720960680577	Facebook	osijek_baranja_county_HR	Osijek-Baranja County, Croatia	4	1	32227	15458	94	18
Jozo Radoš	Jozo Radoš	446717938731095	Facebook	osijek_baranja_county_HR	Osijek-Baranja County, Croatia	14	1	30098	7091	215	25
Greenpeace Hrvatska	Greenpeace Hrvatska	359170097532754	Facebook	osijek_baranja_county_HR	Osijek-Baranja County, Croatia	10	1	22094	8596	85	5
Hns Osječko-baranjska Županija		208799152545268	Facebook	osijek_baranja_county_HR	Osijek-Baranja County, Croatia	10	1	21069	5365	353	0
