advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	impression_code_filter	impression_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Venstre, Danmarks Liberale Parti	Venstre, Danmarks Liberale Parti	21465928829	Facebook	10k_50k	10k - 50k	DK	Denmark	74	1	3699921	739999	26167	6761
Socialdemokratiet		41459763029	Facebook	10k_50k	10k - 50k	DK	Denmark	36	1	1799950	359997	20080	4137
Liberal Alliance	Liberal Alliance	106952222676974	Facebook	10k_50k	10k - 50k	DK	Denmark	33	1	1649368	329880	11308	2664
Det Konservative Folkeparti	Det Konservative Folkeparti	39233495912	Facebook	10k_50k	10k - 50k	DK	Denmark	29	1	1449942	289994	12381	3682
SF	SF	74796954245	Facebook	10k_50k	10k - 50k	DK	Denmark	22	1	1099975	219999	10441	2410
Dansk Industri - DI	Dansk Industri	141343589252160	Facebook	10k_50k	10k - 50k	DK	Denmark	21	1	1049965	209997	9236	2209
Red Barnet		67571270393	Facebook	10k_50k	10k - 50k	DK	Denmark	19	1	949969	189997	12316	2945
Morten Dahlin	Morten Dahlin	577345799101307	Facebook	10k_50k	10k - 50k	DK	Denmark	19	1	949948	189993	1780	602
Lizette Risgaard		547601668763372	Facebook	10k_50k	10k - 50k	DK	Denmark	17	1	849973	169998	9236	2008
Pia Olsen Dyhr	SF	49348971479	Facebook	10k_50k	10k - 50k	DK	Denmark	15	1	749984	149999	6291	1539
Pernille Weiss	Det Konservative Folkeparti	2071183673144991	Facebook	10k_50k	10k - 50k	DK	Denmark	15	1	749975	149998	8433	1807
Røde Kors		65929129383	Facebook	10k_50k	10k - 50k	DK	Denmark	14	1	699986	140000	7362	2075
Søren Pape Poulsen	Søren Pape Poulsen	952334508116178	Facebook	10k_50k	10k - 50k	DK	Denmark	13	1	649987	130000	6693	1941
Morten Østergaard	Radikale Venstre	252520351444054	Facebook	10k_50k	10k - 50k	DK	Denmark	13	1	649975	129997	3345	709
European Parliament		178362315106	Facebook	10k_50k	10k - 50k	DK	Denmark	13	1	600002	120002	4899	901
Mona Juul	Mona Juul	2079067062409423	Facebook	10k_50k	10k - 50k	DK	Denmark	12	1	599988	119999	5756	1231
Enhedslisten	Enhedslisten	223040066022	Facebook	10k_50k	10k - 50k	DK	Denmark	12	1	599973	119997	4149	1030
Oxfam IBIS	Oxfam IBIS	144965885963	Facebook	10k_50k	10k - 50k	DK	Denmark	11	1	549989	110000	5756	1272
Naser Khader		1995019340791443	Facebook	10k_50k	10k - 50k	DK	Denmark	10	1	499990	100000	6693	1338
Folkekirkens Nødhjælp		276770505228	Facebook	10k_50k	10k - 50k	DK	Denmark	10	1	499989	99999	2877	816
Alex Vanopslagh	Alex Vanopslagh	671022293105597	Facebook	10k_50k	10k - 50k	DK	Denmark	9	1	449990	89999	1672	615
Mellemfolkeligt Samvirke	Mellemfolkeligt Samvirke	5624899398	Facebook	10k_50k	10k - 50k	DK	Denmark	9	1	449978	89997	2676	696
Danske Medier	Danske Medier	300107073389986	Facebook	10k_50k	10k - 50k	DK	Denmark	9	1	449819	89965	1069	495
Simple Feast		571176036346620	Facebook	10k_50k	10k - 50k	DK	Denmark	8	1	399992	80000	3992	800
Jeppe Kofod	Socialdemokratiet	137685999659722	Facebook	10k_50k	10k - 50k	DK	Denmark	8	1	399990	79999	802	321
