advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	recent_code_filter	recent_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	rm2	Last 2 months	EL	Greece	41	1	13858600	6652677	46940	11767
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	82362291274	Facebook	rm2	Last 2 months	EL	Greece	64	1	11286726	4763813	24925	4198
Giorgos Patoulis	Georgios Patoulis	668804566601196	Facebook	rm2	Last 2 months	EL	Greece	130	1	11055381	4545881	35667	6299
Πέτρος Κόκκαλης - Petros Kokkalis	Πέτρος Κόκκαλης - Petros Kokkalis	234040963454964	Facebook	rm2	Last 2 months	EL	Greece	205	1	9602521	3487100	39075	4797
Thodoris Kalabokis	Thodoris Kalabokis	311791572779718	Facebook	rm2	Last 2 months	EL	Greece	104	1	6762247	2521705	31477	5297
Ανεξάρτητοι 'Ελληνες	Start Business Hellas	343233902394715	Facebook	rm2	Last 2 months	EL	Greece	38	1	6629672	2940659	13452	2698
Kyriakos Mitsotakis		34848567724	Facebook	rm2	Last 2 months	EL	Greece	28	1	6446168	2748404	13265	2898
Kostas Dervos	Kostas Dervos	1970779819866623	Facebook	rm2	Last 2 months	EL	Greece	152	1	4894958	1491155	15840	199
Δημήτρης Καιρίδης-Dimitris Kairidis	Dimitrios Kairidis	165710610795923	Facebook	rm2	Last 2 months	EL	Greece	306	1	4465690	1350688	31447	299
INBOX	New Digital Media	369693523475596	Facebook	rm2	Last 2 months	EL	Greece	29	1	3467682	1485009	4067	299
Nikos Papandreou	Nikos Papandreou	2245032148843299	Facebook	rm2	Last 2 months	EL	Greece	111	1	3439708	1039337	14175	799
Γιώργος Χατζημάρκος	Γιώργος Χατζημάρκος	2128150737398149	Facebook	rm2	Last 2 months	EL	Greece	82	1	3273886	914993	9317	300
Kialo		729627343834501	Facebook	rm2	Last 2 months	EL	Greece	254	1	3258155	1267328	13281	3011
Ioannis Vardakastanis	Ioannis Vardakastanis	195643347979465	Facebook	rm2	Last 2 months	EL	Greece	98	1	2804387	1066782	12833	799
Κατερινα Μαρκου		832766380123763	Facebook	rm2	Last 2 months	EL	Greece	14	1	2333342	995580	2780	364
Παύλος Ελευθεριάδης		768996799785550	Facebook	rm2	Last 2 months	EL	Greece	25	1	2139652	889548	3775	599
Νότης Μαριάς, Ανεξάρτητος Ευρωβουλευτής		337788662974718	Facebook	rm2	Last 2 months	EL	Greece	20	1	2102099	886550	2988	282
Greenpeace Greece	Greenpeace Greece	31324524225	Facebook	rm2	Last 2 months	EL	Greece	29	1	2030399	798768	6869	999
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	rm2	Last 2 months	EL	Greece	42	1	1940566	900940	3722	1023
Ιωάννης Πάιδας-Υποψήφιος Ευρωβουλευτής Νέας Δημοκρατίας		312321199470594	Facebook	rm2	Last 2 months	EL	Greece	43	1	1901080	616337	4251	0
Κίνημα Αλλαγής	Κίνημα Αλλαγής	504891253213373	Facebook	rm2	Last 2 months	EL	Greece	5	1	1798892	819500	2993	899
Vouliwatch		627330267312880	Facebook	rm2	Last 2 months	EL	Greece	8	1	1674005	670609	3889	1599
Σπύρος Ριζόπουλος	Spyridon Rizopoulos	2127727860849871	Facebook	rm2	Last 2 months	EL	Greece	54	1	1637639	409908	5345	0
George Kyrtsos - Γιώργος Κύρτσος	DigitalWise Agency 	1413834448867079	Facebook	rm2	Last 2 months	EL	Greece	42	1	1595400	531500	5353	299
Νίκος Ανδρουλάκης	Νίκος Ανδρουλάκης	216089191899991	Facebook	rm2	Last 2 months	EL	Greece	23	1	1520030	606643	4674	599
