advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	audience_code_filter	audience_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	u18_24	unknown (18-24)	LU	Luxembourg	62	1	1667	604	9	1
LSAP	Lëtzebuerger Sozialistesch Aarbechterpartei	47216059667	Facebook	u18_24	unknown (18-24)	LU	Luxembourg	61	1	1404	474	6	0
Greenpeace Luxembourg		67370457805	Facebook	u18_24	unknown (18-24)	LU	Luxembourg	80	1	866	213	5	0
déi gréng	déi gréng	21710789873	Facebook	u18_24	unknown (18-24)	LU	Luxembourg	10	1	721	322	2	0
DP - Demokratesch Partei	DP - Demokratesch Partei	280875378609326	Facebook	u18_24	unknown (18-24)	LU	Luxembourg	16	1	413	109	1	0
déi Lénk	déi Lénk	120444648033670	Facebook	u18_24	unknown (18-24)	LU	Luxembourg	11	1	363	128	1	0
Charles Goerens		441313569220539	Facebook	u18_24	unknown (18-24)	LU	Luxembourg	19	1	275	66	1	0
Piraten Lëtzebuerg		183148710560	Facebook	u18_24	unknown (18-24)	LU	Luxembourg	20	1	253	70	1	0
Unis pour les Droits Humains		1642871805813802	Facebook	u18_24	unknown (18-24)	LU	Luxembourg	16	1	196	91	0	0
Kialo		729627343834501	Facebook	u18_24	unknown (18-24)	LU	Luxembourg	291	1	190	75	1	0
Dan Kersch		231839814316073	Facebook	u18_24	unknown (18-24)	LU	Luxembourg	26	1	176	50	0	0
déi jonk gréng	Déi jonk gréng	197451906960613	Facebook	u18_24	unknown (18-24)	LU	Luxembourg	9	1	161	41	1	0
Jonk Piraten		194441573983035	Facebook	u18_24	unknown (18-24)	LU	Luxembourg	2	1	100	20	0	0
European Investment Bank		350888674962511	Facebook	u18_24	unknown (18-24)	LU	Luxembourg	1	1	91	45	0	0
CSV	CSV	56016549775	Facebook	u18_24	unknown (18-24)	LU	Luxembourg	17	1	86	35	1	0
BreakingPlanet		1993767777349037	Facebook	u18_24	unknown (18-24)	LU	Luxembourg	1	1	86	17	0	0
European Greens	European Greens	141366725876424	Facebook	u18_24	unknown (18-24)	LU	Luxembourg	8	1	83	27	0	0
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	u18_24	unknown (18-24)	LU	Luxembourg	22	1	78	32	0	0
Européens Sans Frontières		668031516635463	Facebook	u18_24	unknown (18-24)	LU	Luxembourg	8	1	73	29	0	0
Action Solidarité Tiers Monde - ASTM		161567570579610	Facebook	u18_24	unknown (18-24)	LU	Luxembourg	1	1	48	9	0	0
Julia Elisabetta Pitterman		2235333396715580	Facebook	u18_24	unknown (18-24)	LU	Luxembourg	4	1	38	6	0	0
L'Or du Commun		212885115510806	Facebook	u18_24	unknown (18-24)	LU	Luxembourg	1	1	32	6	0	0
Marc ANGEL		1404458223105541	Facebook	u18_24	unknown (18-24)	LU	Luxembourg	1	1	31	6	0	0
ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	u18_24	unknown (18-24)	LU	Luxembourg	50	1	30	13	0	0
Party of European Socialists	Party of European Socialists	148097975226385	Facebook	u18_24	unknown (18-24)	LU	Luxembourg	26	1	28	11	0	0
