advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Ovidiu-Iosif Gal, candidat independent pentru Parlamentul European		354404288474557	Facebook	d077	2019-03-18	RO	Romania	7	1	91909	38644	137	18
Ioan Emanuel CLEJ		478551685592616	Facebook	d077	2019-03-18	RO	Romania	1	1	49999	10000	104	21
Gregoriana Tudoran		1985293741779690	Facebook	d077	2019-03-18	RO	Romania	6	1	41232	8246	71	13
Partidul Mișcarea Populară - Organizația Municipală Cluj-Napoca		2081882595470333	Facebook	d077	2019-03-18	RO	Romania	4	1	36857	18333	143	38
e.on		511324618972373	Facebook	d077	2019-03-18	RO	Romania	1	1	34662	17331	17	3
Luminița Velciu - Recurs la morală		401942053715841	Facebook	d077	2019-03-18	RO	Romania	2	1	33332	6666	69	14
MH TIMES	MINCULEASA CLAUDIU-NICOLAE	559977200816313	Facebook	d077	2019-03-18	RO	Romania	1	1	24999	4999	52	10
PNL Cluj		252950101538687	Facebook	d077	2019-03-18	RO	Romania	1	1	24999	4999	52	10
ALDE BACĂU		535445976897124	Facebook	d077	2019-03-18	RO	Romania	3	1	13124	2625	28	5
Erdélyi Magyar Néppárt		177708185581280	Facebook	d077	2019-03-18	RO	Romania	1	1	12499	2500	26	5
Mircea Geoana		260365460647855	Facebook	d077	2019-03-18	RO	Romania	1	1	12499	2499	5	0
Prodemo Gorj		856019191406305	Facebook	d077	2019-03-18	RO	Romania	1	1	12499	2500	26	5
Alternativa de Bun-Simț		402788693862356	Facebook	d077	2019-03-18	RO	Romania	2	1	11999	3000	8	0
eToro		193863317737	Facebook	d077	2019-03-18	RO	Romania	4	1	8564	3441	14	2
PNL Timişoara		872727552790073	Facebook	d077	2019-03-18	RO	Romania	1	1	8333	1666	17	3
Dan Cristian Popescu		290423314363157	Facebook	d077	2019-03-18	RO	Romania	1	1	8333	1666	17	3
Maria Mădălina Turza Independent		2263337330658870	Facebook	d077	2019-03-18	RO	Romania	4	1	7742	1428	27	3
European Parliament		178362315106	Facebook	d077	2019-03-18	RO	Romania	9	1	7702	1380	152	0
Fratii Haiduc Music Events		686571504711148	Facebook	d077	2019-03-18	RO	Romania	1	1	6249	1250	2	0
Radio Europa Liberă România		2111208649120991	Facebook	d077	2019-03-18	RO	Romania	1	1	6249	1249	11	0
Eugen Țapu-Nazare		276092909160685	Facebook	d077	2019-03-18	RO	Romania	1	1	6249	1249	2	0
George Simion		2212856535602171	Facebook	d077	2019-03-18	RO	Romania	1	1	5555	1111	11	2
Nicu Ștefănuță		279454772645662	Facebook	d077	2019-03-18	RO	Romania	1	1	4999	2499	49	0
Daniel Buda	Buda Daniel	220579784732993	Facebook	d077	2019-03-18	RO	Romania	1	1	4999	2500	10	0
PNL Mehedinti		799686396757468	Facebook	d077	2019-03-18	RO	Romania	1	1	4999	2500	10	0
