advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Vattenfall Sverige		608975645850217	Facebook	d083	2019-03-24	SE	Sweden	24	1	320369	146666	3910	1121
Sverige för UNHCR		643137272398136	Facebook	d083	2019-03-24	SE	Sweden	17	1	66607	23595	454	124
EU-kommissionen i Sverige		155824787799	Facebook	d083	2019-03-24	SE	Sweden	7	1	48960	23768	207	50
Skandia		139767876088719	Facebook	d083	2019-03-24	SE	Sweden	1	1	45437	22718	210	42
LO Sverige		163820136238	Facebook	d083	2019-03-24	SE	Sweden	3	1	45231	19269	582	116
Plan International Sverige		382243262003	Facebook	d083	2019-03-24	SE	Sweden	116	1	37624	9157	257	61
European Commission		107898832590939	Facebook	d083	2019-03-24	SE	Sweden	2	1	31247	12499	312	62
Diakonia		42676805259	Facebook	d083	2019-03-24	SE	Sweden	25	1	29835	10323	75	19
WaterAid Sverige		175843834306	Facebook	d083	2019-03-24	SE	Sweden	2	1	29700	11495	69	29
Röda Korset		111630258867610	Facebook	d083	2019-03-24	SE	Sweden	14	1	28432	6602	161	46
Unionen		175656912484553	Facebook	d083	2019-03-24	SE	Sweden	12	1	27560	10191	224	69
Sverigedemokraterna Eskilstuna		161935043870264	Facebook	d083	2019-03-24	SE	Sweden	1	1	24999	5000	444	222
UNICEF Sverige		59324455950	Facebook	d083	2019-03-24	SE	Sweden	14	1	19830	8302	273	76
Reformisterna		2337692372925538	Facebook	d083	2019-03-24	SE	Sweden	1	1	16666	3333	15	3
Kvinnojouren Kerstin Lidingö		616819785018172	Facebook	d083	2019-03-24	SE	Sweden	2	1	16030	3206	32	16
Greenpeace Sverige	Greenpeace Sverige	95735961890	Facebook	d083	2019-03-24	SE	Sweden	33	1	13488	2874	111	24
Tullverket		1133304143374162	Facebook	d083	2019-03-24	SE	Sweden	3	1	11214	2242	101	20
Tretti		250791121791	Facebook	d083	2019-03-24	SE	Sweden	2	1	10714	5357	47	9
SSAB AB		145401631365	Facebook	d083	2019-03-24	SE	Sweden	24	1	10692	3273	61	5
Jörgen Warborn EU-kandidat		56002955332	Facebook	d083	2019-03-24	SE	Sweden	3	1	9700	2440	89	22
Johan Danielsson	LO Sverige	636103536446815	Facebook	d083	2019-03-24	SE	Sweden	1	1	9090	4545	84	42
Said till Europaparlamentet		1509050235995572	Facebook	d083	2019-03-24	SE	Sweden	1	1	8332	1666	77	15
European Parliament		178362315106	Facebook	d083	2019-03-24	SE	Sweden	11	1	7987	1797	121	7
Sverigedemokraterna Skåne		222878274426091	Facebook	d083	2019-03-24	SE	Sweden	1	1	7142	1428	66	13
Jytte Guteland		1499977583563517	Facebook	d083	2019-03-24	SE	Sweden	1	1	6249	1249	57	11
