advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
SDP Hrvatske	SDP Hrvatske	129634970518	Facebook	d129	2019-05-09	HR	Croatia	54	1	527962	207703	1042	59
pametno.org	pametno.org	144815235686385	Facebook	d129	2019-05-09	HR	Croatia	20	1	139542	44505	283	8
Hrvatska narodna stranka - liberalni demokrati (HNS)	Hrvatska narodna stranka - liberalni demokrati (HNS)	139606619434725	Facebook	d129	2019-05-09	HR	Croatia	12	1	136165	36221	302	11
Saša Poljanec-Borić	Hrvatska socijalno liberalna stranka	1914254365351413	Facebook	d129	2019-05-09	HR	Croatia	13	1	115536	29162	315	30
Možemo - politička platforma	Možemo - politička platforma	1064762700374086	Facebook	d129	2019-05-09	HR	Croatia	7	1	113450	26976	246	14
Karlo Ressler	HDZ - Hrvatska demokratska zajednica	272201060331942	Facebook	d129	2019-05-09	HR	Croatia	26	1	112577	28516	607	14
MOST nezavisnih lista	MOST nezavisnih lista	388550077899912	Facebook	d129	2019-05-09	HR	Croatia	22	1	87085	32664	296	22
Valter Flego	Valter Flego	441675022557503	Facebook	d129	2019-05-09	HR	Croatia	5	1	61796	17351	243	74
Council of the European Union		147547541961576	Facebook	d129	2019-05-09	HR	Croatia	1	1	49998	9999	98	0
Jozo Radoš	Jozo Radoš	446717938731095	Facebook	d129	2019-05-09	HR	Croatia	5	1	32123	7999	105	0
European Greens	European Greens	141366725876424	Facebook	d129	2019-05-09	HR	Croatia	3	1	31435	15717	147	29
Nikolina Brnjac	HDZ - Hrvatska demokratska zajednica	287054392229717	Facebook	d129	2019-05-09	HR	Croatia	9	1	29657	10704	206	0
Dr. sc. Tomislav Sokol	HDZ - Hrvatska demokratska zajednica	136900153422435	Facebook	d129	2019-05-09	HR	Croatia	2	1	29166	5833	57	0
Marijana Balić	HDZ - Hrvatska demokratska zajednica	1274752085892321	Facebook	d129	2019-05-09	HR	Croatia	4	1	19285	4285	55	0
Stjepan Adanić	HDZ - Hrvatska demokratska zajednica	408695383042330	Facebook	d129	2019-05-09	HR	Croatia	2	1	18749	3749	35	0
