advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	recent_code_filter	recent_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Jaunā Vienotība	Partiju apvienība “Jaunā Vienotība”	164326166970895	Facebook	rd2	Last 2 days	LV	Latvia	22	1	363947	84509	1255	0
Valdis Dombrovskis	Valdis Dombrovskis	984665731564266	Facebook	rd2	Last 2 days	LV	Latvia	41	1	190140	44431	2240	0
European Greens	European Greens	141366725876424	Facebook	rd2	Last 2 days	LV	Latvia	4	1	120597	58390	294	69
Mamikins.lv	Andrejs Mamikins	587293021433280	Facebook	rd2	Last 2 days	LV	Latvia	2	1	106665	53333	532	106
Ansis Pūpols	Ansis Pūpols	534110743707105	Facebook	rd2	Last 2 days	LV	Latvia	5	1	78854	27142	418	28
Jaunā konservatīvā partija	Jaunā konservatīvā partija	595950207185585	Facebook	rd2	Last 2 days	LV	Latvia	2	1	73332	26666	265	40
Ijabs Ivars		345347539390006	Facebook	rd2	Last 2 days	LV	Latvia	3	1	68324	26663	314	33
Eiropas Parlaments Latvijā	Eiropas Parlaments Latvijā	380325297593	Facebook	rd2	Last 2 days	LV	Latvia	1	1	66665	33333	332	66
Inese Ikstena Eiropas Parlamenta deputāta kandidāte		2214339072152669	Facebook	rd2	Last 2 days	LV	Latvia	5	1	65093	13019	189	0
Attīstībai / Par	partiju apvienība "Attīstībai/Par!"	634097313600056	Facebook	rd2	Last 2 days	LV	Latvia	4	1	50898	9999	188	0
Aleksejs Loskutovs		541229793055345	Facebook	rd2	Last 2 days	LV	Latvia	10	1	40303	11050	368	2
Krišjānis Feldmans	Jaunā konservatīvā partija	731540813660862	Facebook	rd2	Last 2 days	LV	Latvia	2	1	34090	6818	67	0
Inese Vaidere	Vaidere Inese	779811265442970	Facebook	rd2	Last 2 days	LV	Latvia	1	1	33332	6666	66	0
Kaspars Ģirģens “KPV LV”	Ģirģens Kaspars	773797506103713	Facebook	rd2	Last 2 days	LV	Latvia	5	1	27164	7833	197	0
Jānis Grasbergs	Jānis Grasbergs	329580341010027	Facebook	rd2	Last 2 days	LV	Latvia	2	1	24721	12361	46	0
Dmitrijs Golubevs	Dmitrijs Golubevs	603479506715383	Facebook	rd2	Last 2 days	LV	Latvia	4	1	23832	9052	111	14
Finanšu ministrija	Latvijas Republikas Finanšu ministrija	524714174238878	Facebook	rd2	Last 2 days	LV	Latvia	1	1	9998	4999	98	0
Eiropas Komisijas pārstāvniecība Latvijā	Eiropas Komisijas pārstāvniecība Latvijā	185497885323119	Facebook	rd2	Last 2 days	LV	Latvia	1	1	7692	1538	15	0
Rihards Kols	Rihards Kols	960297957323800	Facebook	rd2	Last 2 days	LV	Latvia	1	1	6666	3333	66	0
Agnese Villere Eiropas Parlamenta kandidāte	Jaunā konservatīvā partija	1086674038184163	Facebook	rd2	Last 2 days	LV	Latvia	1	1	5555	1111	11	0
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	rd2	Last 2 days	LV	Latvia	2	1	3465	1526	5	1
Party of European Socialists	Party of European Socialists	148097975226385	Facebook	rd2	Last 2 days	LV	Latvia	1	1	3415	1366	3	0
VoteWatch Europe		355087424564148	Facebook	rd2	Last 2 days	LV	Latvia	4	1	1724	718	2	0
European Parliament		178362315106	Facebook	rd2	Last 2 days	LV	Latvia	2	1	1592	717	3	0
Roberts Zīle		508959865842254	Facebook	rd2	Last 2 days	LV	Latvia	1	1	999	0	99	0
