advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	recent_code_filter	recent_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Prawo i Sprawiedliwość	Komitet Wyborczy Prawo i Sprawiedliwość	157458232131	Facebook	rd5	Last 5 days	PL	Poland	4	1	2201272	1099140	2576	580
Platforma Obywatelska	KKW Koalicja Europejska PO PSL SLD .N Zieloni	102931488739	Facebook	rd5	Last 5 days	PL	Poland	423	1	1914548	724978	6663	1285
Konfederacja KORWiN Braun Liroy Narodowcy	KWW Konfederacja KORWiN Braun Liroy Narodowcy	1971966879776579	Facebook	rd5	Last 5 days	PL	Poland	55	1	1826834	711158	9723	1928
Wiosna Biedronia	KW Wiosna Roberta Biedronia	2246647628925721	Facebook	rd5	Last 5 days	PL	Poland	6	1	1368789	669397	1672	395
Krzysztof Hetman	Krzysztof Hetman	1607487699534202	Facebook	rd5	Last 5 days	PL	Poland	28	1	1291642	425333	1828	410
Razem	KKW Lewica Razem - Razem, Unia Pracy, RSS	430323810469014	Facebook	rd5	Last 5 days	PL	Poland	25	1	1216009	341084	3334	715
Sven Zagała	KW Wiosna Roberta Biedronia	2215190752031133	Facebook	rd5	Last 5 days	PL	Poland	40	1	1013270	249070	3628	800
European Greens	European Greens	141366725876424	Facebook	rd5	Last 5 days	PL	Poland	7	1	836191	367995	2146	745
Paweł Kobyliński - Poseł na Sejm RP, Kandydat do Parlamentu Europejskiego	Paweł Kobyliński, kandydat Koalicji Europejskiej do Europarlamentu	1576591379231457	Facebook	rd5	Last 5 days	PL	Poland	16	1	797761	265934	1763	337
Anna Fotyga - Biuro Poselskie	KW Prawo i Sprawiedliwość	1467418970166506	Facebook	rd5	Last 5 days	PL	Poland	21	1	691392	244087	2633	542
Radosław Sikorski	KKW Koalicja Europejska PO PSL SLD .N Zieloni	134214926657042	Facebook	rd5	Last 5 days	PL	Poland	21	1	629459	196608	971	210
Na zdrowie		1120686571468330	Facebook	rd5	Last 5 days	PL	Poland	2	1	599100	249627	347	139
Joanna Skrzydlewska	Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N Zieloni	274904002573727	Facebook	rd5	Last 5 days	PL	Poland	5	1	520234	209404	994	190
Gazeta Wyborcza		63563473556	Facebook	rd5	Last 5 days	PL	Poland	30	1	519222	120823	1340	162
Dariusz Rosati	CommSense	238903929634988	Facebook	rd5	Last 5 days	PL	Poland	21	1	483900	114780	1103	158
Paweł Bejda	Bejda Paweł 	587380481330698	Facebook	rd5	Last 5 days	PL	Poland	31	1	388298	89269	897	83
Krzysztof Jurgiel	Overs sp. z o.o.	465990636788016	Facebook	rd5	Last 5 days	PL	Poland	13	1	366346	153693	571	154
Karol Karski	Komitet Wyborczy Prawa i Sprawiedliwości 	612725748801524	Facebook	rd5	Last 5 days	PL	Poland	9	1	349363	138504	323	113
Marek Balt	KKW Koalicja Europejska PO PSL SLD  .N Zieloni	398824790221548	Facebook	rd5	Last 5 days	PL	Poland	14	1	341684	121453	710	138
Jarosław Wałęsa	KKW Koalicja Europejska PO PSL SLD N Zieloni	433052760111334	Facebook	rd5	Last 5 days	PL	Poland	20	1	320292	69861	762	113
Jerzy Buzek	Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N Zieloni	69153026654	Facebook	rd5	Last 5 days	PL	Poland	11	1	313323	122833	493	65
Poseł Jakub Rutnicki	Poseł Jakub Rutnicki	222141244609992	Facebook	rd5	Last 5 days	PL	Poland	10	1	312572	97331	741	205
Beata Mazurek		564941230235866	Facebook	rd5	Last 5 days	PL	Poland	3	1	299997	119999	580	255
Krzysztof Brejza	KKW Koalicja Europejska PO PSL SLD .N Zieloni	120766181437537	Facebook	rd5	Last 5 days	PL	Poland	8	1	289245	98759	470	92
Janusz Lewandowski	KKW Koalicja Europejska PO PSL SLD N Zieloni	75571183641	Facebook	rd5	Last 5 days	PL	Poland	14	1	261713	58744	618	93
Marcin Walasek	Marcin Walasek	411040156345710	Facebook	rd5	Last 5 days	PL	Poland	15	1	260985	58000	438	23
Partia Wolność	KWW Konfederacja KORWiN Braun Liroy Narodowcy	757876837622345	Facebook	rd5	Last 5 days	PL	Poland	3	1	259673	114859	371	139
Jan Olbrycht	Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N Zieloni	153098244704447	Facebook	rd5	Last 5 days	PL	Poland	23	1	251277	65071	644	60
Jarosław Duda	KKW Koalicja Europejska PO PSL SLD .N ZIELONI	100666510056063	Facebook	rd5	Last 5 days	PL	Poland	11	1	250979	61997	439	46
Bartosz Arłukowicz	KKW Koalicja Europejska PO PSL SLD .N Zieloni	152299864806918	Facebook	rd5	Last 5 days	PL	Poland	42	1	243649	61516	802	5
Joanna Mucha	Joanna Mucha	308920973786	Facebook	rd5	Last 5 days	PL	Poland	7	1	179979	41997	347	46
Małgorzata Sekuła-Szmajdzińska - kandydatka do Parlamentu Europejskiego	Katarzyna Kijakowska	420227048536701	Facebook	rd5	Last 5 days	PL	Poland	10	1	179886	59974	881	162
Polska Fundacja im. Roberta Schumana		150617698324166	Facebook	rd5	Last 5 days	PL	Poland	11	1	178048	47777	645	122
Krzysztof Sitarski Poseł na Sejm RP	Krzysztof Serafin Sitarski	897838423640166	Facebook	rd5	Last 5 days	PL	Poland	12	1	177123	34651	432	50
Michał Boni	KKW Koalicja Europejska PO PSL SLD .N Zieloni	693499534003775	Facebook	rd5	Last 5 days	PL	Poland	15	1	175985	44000	624	69
Witold Stępień	Witold Stępień	885512231530945	Facebook	rd5	Last 5 days	PL	Poland	1	1	166665	83333	193	96
Kamila Gasiuk-Pihowicz	Kamila Gasiuk-Pihowicz	150412465290475	Facebook	rd5	Last 5 days	PL	Poland	12	1	160017	52805	588	103
Adam Jarubas	Materiał sfinansowany przez KKW Koalicja Europejska PO PSL SLD .N Zieloni	140229586049381	Facebook	rd5	Last 5 days	PL	Poland	1	1	159999	79999	185	93
Paweł Szramka	KWW Kukiz'15	1469910760001090	Facebook	rd5	Last 5 days	PL	Poland	4	1	155996	60999	1325	255
Amnesty International Polska		57544755889	Facebook	rd5	Last 5 days	PL	Poland	8	1	134661	35428	319	82
Parlament Europejski - Biuro w Polsce		405326618416	Facebook	rd5	Last 5 days	PL	Poland	4	1	122067	49364	194	35
Elżbieta Kruk		908646482522927	Facebook	rd5	Last 5 days	PL	Poland	1	1	119999	60000	697	139
Sebastian Kaleta	KW Prawo i Sprawiedliwość	1643686859194259	Facebook	rd5	Last 5 days	PL	Poland	5	1	119995	27000	510	162
Paweł Pudłowski	Selectivv	404295586445224	Facebook	rd5	Last 5 days	PL	Poland	6	1	116994	25999	417	69
03 PRUŚ Sylwester Zbigniew	Medium: agencja reklamowa	664122587050787	Facebook	rd5	Last 5 days	PL	Poland	4	1	114995	26000	371	69
Stanisław Żmijan	MarkNeting Sp. z o.o.	436755540466865	Facebook	rd5	Last 5 days	PL	Poland	12	1	111971	30992	276	0
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	rd5	Last 5 days	PL	Poland	5	1	111539	55509	535	99
Mirosława Nykiel Posłanka na Sejm RP	Adam Jan Kądziela	150873051654314	Facebook	rd5	Last 5 days	PL	Poland	4	1	110996	25000	371	69
Jacek Protas	KKW Koalicja Europejska PO PSL SLD .N Zieloni 	130955346972893	Facebook	rd5	Last 5 days	PL	Poland	8	1	110325	24666	331	38
Hubert Czerniak - Włączamy myślenie	Komitet Wyborczy Wyborców Konfederacja Korwin Braun Liroy Narodowcy	798940726870349	Facebook	rd5	Last 5 days	PL	Poland	2	1	109998	55000	139	23
Andrzej Buła		158877910847285	Facebook	rd5	Last 5 days	PL	Poland	3	1	109988	24997	162	23
Partia Zieloni	KKW Koalicja Europejska PO PSL SLD .N Zieloni	48391402694	Facebook	rd5	Last 5 days	PL	Poland	3	1	104842	20969	254	46
Sylwia Spurek	KW Wiosna Roberta Biedronia 	1967695263556184	Facebook	rd5	Last 5 days	PL	Poland	2	1	99998	20000	232	46
Dominika Chorosińska	Komitet Wyborczy Prawo i Sprawiedliwość	580557092422382	Facebook	rd5	Last 5 days	PL	Poland	2	1	99997	19999	232	46
