advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	audience_code_filter	audience_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Kialo		729627343834501	Facebook	m25_34	male (25-34)	PT	Portugal	369	1	1613409	676218	7616	1859
Partido Socialista Europeu	Partido Socialista Europeu	126509981274614	Facebook	m25_34	male (25-34)	PT	Portugal	54	1	917677	406360	1094	169
European Parliament		178362315106	Facebook	m25_34	male (25-34)	PT	Portugal	33	1	591952	266815	2267	517
European Commission		107898832590939	Facebook	m25_34	male (25-34)	PT	Portugal	6	1	336562	165121	426	172
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	m25_34	male (25-34)	PT	Portugal	45	1	229256	103440	426	103
National Geographic		107307059419	Facebook	m25_34	male (25-34)	PT	Portugal	4	1	169632	83824	76	14
Parlamento Europeu - Gabinete em Portugal	Parlamento Europeu - Gabinete em Portugal	170555122972051	Facebook	m25_34	male (25-34)	PT	Portugal	1	1	109236	54618	109	54
Greens/EFA in the European Parliament		150527751674751	Facebook	m25_34	male (25-34)	PT	Portugal	36	1	102710	40638	125	14
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	m25_34	male (25-34)	PT	Portugal	23	1	99699	41741	330	68
Uiu		907141939410106	Facebook	m25_34	male (25-34)	PT	Portugal	4	1	83681	31804	91	15
ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	m25_34	male (25-34)	PT	Portugal	50	1	81268	35660	339	68
The Bamboo Brush Society		1152885191422950	Facebook	m25_34	male (25-34)	PT	Portugal	34	1	70404	27357	157	16
VoteWatch Europe		355087424564148	Facebook	m25_34	male (25-34)	PT	Portugal	5	1	64871	26970	145	59
Carlos Coelho		306796832807017	Facebook	m25_34	male (25-34)	PT	Portugal	6	1	62880	31440	301	60
Página Miguel Viegas		194651341130667	Facebook	m25_34	male (25-34)	PT	Portugal	13	1	62399	25332	213	34
Fundação Calouste Gulbenkian		49386033906	Facebook	m25_34	male (25-34)	PT	Portugal	1	1	52293	26146	26	5
Democracia para todos		141310866605696	Facebook	m25_34	male (25-34)	PT	Portugal	14	1	51595	15940	200	9
Stone Brewing Spain		1619410238105995	Facebook	m25_34	male (25-34)	PT	Portugal	1	1	43047	17219	8	0
Rios Livres		247517791943794	Facebook	m25_34	male (25-34)	PT	Portugal	8	1	41700	15801	121	12
José Manuel Fernandes		255056481315205	Facebook	m25_34	male (25-34)	PT	Portugal	3	1	33543	16771	92	16
		0	Facebook	m25_34	male (25-34)	PT	Portugal	5	1	33502	6700	67	0
Esquerda Net	Esquerda Net	116426248469551	Facebook	m25_34	male (25-34)	PT	Portugal	4	1	33266	15738	181	81
Guardian Weekly		64525551258	Facebook	m25_34	male (25-34)	PT	Portugal	8	1	30386	11946	53	15
European Youth Event		919232861444360	Facebook	m25_34	male (25-34)	PT	Portugal	5	1	29854	12092	43	11
MEO		69209479569	Facebook	m25_34	male (25-34)	PT	Portugal	4	1	29308	11550	45	14
