advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	audience_code_filter	audience_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	f65_	female (65+)	RO	Romania	84	1	2206827	979916	4846	1435
Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	f65_	female (65+)	RO	Romania	115	1	1450423	597874	2831	758
România în primul rând	Future Innovation	770704223323599	Facebook	f65_	female (65+)	RO	Romania	77	1	1175623	505989	1775	404
RMDSZ	RMDSZ	102601499822802	Facebook	f65_	female (65+)	RO	Romania	200	1	578745	173990	954	168
Uniunea Salvați România - USR	Uniunea Salvați România - USR	1058116737612843	Facebook	f65_	female (65+)	RO	Romania	38	1	537603	262854	2442	579
Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	f65_	female (65+)	RO	Romania	63	1	537125	252861	2348	491
ALDE - Partidul Alianta Liberalilor si Democratilor	EvolveDreamSoft	1445317929104549	Facebook	f65_	female (65+)	RO	Romania	25	1	490456	232198	721	189
Fără Penali în Funcții Publice	Uniunea Salvați România - USR	275621429636078	Facebook	f65_	female (65+)	RO	Romania	21	1	305590	149380	1194	321
George Simion		2212856535602171	Facebook	f65_	female (65+)	RO	Romania	26	1	277673	113246	584	151
Winkler Gyula		1560147330888040	Facebook	f65_	female (65+)	RO	Romania	15	1	260031	116759	330	90
Romania #nuepsd	Future Innovation	293215748279337	Facebook	f65_	female (65+)	RO	Romania	34	1	222270	101485	148	64
European Parliament		178362315106	Facebook	f65_	female (65+)	RO	Romania	52	1	196178	94535	1090	191
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	f65_	female (65+)	RO	Romania	35	1	183315	84924	423	123
Litere.net	litere.net	1504323906337545	Facebook	f65_	female (65+)	RO	Romania	10	1	130819	59368	110	22
PSD Galati	Partidul Social Democrat Galati	1585170161775563	Facebook	f65_	female (65+)	RO	Romania	22	1	127393	55472	572	134
Kelemen Hunor	RMDSZ	175293925828191	Facebook	f65_	female (65+)	RO	Romania	34	1	117427	27704	191	31
Departamentul pentru Agricultură și Dezvoltare Rurală al PSD	Partidul Social Democrat	339365506708219	Facebook	f65_	female (65+)	RO	Romania	13	1	100592	39630	157	31
Politice.net	politice.net	2546711162025064	Facebook	f65_	female (65+)	RO	Romania	12	1	91382	40728	97	18
Calin Popescu Tariceanu		227922987222524	Facebook	f65_	female (65+)	RO	Romania	11	1	85770	34366	144	50
Gregoriana Tudoran		1985293741779690	Facebook	f65_	female (65+)	RO	Romania	24	1	83305	21214	124	22
Video News		329122497569429	Facebook	f65_	female (65+)	RO	Romania	5	1	83303	33438	105	26
ALDE Sector 6		428872677299268	Facebook	f65_	female (65+)	RO	Romania	28	1	80944	21913	223	27
Daniel Buda	Buda Daniel	220579784732993	Facebook	f65_	female (65+)	RO	Romania	41	1	78724	21381	87	0
Consiliul Național PSD	Partidul Social Democrat	428923027871330	Facebook	f65_	female (65+)	RO	Romania	5	1	73190	31672	311	126
Declic	Declic	686190454826244	Facebook	f65_	female (65+)	RO	Romania	9	1	72350	32666	88	22
