advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	audience_code_filter	audience_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Rädda Barnen		72659261793	Facebook	f45_54	female (45-54)	SE	Sweden	342	1	2337738	792277	22327	5534
Plan International Sverige		382243262003	Facebook	f45_54	female (45-54)	SE	Sweden	341	1	2215513	710226	19844	4850
Greenpeace Sverige	Greenpeace Sverige	95735961890	Facebook	f45_54	female (45-54)	SE	Sweden	316	1	536431	148280	3525	815
Håll Sverige Rent	Håll Sverige Rent	236879092476	Facebook	f45_54	female (45-54)	SE	Sweden	11	1	460191	191367	4303	911
Röda Korset		111630258867610	Facebook	f45_54	female (45-54)	SE	Sweden	69	1	420360	113642	2154	638
Socialdemokraterna	Socialdemokraterna	8040892957	Facebook	f45_54	female (45-54)	SE	Sweden	37	1	345913	97693	3607	1107
Centerpartiet	Centerpartiet	12690894340	Facebook	f45_54	female (45-54)	SE	Sweden	108	1	307121	113440	4475	1020
Tretti		250791121791	Facebook	f45_54	female (45-54)	SE	Sweden	5	1	265670	107258	546	123
Sverige för UNHCR		643137272398136	Facebook	f45_54	female (45-54)	SE	Sweden	83	1	264738	69934	1310	346
Sverigedemokraterna	Sverigedemokraterna	676246449160270	Facebook	f45_54	female (45-54)	SE	Sweden	32	1	262372	108588	2765	809
Vattenfall Sverige		608975645850217	Facebook	f45_54	female (45-54)	SE	Sweden	28	1	261310	118972	3126	903
Saco	Saco	133910158381	Facebook	f45_54	female (45-54)	SE	Sweden	34	1	252135	51466	1428	348
Fotografiska Stockholm		142320852554	Facebook	f45_54	female (45-54)	SE	Sweden	10	1	213259	93570	153	35
Dr Sannas		432084333637525	Facebook	f45_54	female (45-54)	SE	Sweden	29	1	208334	47845	1852	391
SOS Barnbyar		133536819999319	Facebook	f45_54	female (45-54)	SE	Sweden	1	1	198369	79347	1837	367
European Commission		107898832590939	Facebook	f45_54	female (45-54)	SE	Sweden	4	1	196010	93082	992	241
En bättre framtid		1173808162671999	Facebook	f45_54	female (45-54)	SE	Sweden	43	1	192898	74764	1846	573
EU-kommissionen i Sverige		155824787799	Facebook	f45_54	female (45-54)	SE	Sweden	17	1	187746	90704	825	202
Skandia		139767876088719	Facebook	f45_54	female (45-54)	SE	Sweden	3	1	163303	75836	594	177
Facebook Nordic	Facebook	334318366655425	Facebook	f45_54	female (45-54)	SE	Sweden	5	1	156905	72718	957	192
LO Sverige		163820136238	Facebook	f45_54	female (45-54)	SE	Sweden	7	1	148331	66072	1319	349
Unionen		175656912484553	Facebook	f45_54	female (45-54)	SE	Sweden	22	1	137992	60344	1493	392
Liberalerna	Liberalerna	132266740623	Facebook	f45_54	female (45-54)	SE	Sweden	90	1	136639	46989	800	214
UNICEF Sverige		59324455950	Facebook	f45_54	female (45-54)	SE	Sweden	11	1	124663	49004	1489	369
Johan Danielsson	LO Sverige	636103536446815	Facebook	f45_54	female (45-54)	SE	Sweden	10	1	122691	48127	1125	367
