advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	spend_code_filter	spend_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
SPÖ	SPÖ	77393060080	Facebook	100_1k	100 - 1k	AT	Austria	106	1	9298933	3719569	59388	15798
Harald Vilimsky		547597092025909	Facebook	100_1k	100 - 1k	AT	Austria	80	1	8949850	3879974	51419	17199
kontrast.at	kontrast.at	1079650008770485	Facebook	100_1k	100 - 1k	AT	Austria	56	1	6809942	2834999	38443	13999
Claudia Gamon	NEOS	447992848717452	Facebook	100_1k	100 - 1k	AT	Austria	67	1	5799926	2249996	36932	9499
HC Strache	FPÖ	74865038590	Facebook	100_1k	100 - 1k	AT	Austria	34	1	4649962	2029998	21965	7399
Europäisches Parlament Österreich		124468054313069	Facebook	100_1k	100 - 1k	AT	Austria	24	1	4499911	1879972	16975	6399
Andreas Schieder	SPÖ	290881691011354	Facebook	100_1k	100 - 1k	AT	Austria	56	1	3925455	1248101	30099	7531
Die Grünen	Die Grünen	21759893033	Facebook	100_1k	100 - 1k	AT	Austria	55	1	3549936	1189995	27444	5499
Europäische Kommission - Vertretung in Österreich		187626534620326	Facebook	100_1k	100 - 1k	AT	Austria	7	1	2499971	1049991	3492	699
Angelika Winzig	Wirtschaftsbund Österreich	141015722773374	Facebook	100_1k	100 - 1k	AT	Austria	44	1	2014265	480861	21949	4398
Stadt Wien	Stadt Wien	110971788921077	Facebook	100_1k	100 - 1k	AT	Austria	17	1	1799983	730000	8483	1700
European Parliament		178362315106	Facebook	100_1k	100 - 1k	AT	Austria	36	1	1703929	701677	10488	2403
Greenpeace Österreich	Greenpeace Österreich	32984679070	Facebook	100_1k	100 - 1k	AT	Austria	15	1	1549968	699992	7484	1499
Karoline Edtstadler	Salzburger Volkspartei	1580540041983231	Facebook	100_1k	100 - 1k	AT	Austria	29	1	1549816	369922	14470	2899
Dominik Nepp	FPÖ-Wien	135953609780627	Facebook	100_1k	100 - 1k	AT	Austria	14	1	1449986	650000	8986	3000
Johann Gudenus		104145976305577	Facebook	100_1k	100 - 1k	AT	Austria	14	1	1449973	619993	7485	1799
Julia Herr	Sozialistische Jugend Österreich	345172509462824	Facebook	100_1k	100 - 1k	AT	Austria	14	1	1149982	469998	8985	2999
SPÖ Kärnten	SPÖ Kärnten	10150145829810364	Facebook	100_1k	100 - 1k	AT	Austria	13	1	999987	350000	6987	1700
FPÖ	FPÖ	169051073236170	Facebook	100_1k	100 - 1k	AT	Austria	12	1	999987	439999	6987	1999
ÖGPP - Österr. Gesellschaft für Politikberatung und Politikentwicklung		345168305518984	Facebook	100_1k	100 - 1k	AT	Austria	14	1	670296	291675	5207	1043
Othmar Karas	Volkspartei	395638503864459	Facebook	100_1k	100 - 1k	AT	Austria	15	1	639985	170000	7485	1500
European Greens	European Greens	141366725876424	Facebook	100_1k	100 - 1k	AT	Austria	10	1	637762	268879	1460	683
Kialo		729627343834501	Facebook	100_1k	100 - 1k	AT	Austria	265	1	617907	233324	3996	1128
Günther Sidl	BSA Niederösterreich	806694216374998	Facebook	100_1k	100 - 1k	AT	Austria	3	1	599997	300000	1997	700
Plan International Österreich		115130990779	Facebook	100_1k	100 - 1k	AT	Austria	6	1	499993	189999	3494	999
