advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	recent_code_filter	recent_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	rd6	Last 6 days	CY	Cyprus	14	1	1903598	808515	9357	1981
ΑΚΕΛ - AKEL	ΑΚΕΛ - AKEL	117799504920552	Facebook	rd6	Last 6 days	CY	Cyprus	25	1	580271	174285	2192	178
Κίνημα Σοσιαλδημοκρατών ΕΔΕΚ	EDEK	489124984493054	Facebook	rd6	Last 6 days	CY	Cyprus	36	1	343041	73874	2348	0
Δημοκρατικός Συναγερμός	Δημοκρατικός Συναγερμός	64330641883	Facebook	rd6	Last 6 days	CY	Cyprus	12	1	340214	103272	1053	0
Κόμμα Δικαιοσύνης - ΟΑΔ	Michael Minas	404386316397983	Facebook	rd6	Last 6 days	CY	Cyprus	9	1	231560	68138	501	0
Λευτέρης Χριστοφόρου - Lefteris Christoforou		832972046731724	Facebook	rd6	Last 6 days	CY	Cyprus	6	1	229972	47495	494	0
Nicos Tornaritis - Νίκος Τορναρίτης	Nicos Tornaritis - Νίκος Τορναρίτης	115653995162093	Facebook	rd6	Last 6 days	CY	Cyprus	6	1	223203	76725	483	0
Costas Mavrides - Κώστας Μαυρίδης	Costas Mavrides - Κώστας Μαυρίδης	197874087030899	Facebook	rd6	Last 6 days	CY	Cyprus	7	1	211612	48322	577	0
Νικόλας Παπαδόπουλος	Μανωλης Κυριακου	998046016880140	Facebook	rd6	Last 6 days	CY	Cyprus	15	1	211597	49821	1270	0
AKEL Türkçe	ΑΚΕΛ - AKEL	811609932267686	Facebook	rd6	Last 6 days	CY	Cyprus	5	1	205899	96681	499	49
Δημοκρατικό Κόμμα	Constantinos Georgallides	293704380825571	Facebook	rd6	Last 6 days	CY	Cyprus	19	1	197972	53497	1715	0
Στηρίζουμε Μαρίνο Κλεάνθους για την Ευρωβουλή		831939610501208	Facebook	rd6	Last 6 days	CY	Cyprus	5	1	126266	31936	427	14
Δρ. ΕΛΕΝΗ ΘΕΟΧΑΡΟΥΣ - Dr. ELENI THEOCHAROUS		46620712083	Facebook	rd6	Last 6 days	CY	Cyprus	3	1	109975	24995	296	0
Marinos Mousiouttas	Andreas Nikitaras	306684270037168	Facebook	rd6	Last 6 days	CY	Cyprus	7	1	100326	19666	659	0
Συμμαχία Πολιτών	Anastasia Fella	470323203056530	Facebook	rd6	Last 6 days	CY	Cyprus	11	1	93701	24320	933	0
Τζώρτζια Κωνσταντίνου-Παναγιώτου / Georgia Constantinou-Panayiotou		270213387069072	Facebook	rd6	Last 6 days	CY	Cyprus	8	1	90145	21544	289	0
Prof. Dr. Niyazi Kızılyürek	Niyazi Kızılyürek	878208312216203	Facebook	rd6	Last 6 days	CY	Cyprus	5	1	76662	20333	462	0
Παναγιώτης Σεντώνας - Panayiotis Sentonas		436419753766608	Facebook	rd6	Last 6 days	CY	Cyprus	6	1	75981	17997	593	0
European Greens	European Greens	141366725876424	Facebook	rd6	Last 6 days	CY	Cyprus	4	1	73965	30296	329	91
Δημήτρης Παπαδάκης	Δημήτρης Παπαδάκης - Demetris Papadakis	1406872809567447	Facebook	rd6	Last 6 days	CY	Cyprus	5	1	68077	14615	250	0
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	rd6	Last 6 days	CY	Cyprus	3	1	61127	27151	77	14
StudentLife.com.cy	StudentLife.com.cy	219265161533109	Facebook	rd6	Last 6 days	CY	Cyprus	4	1	56989	10998	395	0
Party of European Socialists	Party of European Socialists	148097975226385	Facebook	rd6	Last 6 days	CY	Cyprus	1	1	41751	16700	41	8
Dr. Eleni Stavrou		822417261217421	Facebook	rd6	Last 6 days	CY	Cyprus	1	1	39999	7999	79	0
Αντιγόνη Παπαδοπούλου - Η φωνή του ενεργού πολίτη		243308565736627	Facebook	rd6	Last 6 days	CY	Cyprus	1	1	37499	7499	74	0
