advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	impression_code_filter	impression_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Britain's Future	Britain's Future	1625300137516491	Facebook	10k_50k	10k - 50k	843	1	42149157	8430000	396866	76027
Ciudadanos	Ciudadanos	74078667754	Facebook	10k_50k	10k - 50k	837	1	41849163	8370000	189263	26600
People's Vote UK	People's Vote	748608695327755	Facebook	10k_50k	10k - 50k	726	1	36299274	7260000	364831	76374
Partido Popular	Partido Popular	72249031214	Facebook	10k_50k	10k - 50k	614	1	30699386	6140000	96786	9000
CDU	CDU	78502295414	Facebook	10k_50k	10k - 50k	518	1	25899482	5180000	82882	7900
Kialo		729627343834501	Facebook	10k_50k	10k - 50k	395	1	19749605	3950000	132135	25164
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	10k_50k	10k - 50k	378	1	18899622	3780000	128242	23143
European Parliament		178362315106	Facebook	10k_50k	10k - 50k	351	1	17549649	3510000	81629	11793
FDP	FDP	21289227249	Facebook	10k_50k	10k - 50k	333	1	16649667	3330000	58567	6400
SPD	SPD	47930567748	Facebook	10k_50k	10k - 50k	327	1	16349673	3270000	115273	21000
Friends of the Earth	Friends of the Earth	110861655604080	Facebook	10k_50k	10k - 50k	265	1	13249735	2650000	86366	14001
Conservatives	The Conservative Party	8807334278	Facebook	10k_50k	10k - 50k	200	1	9999800	2000000	77647	14001
sp.a	sp.a	57253967150	Facebook	10k_50k	10k - 50k	185	1	9249815	1850000	51115	8200
38 Degrees	38 Degrees	200006375787	Facebook	10k_50k	10k - 50k	184	1	9199816	1840000	55332	8563
We are the 52%	We are the 52%	466744973727718	Facebook	10k_50k	10k - 50k	173	1	8649827	1730000	22596	694
The Labour Party	The Labour Party	25749647410	Facebook	10k_50k	10k - 50k	163	1	8149837	1630000	62646	10993
Rädda Barnen		72659261793	Facebook	10k_50k	10k - 50k	162	1	8099838	1620000	61013	14067
SPÖ	SPÖ	77393060080	Facebook	10k_50k	10k - 50k	158	1	7899842	1580000	40442	6200
Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	10k_50k	10k - 50k	805	1	7516155	704353	21742	636
Right To Vote	Right to Vote	408236463256774	Facebook	10k_50k	10k - 50k	143	1	7149857	1430000	43692	6827
Venstre, Danmarks Liberale Parti		21465928829	Facebook	10k_50k	10k - 50k	136	1	6799864	1360000	43231	11060
Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	10k_50k	10k - 50k	133	1	6649867	1330000	46767	8400
Greenpeace Deutschland		22541752487	Facebook	10k_50k	10k - 50k	130	1	6499870	1300000	34870	5500
Sosialidemokraatit SDP		108945982480217	Facebook	10k_50k	10k - 50k	129	1	6449871	1290000	46071	8600
COALICION CANARIA		AR489541609348661248	Google	10k_50k	10k - 50k	3705	1	6262977	354166	16272	99
