advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	location_code_filter	location_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Sosialidemokraatit SDP		108945982480217	Facebook	central_ostrobothnia_FI	Central Ostrobothnia, Finland	267	1	328328	130631	1995	442
European Parliament		178362315106	Facebook	central_ostrobothnia_FI	Central Ostrobothnia, Finland	71	1	149245	68696	1193	433
Kokoomus	Kokoomus	201285237101	Facebook	central_ostrobothnia_FI	Central Ostrobothnia, Finland	30	1	70110	11914	1300	17
Vihreät - De Gröna		33722070600	Facebook	central_ostrobothnia_FI	Central Ostrobothnia, Finland	31	1	24189	9507	102	23
Perussuomalaiset	Perussuomalaiset	181106108341	Facebook	central_ostrobothnia_FI	Central Ostrobothnia, Finland	13	1	14921	5462	128	32
Piia Kurki	Piia Kurki	270567833058986	Facebook	central_ostrobothnia_FI	Central Ostrobothnia, Finland	26	1	11024	2674	128	12
Keski-Pohjanmaan Keskusta		142185749161366	Facebook	central_ostrobothnia_FI	Central Ostrobothnia, Finland	3	1	10997	2000	297	0
Miapetra Kumpula-Natri	Euroopassa Suomen tähden  / Miapetra Kumpula-Natri	922311201130062	Facebook	central_ostrobothnia_FI	Central Ostrobothnia, Finland	11	1	10773	3355	75	18
Oatly		585888148224935	Facebook	central_ostrobothnia_FI	Central Ostrobothnia, Finland	3	1	9971	4130	78	15
Eurovaaliehdokas Kari Kallonen	Kallonen Kari Markku	2130226653737235	Facebook	central_ostrobothnia_FI	Central Ostrobothnia, Finland	31	1	8419	1854	99	9
Svenska folkpartiet i Finland - RKP	Svenska folkpartiet i Finland - RKP	191883307265	Facebook	central_ostrobothnia_FI	Central Ostrobothnia, Finland	36	1	7883	3331	79	1
WWF Suomi		119054448115588	Facebook	central_ostrobothnia_FI	Central Ostrobothnia, Finland	7	1	7849	3792	31	7
Ida Schauman	Schauman Ida Emilia Axelsdotter	1449434138617787	Facebook	central_ostrobothnia_FI	Central Ostrobothnia, Finland	37	1	7644	1126	311	0
Finlands svenska socialdemokrater - FSD		174819292560785	Facebook	central_ostrobothnia_FI	Central Ostrobothnia, Finland	7	1	7604	1702	53	8
Sirpa Pietikäinen	Sirpa Pietikäinen	140188405326	Facebook	central_ostrobothnia_FI	Central Ostrobothnia, Finland	11	1	6579	1689	110	25
K-Supermarket		380462231997295	Facebook	central_ostrobothnia_FI	Central Ostrobothnia, Finland	6	1	6567	2811	124	28
Neste		1083597725003936	Facebook	central_ostrobothnia_FI	Central Ostrobothnia, Finland	1	1	6194	2478	61	12
Kaisa Penny		259256970891807	Facebook	central_ostrobothnia_FI	Central Ostrobothnia, Finland	18	1	6063	2374	39	3
Petri Sarvamaa	Petri Sarvamaa	164624737027350	Facebook	central_ostrobothnia_FI	Central Ostrobothnia, Finland	5	1	5802	1160	29	4
XAMK - Kaakkois-Suomen ammattikorkeakoulu		1713318895550712	Facebook	central_ostrobothnia_FI	Central Ostrobothnia, Finland	24	1	5481	2127	47	1
Elsi Katainen		190042298268350	Facebook	central_ostrobothnia_FI	Central Ostrobothnia, Finland	27	1	5453	1274	60	0
Paula Aikio-Tallgren EU-vaaliehdokas	Pohjoisen asian osaajat ry	510346432432044	Facebook	central_ostrobothnia_FI	Central Ostrobothnia, Finland	25	1	5366	1500	63	3
Keskusta	Suomen Keskusta	55312855747	Facebook	central_ostrobothnia_FI	Central Ostrobothnia, Finland	4	1	5100	1731	19	1
Euroopan komissio Suomessa - Europeiska kommissionen i Finland	Euroopan komissio Suomessa - Europeiska kommissionen i Finland	139489762782508	Facebook	central_ostrobothnia_FI	Central Ostrobothnia, Finland	4	1	4477	1360	13	1
Tuija Leivo-Rintakorpi nro 109 eduskuntaan Vaasan vaalipiiristä		1185687531598211	Facebook	central_ostrobothnia_FI	Central Ostrobothnia, Finland	2	1	4251	1928	48	0
