advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	location_code_filter	location_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
sp.a	sp.a	57253967150	Facebook	flemish_region_BE	Flemish Region, Belgium	424	1	38964204	15533448	185802	39974
N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	flemish_region_BE	Flemish Region, Belgium	117	1	28359902	11742781	88190	22506
Vlaams Belang	Vlaams Belang	56605856504	Facebook	flemish_region_BE	Flemish Region, Belgium	66	1	26088070	11994622	176729	39149
Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	flemish_region_BE	Flemish Region, Belgium	107	1	22921338	9839346	204081	47569
Open Vld	Open Vld	53668151866	Facebook	flemish_region_BE	Flemish Region, Belgium	346	1	10165009	3737742	78477	13669
European Parliament		178362315106	Facebook	flemish_region_BE	Flemish Region, Belgium	157	1	8080220	3527168	54649	11690
John Crombez	sp.a	264131406977201	Facebook	flemish_region_BE	Flemish Region, Belgium	85	1	7138195	2885856	41807	8398
Groen	Groen	84920854319	Facebook	flemish_region_BE	Flemish Region, Belgium	177	1	7068010	2514761	33627	5000
Peter Mertens	PVDA	236485149843971	Facebook	flemish_region_BE	Flemish Region, Belgium	573	1	6958775	2021788	84873	8671
Sign for my Future		1345513882259768	Facebook	flemish_region_BE	Flemish Region, Belgium	75	1	3191704	1157248	28819	5966
Facebook Brussels	Facebook	287739491272583	Facebook	flemish_region_BE	Flemish Region, Belgium	16	1	3056065	1323634	29596	7692
CD&V	CD&V	52997544531	Facebook	flemish_region_BE	Flemish Region, Belgium	100	1	2410484	765997	17197	2300
CDH - Centre Démocrate Humaniste	CDH - Centre Démocrate Humaniste	189649407806135	Facebook	flemish_region_BE	Flemish Region, Belgium	52	1	2101965	1001016	7662	1713
IKEA	IKEA	112961202185776	Facebook	flemish_region_BE	Flemish Region, Belgium	78	1	1976260	713759	8610	1283
Kialo		729627343834501	Facebook	flemish_region_BE	Flemish Region, Belgium	363	1	1801110	720252	13718	3061
Maurits Vande Reyde	Vande Reyde Maurits Jozef	1797427180478228	Facebook	flemish_region_BE	Flemish Region, Belgium	83	1	1532660	438748	10610	599
Joris Vandenbroucke	Vandenbroucke Joris Jeroen J	984867054996076	Facebook	flemish_region_BE	Flemish Region, Belgium	15	1	1291483	519325	4271	698
Brecht Warnez	Warnez Brecht Luc T	998887823550443	Facebook	flemish_region_BE	Flemish Region, Belgium	150	1	1215284	333032	15098	98
sp.a West-Vlaanderen	sp.a West-Vlaanderen	269157793205215	Facebook	flemish_region_BE	Flemish Region, Belgium	29	1	1185593	466215	5243	882
Kathleen Van Brempt	Kathleen Van Brempt	206193139504506	Facebook	flemish_region_BE	Flemish Region, Belgium	129	1	1156319	253391	12991	486
Johan Van Overtveldt		275607285891320	Facebook	flemish_region_BE	Flemish Region, Belgium	14	1	1136986	456000	8386	1800
European Greens	European Greens	141366725876424	Facebook	flemish_region_BE	Flemish Region, Belgium	20	1	1061468	456964	8458	2029
Party of European Socialists	Party of European Socialists	148097975226385	Facebook	flemish_region_BE	Flemish Region, Belgium	95	1	1034384	332452	3269	168
Bart De Wever		24079407056	Facebook	flemish_region_BE	Flemish Region, Belgium	2	1	999998	400000	9998	2000
Tout sur le nucléaire / Alles over kernenergie		585236024850280	Facebook	flemish_region_BE	Flemish Region, Belgium	13	1	977257	380738	7192	1477
