advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	location_code_filter	location_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
ΑΚΕΛ - AKEL	ΑΚΕΛ - AKEL	117799504920552	Facebook	larnaca_district_CY	Larnaca District, Cyprus	82	1	469094	137178	1842	59
European Parliament		178362315106	Facebook	larnaca_district_CY	Larnaca District, Cyprus	19	1	444382	194311	2332	496
Κίνημα Σοσιαλδημοκρατών ΕΔΕΚ	EDEK	489124984493054	Facebook	larnaca_district_CY	Larnaca District, Cyprus	65	1	224130	46818	1071	0
Nicos Tornaritis - Νίκος Τορναρίτης	Nicos Tornaritis - Νίκος Τορναρίτης	115653995162093	Facebook	larnaca_district_CY	Larnaca District, Cyprus	21	1	168672	37423	461	0
Λευτέρης Χριστοφόρου - Lefteris Christoforou		832972046731724	Facebook	larnaca_district_CY	Larnaca District, Cyprus	47	1	166560	36416	869	0
European Parliament Office in Cyprus		205478755729	Facebook	larnaca_district_CY	Larnaca District, Cyprus	9	1	137379	60017	632	116
Τζώρτζια Κωνσταντίνου-Παναγιώτου / Georgia Constantinou-Panayiotou		270213387069072	Facebook	larnaca_district_CY	Larnaca District, Cyprus	24	1	105516	23309	318	0
Costas Mavrides - Κώστας Μαυρίδης	Costas Mavrides - Κώστας Μαυρίδης	197874087030899	Facebook	larnaca_district_CY	Larnaca District, Cyprus	19	1	99570	25133	294	14
Στηρίζουμε Μαρίνο Κλεάνθους για την Ευρωβουλή		831939610501208	Facebook	larnaca_district_CY	Larnaca District, Cyprus	17	1	88681	36036	370	44
Δημήτρης Παπαδάκης	Δημήτρης Παπαδάκης - Demetris Papadakis	1406872809567447	Facebook	larnaca_district_CY	Larnaca District, Cyprus	8	1	82279	17035	217	0
γυρίζουμε		278308089460720	Facebook	larnaca_district_CY	Larnaca District, Cyprus	6	1	74042	32685	505	116
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	82362291274	Facebook	larnaca_district_CY	Larnaca District, Cyprus	5	1	73122	31260	545	105
Δρ. ΕΛΕΝΗ ΘΕΟΧΑΡΟΥΣ - Dr. ELENI THEOCHAROUS		46620712083	Facebook	larnaca_district_CY	Larnaca District, Cyprus	22	1	70315	15132	278	0
Νικόλας Παπαδόπουλος	Μανωλης Κυριακου	998046016880140	Facebook	larnaca_district_CY	Larnaca District, Cyprus	28	1	66119	15074	365	0
Δημοκρατικό Κόμμα	Constantinos Georgallides	293704380825571	Facebook	larnaca_district_CY	Larnaca District, Cyprus	38	1	62647	17391	496	0
Παναγιώτης Σεντώνας - Panayiotis Sentonas		436419753766608	Facebook	larnaca_district_CY	Larnaca District, Cyprus	16	1	51502	12016	244	0
UK-Cyprus Enterprise Council	UK-Cyprus Enterprise Council 	1837120569879342	Facebook	larnaca_district_CY	Larnaca District, Cyprus	7	1	47256	18599	117	11
Δημοκρατικός Συναγερμός	Δημοκρατικός Συναγερμός	64330641883	Facebook	larnaca_district_CY	Larnaca District, Cyprus	13	1	39491	11717	173	0
Κόμμα Δικαιοσύνης - ΟΑΔ	Michael Minas	404386316397983	Facebook	larnaca_district_CY	Larnaca District, Cyprus	9	1	35760	9828	92	0
Παρατηρητήριο Τρίτης Ηλικίας Κύπρου		1788557328061678	Facebook	larnaca_district_CY	Larnaca District, Cyprus	4	1	28216	9808	97	13
Marinos Mousiouttas	Andreas Nikitaras	306684270037168	Facebook	larnaca_district_CY	Larnaca District, Cyprus	12	1	24403	5161	146	0
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	larnaca_district_CY	Larnaca District, Cyprus	15	1	23017	9456	42	9
Dr. Eleni Stavrou		822417261217421	Facebook	larnaca_district_CY	Larnaca District, Cyprus	6	1	21734	5520	74	0
Prof. Dr. Niyazi Kızılyürek	Niyazi Kızılyürek	878208312216203	Facebook	larnaca_district_CY	Larnaca District, Cyprus	21	1	20123	9169	73	8
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	larnaca_district_CY	Larnaca District, Cyprus	37	1	18646	8580	32	9
