advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	age_code_filter	age_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Venstre, Danmarks Liberale Parti		21465928829	Facebook	55_64	55-64	DK	Denmark	315	1	1570827	519262	11099	3006
Socialdemokratiet	Socialdemokratiet	41459763029	Facebook	55_64	55-64	DK	Denmark	59	1	552467	184691	7116	1893
Det Konservative Folkeparti	Det Konservative Folkeparti	39233495912	Facebook	55_64	55-64	DK	Denmark	144	1	456134	158238	7472	2008
Red Barnet		67571270393	Facebook	55_64	55-64	DK	Denmark	80	1	428757	148466	7359	1948
Lizette Risgaard		547601668763372	Facebook	55_64	55-64	DK	Denmark	71	1	375972	131611	4099	1078
Dansk Folkeparti	Dansk Folkeparti	520449347983427	Facebook	55_64	55-64	DK	Denmark	12	1	300931	129398	3917	1119
Pia Olsen Dyhr	SF	49348971479	Facebook	55_64	55-64	DK	Denmark	52	1	294775	84938	2289	649
Pernille Weiss	Det Konservative Folkeparti	2071183673144991	Facebook	55_64	55-64	DK	Denmark	33	1	290483	110456	3879	1048
SF	SF	74796954245	Facebook	55_64	55-64	DK	Denmark	45	1	266402	68904	2502	624
Liberal Alliance	Liberal Alliance	106952222676974	Facebook	55_64	55-64	DK	Denmark	446	1	258824	58636	2755	592
Søren Pape Poulsen	Søren Pape Poulsen	952334508116178	Facebook	55_64	55-64	DK	Denmark	22	1	256495	91026	3867	1262
SE Energi & Klima		169900309711559	Facebook	55_64	55-64	DK	Denmark	42	1	242550	85109	1362	401
Dansk Industri - DI	Dansk Industri	141343589252160	Facebook	55_64	55-64	DK	Denmark	34	1	237954	66823	1992	463
Morten Dahlin	Morten Dahlin	577345799101307	Facebook	55_64	55-64	DK	Denmark	121	1	167979	39257	671	120
Røde Kors		65929129383	Facebook	55_64	55-64	DK	Denmark	27	1	147923	37111	1756	559
Oxfam IBIS	Oxfam IBIS	144965885963	Facebook	55_64	55-64	DK	Denmark	30	1	139408	30732	1467	358
Enhedslisten	Enhedslisten	223040066022	Facebook	55_64	55-64	DK	Denmark	22	1	137364	47654	854	262
Mette Frederiksen	Socialdemokratiet	57497067718	Facebook	55_64	55-64	DK	Denmark	17	1	131061	44258	1374	346
European Parliament		178362315106	Facebook	55_64	55-64	DK	Denmark	53	1	130299	44678	1022	163
Naser Khader		1995019340791443	Facebook	55_64	55-64	DK	Denmark	14	1	123453	39841	1313	338
World Animal Protection Danmark		33588644626	Facebook	55_64	55-64	DK	Denmark	5	1	123310	51972	1406	330
Niels Fuglsang		264009771074617	Facebook	55_64	55-64	DK	Denmark	109	1	104987	24519	656	115
Mellemfolkeligt Samvirke	Mellemfolkeligt Samvirke	5624899398	Facebook	55_64	55-64	DK	Denmark	74	1	100688	24166	873	237
Nicolai Wammen	Socialdemokratiet	1458354184437993	Facebook	55_64	55-64	DK	Denmark	77	1	96324	28494	932	185
Folkekirkens Nødhjælp		276770505228	Facebook	55_64	55-64	DK	Denmark	68	1	94638	19618	755	165
