advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	age_code_filter	age_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	18_24	18-24	CZ	Czechia	63	1	4838793	2172897	22350	8524
Česká pirátská strana	Česká pirátská strana	109323929038	Facebook	18_24	18-24	CZ	Czechia	106	1	1694696	697998	4747	1269
European Commission		107898832590939	Facebook	18_24	18-24	CZ	Czechia	20	1	1563671	709791	6047	1396
ČSSD	ČSSD	111041662264882	Facebook	18_24	18-24	CZ	Czechia	852	1	1353133	382011	6360	1605
TOP 09	TOP 09	90002267161	Facebook	18_24	18-24	CZ	Czechia	23	1	1296966	522210	2090	616
Kancelář Evropského parlamentu	Kancelář Evropského parlamentu	278212515809	Facebook	18_24	18-24	CZ	Czechia	22	1	727806	234080	1131	327
Organizace pro pomoc uprchlíkům, z.s.		188235971211201	Facebook	18_24	18-24	CZ	Czechia	92	1	665990	165708	489	119
Pavel Svoboda	Křesťanská a demokratická unie - Československá strana lidová	1451376028412024	Facebook	18_24	18-24	CZ	Czechia	74	1	525949	169631	1199	298
Kialo		729627343834501	Facebook	18_24	18-24	CZ	Czechia	294	1	495091	196734	3194	738
Evropa společně	Evropa společně	535611970260854	Facebook	18_24	18-24	CZ	Czechia	53	1	431676	148250	1164	214
Tomáš Zdechovský		275042429350706	Facebook	18_24	18-24	CZ	Czechia	25	1	410496	179249	2279	549
Andrej Babiš	ANO	214827221987263	Facebook	18_24	18-24	CZ	Czechia	5	1	390189	195095	1300	318
HLAS	První prezidentská	320144481956623	Facebook	18_24	18-24	CZ	Czechia	163	1	376478	88068	1067	271
Starostové a nezávislí	Starostové a nezávislí	370583064327	Facebook	18_24	18-24	CZ	Czechia	16	1	360099	147885	953	249
Ondřej Krutílek - kandidát do Evropského parlamentu		1220066088147062	Facebook	18_24	18-24	CZ	Czechia	30	1	340757	89008	1613	444
Strana nezávislosti České republiky	Strana nezávislosti České republiky	1199083776860090	Facebook	18_24	18-24	CZ	Czechia	9	1	309293	128171	931	195
Programy do voleb	Štěpán Ryšavý - Programy do voleb	1033702273421005	Facebook	18_24	18-24	CZ	Czechia	21	1	305068	95921	117	12
Petr Fiala	ODS - Občanská demokratická strana	487445514669670	Facebook	18_24	18-24	CZ	Czechia	24	1	271072	66610	972	194
Daniel Herman		378072105614553	Facebook	18_24	18-24	CZ	Czechia	10	1	262253	102980	273	97
Refork		1919696668329015	Facebook	18_24	18-24	CZ	Czechia	2	1	256376	128189	198	49
ecoFuture & E.ON Energy Globe		104654572907664	Facebook	18_24	18-24	CZ	Czechia	19	1	243289	105184	367	0
European Greens	European Greens	141366725876424	Facebook	18_24	18-24	CZ	Czechia	7	1	204347	82202	419	202
Roman Kriz	Kriz Roman	382745889213194	Facebook	18_24	18-24	CZ	Czechia	126	1	203826	45443	729	164
Hello Sandy		56274514407	Facebook	18_24	18-24	CZ	Czechia	23	1	198989	60420	215	36
KDU-ČSL	KDU-ČSL	251656685576	Facebook	18_24	18-24	CZ	Czechia	44	1	198294	88001	491	106
