advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	location_code_filter	location_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	teleorman_county_RO	Teleorman County, Romania	79	1	359422	157180	803	217
Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	teleorman_county_RO	Teleorman County, Romania	110	1	297613	123938	435	114
Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	teleorman_county_RO	Teleorman County, Romania	130	1	271307	125789	779	165
România în primul rând	Future Innovation	770704223323599	Facebook	teleorman_county_RO	Teleorman County, Romania	42	1	196885	88104	138	39
European Parliament		178362315106	Facebook	teleorman_county_RO	Teleorman County, Romania	71	1	109027	50645	517	101
Romania #nuepsd	Future Innovation	293215748279337	Facebook	teleorman_county_RO	Teleorman County, Romania	12	1	108995	50826	54	18
Uniunea Salvați România - USR	Uniunea Salvați România - USR	1058116737612843	Facebook	teleorman_county_RO	Teleorman County, Romania	78	1	108568	47144	380	91
ALDE - Partidul Alianta Liberalilor si Democratilor	EvolveDreamSoft	1445317929104549	Facebook	teleorman_county_RO	Teleorman County, Romania	33	1	85429	39082	101	27
Politice.net	politice.net	2546711162025064	Facebook	teleorman_county_RO	Teleorman County, Romania	12	1	64485	31212	61	12
Litere.net	litere.net	1504323906337545	Facebook	teleorman_county_RO	Teleorman County, Romania	13	1	58904	27996	52	12
European Commission		107898832590939	Facebook	teleorman_county_RO	Teleorman County, Romania	11	1	53027	26345	135	35
Fără Penali în Funcții Publice	Uniunea Salvați România - USR	275621429636078	Facebook	teleorman_county_RO	Teleorman County, Romania	35	1	50416	24176	169	44
Departamentul pentru Agricultură și Dezvoltare Rurală al PSD	Partidul Social Democrat	339365506708219	Facebook	teleorman_county_RO	Teleorman County, Romania	12	1	47528	20166	59	11
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	teleorman_county_RO	Teleorman County, Romania	42	1	37057	17120	101	20
Silvia Dinică		1128229287275038	Facebook	teleorman_county_RO	Teleorman County, Romania	19	1	30936	12140	52	12
Viorel Catarama	Dreapta Liberală - DL	795022763862618	Facebook	teleorman_county_RO	Teleorman County, Romania	19	1	29328	13585	27	5
Traian Băsescu		361235817223309	Facebook	teleorman_county_RO	Teleorman County, Romania	10	1	23259	9411	28	4
Departamentul Fonduri Europene al PSD	Partidul Social Democrat	1030472763816931	Facebook	teleorman_county_RO	Teleorman County, Romania	7	1	23121	10200	8	1
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	teleorman_county_RO	Teleorman County, Romania	20	1	21064	8654	27	6
George Simion		2212856535602171	Facebook	teleorman_county_RO	Teleorman County, Romania	23	1	20426	8266	42	12
Siegfried Muresan		731035500293728	Facebook	teleorman_county_RO	Teleorman County, Romania	5	1	18996	7543	7	1
Partidul Social Democrat Departamentul pentru Politici Fiscal Bugetare		2006803969624108	Facebook	teleorman_county_RO	Teleorman County, Romania	5	1	17633	8123	6	1
Departamentul pentru Muncă și Justiție Socială	Partidul Social Democrat	1975738806067717	Facebook	teleorman_county_RO	Teleorman County, Romania	2	1	16650	6660	5	2
Video News		329122497569429	Facebook	teleorman_county_RO	Teleorman County, Romania	4	1	15419	6465	18	5
Eco friendly home		547824632336134	Facebook	teleorman_county_RO	Teleorman County, Romania	3	1	15104	6946	15	5
