advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	gender_code_filter	gender_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Venstre, Danmarks Liberale Parti		21465928829	Facebook	m	male	DK	Denmark	341	1	8528018	2725998	62484	16637
Liberal Alliance	Liberal Alliance	106952222676974	Facebook	m	male	DK	Denmark	684	1	2460882	544131	19527	3836
European Parliament		178362315106	Facebook	m	male	DK	Denmark	80	1	2453519	1041423	22108	4992
Det Konservative Folkeparti	Det Konservative Folkeparti	39233495912	Facebook	m	male	DK	Denmark	148	1	2098595	617092	24171	6637
Socialdemokratiet	Socialdemokratiet	41459763029	Facebook	m	male	DK	Denmark	106	1	1788960	586789	20372	5740
Pernille Weiss	Det Konservative Folkeparti	2071183673144991	Facebook	m	male	DK	Denmark	33	1	1487368	556240	21390	5297
Dansk Folkeparti	Dansk Folkeparti	520449347983427	Facebook	m	male	DK	Denmark	12	1	1148526	481243	13550	3891
Dansk Industri - DI	Dansk Industri	141343589252160	Facebook	m	male	DK	Denmark	34	1	1024613	281792	8345	2005
Lizette Risgaard		547601668763372	Facebook	m	male	DK	Denmark	69	1	883380	321621	8156	2166
Morten Dahlin	Morten Dahlin	577345799101307	Facebook	m	male	DK	Denmark	174	1	856241	195855	3080	542
Søren Pape Poulsen	Søren Pape Poulsen	952334508116178	Facebook	m	male	DK	Denmark	22	1	665217	228478	10126	2914
Pia Olsen Dyhr	SF	49348971479	Facebook	m	male	DK	Denmark	53	1	627943	191766	4836	1379
SE Energi & Klima		169900309711559	Facebook	m	male	DK	Denmark	43	1	624480	225600	4202	1133
Kialo		729627343834501	Facebook	m	male	DK	Denmark	350	1	601154	230634	4748	1298
Mona Juul	Mona Juul	2079067062409423	Facebook	m	male	DK	Denmark	73	1	547978	157283	5152	1079
Alex Vanopslagh	Alex Vanopslagh	671022293105597	Facebook	m	male	DK	Denmark	65	1	543408	146699	3747	976
Enhedslisten	Enhedslisten	223040066022	Facebook	m	male	DK	Denmark	22	1	525347	178808	3163	915
SF	SF	74796954245	Facebook	m	male	DK	Denmark	45	1	505206	134068	4540	1104
Facebook Nordic	Facebook	334318366655425	Facebook	m	male	DK	Denmark	4	1	449878	224940	3011	1505
Naser Khader		1995019340791443	Facebook	m	male	DK	Denmark	14	1	441957	142180	4713	1151
Morten Østergaard	Radikale Venstre	252520351444054	Facebook	m	male	DK	Denmark	36	1	421576	93483	2330	501
Niels Fuglsang		264009771074617	Facebook	m	male	DK	Denmark	111	1	398949	93763	2255	436
Anders Baun EP valg 2019	Sorensen Anders Baun	549966298750692	Facebook	m	male	DK	Denmark	16	1	386398	106480	3766	783
World Animal Protection Danmark		33588644626	Facebook	m	male	DK	Denmark	5	1	381590	159839	4451	1023
Zetland	Zetland	341299649231023	Facebook	m	male	DK	Denmark	23	1	378338	135081	1182	473
