advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	audience_code_filter	audience_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Giorgos Patoulis	Georgios Patoulis	668804566601196	Facebook	u55_64	unknown (55-64)	EL	Greece	112	1	5166	2083	20	3
Πέτρος Κόκκαλης - Petros Kokkalis	Πέτρος Κόκκαλης - Petros Kokkalis	234040963454964	Facebook	u55_64	unknown (55-64)	EL	Greece	143	1	4535	1531	16	1
Greenpeace Greece	Greenpeace Greece	31324524225	Facebook	u55_64	unknown (55-64)	EL	Greece	33	1	2839	1175	8	1
Thodoris Kalabokis	Thodoris Kalabokis	311791572779718	Facebook	u55_64	unknown (55-64)	EL	Greece	75	1	2752	996	11	1
European Parliament		178362315106	Facebook	u55_64	unknown (55-64)	EL	Greece	27	1	2716	1299	14	2
Kyriakos Mitsotakis		34848567724	Facebook	u55_64	unknown (55-64)	EL	Greece	70	1	2634	1141	6	1
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	82362291274	Facebook	u55_64	unknown (55-64)	EL	Greece	51	1	2378	1021	5	0
Ioannis Vardakastanis	Ioannis Vardakastanis	195643347979465	Facebook	u55_64	unknown (55-64)	EL	Greece	61	1	2061	796	8	0
Nikos Papandreou	Nikos Papandreou	2245032148843299	Facebook	u55_64	unknown (55-64)	EL	Greece	63	1	1684	463	6	0
Ανεξάρτητοι 'Ελληνες	Start Business Hellas	343233902394715	Facebook	u55_64	unknown (55-64)	EL	Greece	15	1	1615	749	3	0
Μανώλης Κεφαλογιάννης / Manolis Kefalogiannis		51638783172	Facebook	u55_64	unknown (55-64)	EL	Greece	79	1	1470	319	3	0
Kostas Dervos	Kostas Dervos	1970779819866623	Facebook	u55_64	unknown (55-64)	EL	Greece	102	1	1464	403	4	0
Γιώργος Χατζημάρκος	Γιώργος Χατζημάρκος	2128150737398149	Facebook	u55_64	unknown (55-64)	EL	Greece	65	1	1388	413	3	0
George Kyrtsos - Γιώργος Κύρτσος	DigitalWise Agency 	1413834448867079	Facebook	u55_64	unknown (55-64)	EL	Greece	38	1	1372	433	4	0
Παύλος Ελευθεριάδης		768996799785550	Facebook	u55_64	unknown (55-64)	EL	Greece	21	1	1210	481	4	0
Vouliwatch		627330267312880	Facebook	u55_64	unknown (55-64)	EL	Greece	7	1	1072	432	2	1
Νίκος Χουντής-Nikos Chountis		462603193829493	Facebook	u55_64	unknown (55-64)	EL	Greece	39	1	923	262	4	0
Δημήτρης Παπαδημούλης	Dimitrios Papadimoulis	528797520505550	Facebook	u55_64	unknown (55-64)	EL	Greece	14	1	818	238	3	0
Νότης Μαριάς, Ανεξάρτητος Ευρωβουλευτής		337788662974718	Facebook	u55_64	unknown (55-64)	EL	Greece	20	1	817	292	1	0
Βασιλική Λαζαράκου	Βασιλική Λαζαράκου 	443842809693601	Facebook	u55_64	unknown (55-64)	EL	Greece	12	1	796	311	2	0
INBOX	New Digital Media	369693523475596	Facebook	u55_64	unknown (55-64)	EL	Greece	24	1	794	332	0	0
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	u55_64	unknown (55-64)	EL	Greece	39	1	783	360	1	0
Νίκος Ανδρουλάκης	Νίκος Ανδρουλάκης	216089191899991	Facebook	u55_64	unknown (55-64)	EL	Greece	22	1	718	287	2	0
Δημήτρης Καιρίδης-Dimitris Kairidis	Dimitrios Kairidis	165710610795923	Facebook	u55_64	unknown (55-64)	EL	Greece	10	1	692	225	1	0
Αντωνιάδου Αθηνά	Αθηνα Αντωνιαδου	2058682324431724	Facebook	u55_64	unknown (55-64)	EL	Greece	57	1	673	150	9	0
Στέλιος Κυμπουρόπουλος	Στέλιος Κυμπουρόπουλος	323456224972682	Facebook	u55_64	unknown (55-64)	EL	Greece	31	1	642	218	1	0
Δημιουργία Ξανά	Δημιουργία Ξανά	226397774096827	Facebook	u55_64	unknown (55-64)	EL	Greece	44	1	631	147	7	0
Μαρία Σπυράκη		657782574275153	Facebook	u55_64	unknown (55-64)	EL	Greece	21	1	548	181	1	0
Κατερινα Μαρκου		832766380123763	Facebook	u55_64	unknown (55-64)	EL	Greece	14	1	548	217	0	0
Ιωάννης Σγουρός	Ιωαννης Σγουρος	1401098180146606	Facebook	u55_64	unknown (55-64)	EL	Greece	12	1	545	200	1	0
Γιώργος Νικητιάδης	Georgios Nikitiadis	412207436231536	Facebook	u55_64	unknown (55-64)	EL	Greece	8	1	530	230	2	0
Άρης Βρούστης		467783713352058	Facebook	u55_64	unknown (55-64)	EL	Greece	2	1	530	210	0	0
Σπύρος Ριζόπουλος	Spyridon Rizopoulos	2127727860849871	Facebook	u55_64	unknown (55-64)	EL	Greece	33	1	526	137	1	0
Βίκυ Φλέσσα -Vicky Flessa	Pulse and Opinion S.A.	344396292816360	Facebook	u55_64	unknown (55-64)	EL	Greece	7	1	523	146	2	0
Γιώργος Σταύρος Κρεμλής - Υποψήφιος Ευρωβουλευτής		548959368535123	Facebook	u55_64	unknown (55-64)	EL	Greece	46	1	521	133	5	0
Eva Kaili	Eva Kaili	13721812367	Facebook	u55_64	unknown (55-64)	EL	Greece	15	1	486	179	2	0
Kleopatra Sidiropoulou Υποψήφια Ευρωεκλογών με το Ποτάμι		272999270266817	Facebook	u55_64	unknown (55-64)	EL	Greece	12	1	445	172	0	0
tomanifesto.gr	Pavlos Pavlidis	1083717278496452	Facebook	u55_64	unknown (55-64)	EL	Greece	24	1	432	97	4	0
ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	u55_64	unknown (55-64)	EL	Greece	45	1	425	191	1	0
Ζωή Κωνσταντοπούλου - Zoe Konstantopoulou	Πλεύση Ελευθερίας	1489639131352219	Facebook	u55_64	unknown (55-64)	EL	Greece	23	1	378	92	0	0
Άννα Μισέλ Ασημακοπούλου	Άννα Μισέλ Ασημακοπούλου	1394997234118853	Facebook	u55_64	unknown (55-64)	EL	Greece	6	1	373	138	0	0
Θανάσης Χειμωνάς	Athanasios Cheimonas	244712512294546	Facebook	u55_64	unknown (55-64)	EL	Greece	7	1	369	155	1	0
Dimitris Papadimoulis		283105465120884	Facebook	u55_64	unknown (55-64)	EL	Greece	9	1	352	74	0	0
Βασίλης Μιχαλολιάκος	Βασίλης Μιχαλολιάκος	272375755124	Facebook	u55_64	unknown (55-64)	EL	Greece	24	1	346	71	1	0
Anna Papadimitriou Tsatsou	Pulse and Opinion S.A.	351205875514876	Facebook	u55_64	unknown (55-64)	EL	Greece	4	1	321	125	0	0
Γιώργος Χριστοφορίδης		1523771647899219	Facebook	u55_64	unknown (55-64)	EL	Greece	3	1	310	124	0	0
Christos Theodoropoulos	Christos Theodoropoulos	423883275016559	Facebook	u55_64	unknown (55-64)	EL	Greece	8	1	285	75	0	0
Ελένη Παναγιωταρέα - Eleni Panagiotarea		318085118843773	Facebook	u55_64	unknown (55-64)	EL	Greece	23	1	262	83	2	0
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	u55_64	unknown (55-64)	EL	Greece	19	1	261	83	0	0
Plasticfreegreece		127140361355187	Facebook	u55_64	unknown (55-64)	EL	Greece	2	1	258	95	0	0
Διοτίμα - Κέντρο Γυναικείων Μελετών και Ερευνών  / CRWI Diotima		117100185293393	Facebook	u55_64	unknown (55-64)	EL	Greece	4	1	255	92	0	0
Labros Palantzas / Λάμπρος Παλάντζας	Lampros Palantzas 	540653716458457	Facebook	u55_64	unknown (55-64)	EL	Greece	15	1	253	74	1	0
Θόδωρος Μεχλιζόγλου - Υποψήφιος Ευρωβουλευτής		2003326776616516	Facebook	u55_64	unknown (55-64)	EL	Greece	32	1	250	67	2	0
Michalis Angelopoulos	Michalis Angelopoulos	253581075582399	Facebook	u55_64	unknown (55-64)	EL	Greece	11	1	247	66	1	0
Ιωάννης Πάιδας-Υποψήφιος Ευρωβουλευτής Νέας Δημοκρατίας		312321199470594	Facebook	u55_64	unknown (55-64)	EL	Greece	23	1	245	65	1	0
Νίκη Τζαβέλα - Niki Tzavela Official	Φερονικη Τζαβελα	866035200090418	Facebook	u55_64	unknown (55-64)	EL	Greece	13	1	240	51	1	0
Βαρβάρα Αποστολοπούλου-Καλκαβούρα	Varvara Apostolopoulou Kalkavoura	429854220918807	Facebook	u55_64	unknown (55-64)	EL	Greece	14	1	223	80	0	0
Sofia Sakorafa	Sofia Sakorafa	211831995597479	Facebook	u55_64	unknown (55-64)	EL	Greece	7	1	206	43	0	0
Πράσινοι	 Πράσινοι Αλληλεγγύη	461275677331342	Facebook	u55_64	unknown (55-64)	EL	Greece	21	1	201	56	3	0
Βαρουξής Λευτέρης - Varouxis Lefteris	Digital Solutions	280496205994839	Facebook	u55_64	unknown (55-64)	EL	Greece	11	1	190	56	0	0
Πειραιάς - Piraeus		142474499995	Facebook	u55_64	unknown (55-64)	EL	Greece	2	1	184	80	0	0
Aragma		381501661910268	Facebook	u55_64	unknown (55-64)	EL	Greece	4	1	184	36	0	0
Evaggelos Venizelos	Evaggelos Venizelos	80258823622	Facebook	u55_64	unknown (55-64)	EL	Greece	5	1	182	39	0	0
ΠΟΛΙΤΕΣ		1070200859834626	Facebook	u55_64	unknown (55-64)	EL	Greece	2	1	181	82	0	0
ΜέΡΑ25		333635613794935	Facebook	u55_64	unknown (55-64)	EL	Greece	9	1	172	37	0	0
Μίνα Καούνη & Συνεργάτες		674103179323981	Facebook	u55_64	unknown (55-64)	EL	Greece	6	1	172	71	0	0
Μιχαλίτσης Κωνσταντίνος	Μιχαλιτσης Κωνσταντινος 	760837734005868	Facebook	u55_64	unknown (55-64)	EL	Greece	13	1	170	49	0	0
Erik Miltiadis Edman		918665584992305	Facebook	u55_64	unknown (55-64)	EL	Greece	9	1	170	34	1	0
Ρένα Δούρου	Ρένα Δούρου	225197477683663	Facebook	u55_64	unknown (55-64)	EL	Greece	20	1	167	36	3	0
Παναγιώτης Ε. Νίκας	Παναγιώτης Ε. Νίκας	627249040690694	Facebook	u55_64	unknown (55-64)	EL	Greece	23	1	165	39	0	0
Νικόλαος Δούκας - Nikolaos Doukas	Ν Δούκας	710946112632910	Facebook	u55_64	unknown (55-64)	EL	Greece	7	1	164	33	0	0
Politico Lab	Smart Concepts	1092676900776165	Facebook	u55_64	unknown (55-64)	EL	Greece	5	1	162	43	0	0
