advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Dose of Society	Dose of Society	323340437359	Facebook	d072	2019-03-13	IE	Ireland	2	1	12479	2496	58	0
Matt Carthy	Carthy Matt	580216935345125	Facebook	d072	2019-03-13	IE	Ireland	1	1	6249	1249	12	0
Students for Life Ireland		252011928285955	Facebook	d072	2019-03-13	IE	Ireland	1	1	4545	909	9	0
McGowans Digital Print		340294073051	Facebook	d072	2019-03-13	IE	Ireland	1	1	4545	909	9	0
Building Workers: Know Your Rights		168368487082620	Facebook	d072	2019-03-13	IE	Ireland	1	1	4545	909	9	0
Vincent P Martin		118478340401	Facebook	d072	2019-03-13	IE	Ireland	2	1	3666	1666	66	0
Fine Gael	Fine Gael	264172043210	Facebook	d072	2019-03-13	IE	Ireland	1	1	3332	1666	32	0
Gript		580763859048353	Facebook	d072	2019-03-13	IE	Ireland	1	1	2499	1249	24	0
AXA		187891771259726	Facebook	d072	2019-03-13	IE	Ireland	4	1	1751	373	21	6
Desmond Motors Ford Store		143235249199766	Facebook	d072	2019-03-13	IE	Ireland	1	1	1666	833	19	0
Fusion Electrical		421825848326211	Facebook	d072	2019-03-13	IE	Ireland	1	1	1612	322	3	0
Dublin Cycling Campaign		186031000051	Facebook	d072	2019-03-13	IE	Ireland	1	1	1612	322	3	0
AXA Research Fund		186009014776969	Facebook	d072	2019-03-13	IE	Ireland	1	1	1589	635	1	0
Advertising Week Europe		957474261104635	Facebook	d072	2019-03-13	IE	Ireland	4	1	1441	551	15	4
EPP Group in the European Committee of the Regions		200559876664896	Facebook	d072	2019-03-13	IE	Ireland	1	1	1392	278	13	2
Kialo		729627343834501	Facebook	d072	2019-03-13	IE	Ireland	1	1	1308	654	5	1
BizPlus		1665309010423674	Facebook	d072	2019-03-13	IE	Ireland	1	1	1249	625	12	0
Cormac Newton - Workers' Party Cabra Glasnevin		800704983324038	Facebook	d072	2019-03-13	IE	Ireland	1	1	999	200	17	0
Cathal Ó Conchúir for Galway City West		408851975910282	Facebook	d072	2019-03-13	IE	Ireland	2	1	908	181	18	0
Dan Boyle - Green Party/ Comhaontas Glas Candidate, Cork City South Central		359145628246402	Facebook	d072	2019-03-13	IE	Ireland	2	1	904	180	13	0
Party of European Socialists	Party of European Socialists	148097975226385	Facebook	d072	2019-03-13	IE	Ireland	3	1	863	172	1	0
Stephanie Hanlon - People Before Profit Kilkenny		702076580146957	Facebook	d072	2019-03-13	IE	Ireland	1	1	833	166	16	0
Seán Hartigan Green Party Candidate for Limerick City East		559719824510385	Facebook	d072	2019-03-13	IE	Ireland	1	1	624	125	12	0
Adrienne Wallace - People Before Profit		1555518121383424	Facebook	d072	2019-03-13	IE	Ireland	1	1	624	125	12	0
ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	d072	2019-03-13	IE	Ireland	5	1	458	184	4	0
