advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	audience_code_filter	audience_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	u18_24	unknown (18-24)	LT	Lithuania	24	1	2187	924	8	2
Kialo		729627343834501	Facebook	u18_24	unknown (18-24)	LT	Lithuania	302	1	2148	812	14	3
Vytenis Andriukaitis	Vytenis Andriukaitis	1651554231738028	Facebook	u18_24	unknown (18-24)	LT	Lithuania	22	1	1311	594	3	0
Martynas Nagevičius / LRLS Sostinės liberalai		1146633232128220	Facebook	u18_24	unknown (18-24)	LT	Lithuania	21	1	546	119	2	0
Už Ingridą	Ingrida Šimonytė	2214495192154107	Facebook	u18_24	unknown (18-24)	LT	Lithuania	23	1	507	130	1	0
Gitanas Nausėda	Gitanas Nausėda	684534791927883	Facebook	u18_24	unknown (18-24)	LT	Lithuania	33	1	371	97	1	0
Liberalai	Liberalai	81004804444	Facebook	u18_24	unknown (18-24)	LT	Lithuania	30	1	242	47	3	0
Mindaugas Puidokas	Puidokas Mindaugas	1739968129576961	Facebook	u18_24	unknown (18-24)	LT	Lithuania	38	1	241	51	1	0
European Commission		107898832590939	Facebook	u18_24	unknown (18-24)	LT	Lithuania	11	1	212	93	0	0
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	u18_24	unknown (18-24)	LT	Lithuania	43	1	172	81	0	0
Antanas Guoga	Lietuvos Centro Partijos rinkimų sąskaita	18276748821	Facebook	u18_24	unknown (18-24)	LT	Lithuania	7	1	170	76	0	0
Prof. Dr. Stanislovas Tomas, Advokatas		1049345465226776	Facebook	u18_24	unknown (18-24)	LT	Lithuania	4	1	156	61	0	0
European Greens	European Greens	141366725876424	Facebook	u18_24	unknown (18-24)	LT	Lithuania	7	1	126	48	0	0
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	u18_24	unknown (18-24)	LT	Lithuania	23	1	124	36	0	0
Lietuvos valstiečių ir žaliųjų sąjunga	Lietuvos valstiečių ir žaliųjų sąjunga	190209177745566	Facebook	u18_24	unknown (18-24)	LT	Lithuania	10	1	115	43	0	0
Europos Parlamento biuras Lietuvoje		188014250186	Facebook	u18_24	unknown (18-24)	LT	Lithuania	2	1	113	54	0	0
ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	u18_24	unknown (18-24)	LT	Lithuania	47	1	99	43	0	0
Greens/EFA in the European Parliament		150527751674751	Facebook	u18_24	unknown (18-24)	LT	Lithuania	19	1	92	39	0	0
Bronis Ropė		216419471860983	Facebook	u18_24	unknown (18-24)	LT	Lithuania	5	1	90	17	0	0
Game of Sultans		185311195624361	Facebook	u18_24	unknown (18-24)	LT	Lithuania	6	1	86	38	1	0
Arvydas Juozaitis	Arvydas Juozaitis	458551247900215	Facebook	u18_24	unknown (18-24)	LT	Lithuania	8	1	79	18	0	0
Karolina Štelmokaitė	LVŽS	763068560724258	Facebook	u18_24	unknown (18-24)	LT	Lithuania	5	1	66	14	0	0
Europos Komisijos atstovybė Lietuvoje		76783564232	Facebook	u18_24	unknown (18-24)	LT	Lithuania	1	1	53	26	0	0
Tėvynės sąjunga - Lietuvos krikščionys demokratai (TS-LKD)		198988713464683	Facebook	u18_24	unknown (18-24)	LT	Lithuania	3	1	51	17	0	0
Create.Refresh	Create.Refresh	1736881926615141	Facebook	u18_24	unknown (18-24)	LT	Lithuania	4	1	51	21	0	0
