advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	audience_code_filter	audience_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	u35_44	unknown (35-44)	LT	Lithuania	22	1	9788	4325	49	11
Lietuvos socialdemokratų partija - LSDP	Lietuvos socialdemokratų partija - LSDP	202360056491831	Facebook	u35_44	unknown (35-44)	LT	Lithuania	43	1	7087	2844	15	2
Vytenis Andriukaitis	Vytenis Andriukaitis	1651554231738028	Facebook	u35_44	unknown (35-44)	LT	Lithuania	25	1	5179	2288	7	1
Kialo		729627343834501	Facebook	u35_44	unknown (35-44)	LT	Lithuania	358	1	4755	1898	30	7
Gitanas Nausėda	Gitanas Nausėda	684534791927883	Facebook	u35_44	unknown (35-44)	LT	Lithuania	57	1	4329	1285	13	0
Martynas Nagevičius / LRLS Sostinės liberalai		1146633232128220	Facebook	u35_44	unknown (35-44)	LT	Lithuania	43	1	3031	636	14	0
Už Ingridą	Ingrida Šimonytė	2214495192154107	Facebook	u35_44	unknown (35-44)	LT	Lithuania	25	1	1864	542	7	0
Mindaugas Puidokas	Puidokas Mindaugas	1739968129576961	Facebook	u35_44	unknown (35-44)	LT	Lithuania	60	1	1805	385	7	0
Antanas Guoga	Lietuvos Centro Partijos rinkimų sąskaita	18276748821	Facebook	u35_44	unknown (35-44)	LT	Lithuania	8	1	1019	447	4	0
Prof. Dr. Stanislovas Tomas, Advokatas		1049345465226776	Facebook	u35_44	unknown (35-44)	LT	Lithuania	4	1	889	357	1	0
Tėvynės sąjunga - Lietuvos krikščionys demokratai (TS-LKD)		198988713464683	Facebook	u35_44	unknown (35-44)	LT	Lithuania	8	1	807	294	3	0
Lietuvos valstiečių ir žaliųjų sąjunga	Lietuvos valstiečių ir žaliųjų sąjunga	190209177745566	Facebook	u35_44	unknown (35-44)	LT	Lithuania	19	1	805	338	3	0
Petras Auštrevičius		1482024028702535	Facebook	u35_44	unknown (35-44)	LT	Lithuania	7	1	734	347	3	0
Tomas Tomilinas - naujienos		530620843630609	Facebook	u35_44	unknown (35-44)	LT	Lithuania	13	1	702	276	4	0
Arvydas Juozaitis	Arvydas Juozaitis	458551247900215	Facebook	u35_44	unknown (35-44)	LT	Lithuania	10	1	676	177	2	0
European Greens	European Greens	141366725876424	Facebook	u35_44	unknown (35-44)	LT	Lithuania	7	1	611	249	2	0
Liberalai	Liberalai	81004804444	Facebook	u35_44	unknown (35-44)	LT	Lithuania	50	1	570	107	8	0
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	u35_44	unknown (35-44)	LT	Lithuania	47	1	474	222	0	0
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	u35_44	unknown (35-44)	LT	Lithuania	19	1	466	151	2	0
Karolina Štelmokaitė	LVŽS	763068560724258	Facebook	u35_44	unknown (35-44)	LT	Lithuania	8	1	347	74	1	0
Laima Mogenienė	LVŽS partija (EP rinkimų sąskaita)	334338600540343	Facebook	u35_44	unknown (35-44)	LT	Lithuania	17	1	305	67	2	0
SEB Lietuvoje		167427916707061	Facebook	u35_44	unknown (35-44)	LT	Lithuania	1	1	278	55	0	0
Guardian Weekly		64525551258	Facebook	u35_44	unknown (35-44)	LT	Lithuania	8	1	228	86	0	0
Arte		656089814494677	Facebook	u35_44	unknown (35-44)	LT	Lithuania	6	1	227	100	0	0
ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	u35_44	unknown (35-44)	LT	Lithuania	48	1	220	95	0	0
Lietuvos Centro Partija (LCP)		102161476501915	Facebook	u35_44	unknown (35-44)	LT	Lithuania	2	1	217	108	1	0
Solet Technics		1816645448570572	Facebook	u35_44	unknown (35-44)	LT	Lithuania	1	1	217	43	0	0
Linksmas lagaminas Vaikų Šventės		293938050813587	Facebook	u35_44	unknown (35-44)	LT	Lithuania	1	1	215	43	0	0
Greens/EFA in the European Parliament		150527751674751	Facebook	u35_44	unknown (35-44)	LT	Lithuania	20	1	200	85	0	0
Europos Komisijos atstovybė Lietuvoje		76783564232	Facebook	u35_44	unknown (35-44)	LT	Lithuania	1	1	176	88	0	0
Europos Parlamento biuras Lietuvoje		188014250186	Facebook	u35_44	unknown (35-44)	LT	Lithuania	2	1	171	72	1	0
Investors' Forum		1330823023658838	Facebook	u35_44	unknown (35-44)	LT	Lithuania	3	1	137	27	1	0
Neste Lietuva		250653168401432	Facebook	u35_44	unknown (35-44)	LT	Lithuania	1	1	129	64	0	0
Saulius Skvernelis	Saulius Skvernelis	814777171988967	Facebook	u35_44	unknown (35-44)	LT	Lithuania	3	1	118	25	0	0
Pilietinė žiniasklaida		547507861936974	Facebook	u35_44	unknown (35-44)	LT	Lithuania	1	1	118	23	0	0
Tuxy		870667836405958	Facebook	u35_44	unknown (35-44)	LT	Lithuania	3	1	118	48	0	0
Bronis Ropė		216419471860983	Facebook	u35_44	unknown (35-44)	LT	Lithuania	3	1	110	22	0	0
Neregėta Lietuva		2040075636034252	Facebook	u35_44	unknown (35-44)	LT	Lithuania	1	1	102	20	0	0
Darbo partija		264116120225	Facebook	u35_44	unknown (35-44)	LT	Lithuania	3	1	92	19	0	0
Minfo		163564217762927	Facebook	u35_44	unknown (35-44)	LT	Lithuania	13	1	89	26	1	0
Robertas Šarknickas		880209082011396	Facebook	u35_44	unknown (35-44)	LT	Lithuania	4	1	84	19	0	0
